band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,record_id,species_scientific_name
B00833006690,B00833006690,,B,06/01/2012,01,06,2012,US,US-CO,40.35083,-105.58861,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,0,,,,,0.00,B,-36976819,Selasphorus platycercus
B00833006690,B00833006690,,E,06/14/2015,14,06,2015,US,US-CO,40.22471,-105.27138,11,11,Broad-tailed Hummingbird,4320,,,,,,,00,21,62,05,4.00,E,-8912694,Selasphorus platycercus
B00833458243,B00833458243,B40833451803; ,B,06/20/2016,20,06,2016,US,US-CO,40.37222,-105.86222,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,0,,,,,,B,-17823060,Selasphorus platycercus
B40833451803,B00833458243,B00833458243; ,B,07/03/2016,03,07,2016,US,US-CO,40.37222,-105.86222,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,1,,,,,,B,-17909229,Selasphorus platycercus
B00833458243,B00833458243,B40833451803; ,E,07/03/2016,03,07,2016,US,US-CO,40.37222,-105.86222,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,,66,23,14,08,1.08,R,-32295655,Selasphorus platycercus
B00833909253,B00833909253,,B,07/22/2016,22,07,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,18,1,5,P3735013,0,,,,,0.00,B,-17705816,Selasphorus platycercus
B00833909253,B00833909253,,E,07/12/2017,12,07,2017,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,2.08,R,-31968168,Selasphorus platycercus
B00833909253,B00833909253,,E,06/03/2018,03,06,2018,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,3.00,R,-31967804,Selasphorus platycercus
B00833909253,B00833909253,,E,06/12/2019,12,06,2019,US,US-CO,38.95194,-106.98833,0,11,Broad-tailed Hummingbird,4320,3,75,1,5,P3735013,,66,23,14,07,4.00,R,15093880,Selasphorus platycercus
B00833909333,B00833909333,,B,07/21/2016,21,07,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,18,1,5,P3735013,0,,,,,,B,-17707807,Selasphorus platycercus
B00833909333,B00833909333,,E,06/11/2018,11,06,2018,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,21,23,14,07,3.00,R,-31967800,Selasphorus platycercus
B00833909333,B00833909333,,E,06/07/2019,07,06,2019,US,US-CO,38.95194,-106.98833,0,11,Broad-tailed Hummingbird,4320,3,75,1,5,P3735013,,66,23,14,07,4.00,R,15093830,Selasphorus platycercus
