gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
986118215	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_CAN:OBS139406532	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Reserva de la Biosfera Mariposa Monaraca (México)	México	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.572666	-100.21385							2012-02-15T00:00:00	15	2	2012	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD_CAN	OBS139406532				CC_BY_4_0		obsr135493			2023-01-24T15:14:42.525Z		CONTINENT_DERIVED_FROM_COORDINATES
984125640	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS86833586	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Chapala	Jalisco	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	20.29	-103.18917							2010-03-03T00:00:00	3	3	2010	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS86833586				CC_BY_4_0		obsr206753			2023-01-24T14:56:48.280Z		CONTINENT_DERIVED_FROM_COORDINATES
983124034	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS66762927	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Reserva de la Biosfera Sierra de Manantlan	Jalisco	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.5321	-104.1414							2009-02-08T00:00:00	8	2	2009	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS66762927				CC_BY_4_0		obsr51707			2023-01-24T14:56:32.618Z		CONTINENT_DERIVED_FROM_COORDINATES
980598276	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS249490099	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Camino El Polvorín	México	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.065613	-99.9829							2003-12-30T00:00:00	30	12	2003	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS249490099				CC_BY_4_0		obsr123284			2023-01-24T14:59:26.280Z		CONTINENT_DERIVED_FROM_COORDINATES
980585237	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS249490256	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Carretera Ciudad de México-Cuernavaca--La Cima I	Ciudad de México	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.111717	-99.194824							2003-12-28T00:00:00	28	12	2003	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS249490256				CC_BY_4_0		obsr123284			2023-01-24T14:59:17.794Z		CONTINENT_DERIVED_FROM_COORDINATES
980579606	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS249490226	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Carretera Ciudad de México-Cuernavaca--La Cima I	Ciudad de México	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.111717	-99.194824							2003-12-29T00:00:00	29	12	2003	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS249490226				CC_BY_4_0		obsr123284			2023-01-24T15:16:35.800Z		CONTINENT_DERIVED_FROM_COORDINATES
980561623	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS249046164	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	PN Volcán Nevado de Colima (Jalisco)	Jalisco	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	19.53804	-103.60478							1994-01-23T00:00:00	23	1	1994	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS249046164				CC_BY_4_0		obsr242215			2023-01-24T14:59:11.333Z		CONTINENT_DERIVED_FROM_COORDINATES
980246028	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS245543011	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	PN Volcán Nevado de Colima--Carretera Volcán de Fuego	Jalisco	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.53381	-103.54038							2013-02-20T00:00:00	20	2	2013	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS245543011				CC_BY_4_0		obsr339763			2023-01-24T15:13:03.188Z		CONTINENT_DERIVED_FROM_COORDINATES
979870808	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS241317767	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Camino La Cumbre--Este	Oaxaca	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	17.163157	-96.594894							1993-12-25T00:00:00	25	12	1993	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS241317767				CC_BY_4_0		obsr161964			2023-01-24T15:18:14.122Z		CONTINENT_DERIVED_FROM_COORDINATES
979712863	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS241310104	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Camino La Cumbre--Este	Oaxaca	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	17.163157	-96.594894							1993-12-22T00:00:00	22	12	1993	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS241310104				CC_BY_4_0		obsr161964			2023-01-24T14:57:24.390Z		CONTINENT_DERIVED_FROM_COORDINATES
