Location,Latitude,Longitude,Elevation,N.Active.Years
AL,33.83969444,-109.1205833,2438,5
BRCA,37.65116667,-112.1766389,2428,4
CAVO,36.778708,-103.979378,2214,2
CFCK,37.79330556,-111.4149722,1627,12
CH,32.00472222,-109.3569444,1648,3
DGS,37.77980556,-108.0901944,2741,14
EC,31.86886111,-109.3675833,1777,13
ESC,37.77277778,-111.616,1793,13
FG,32.62627778,-109.9443056,1492,4
FH,31.54738889,-110.3685833,1557,16
GC,31.47177778,-110.3566667,1655,4
HC,31.49905556,-110.6819167,1387,20
KP,31.95794444,-111.5972222,2066,3
MA,31.71463889,-110.8760278,1621,9
MG,32.70427778,-109.9136111,2895,3
MI,31.415528,-110.2765,1753,2
ML,32.44088889,-110.7885833,2786,16
MV,37.29516667,-108.4214722,2368,15
PA,31.93522222,-109.2190278,1673,19
PCBNM,35.832506,-106.3545,2309,7
PP,40.567095,-105.593285,2743,3
RA,31.44752778,-110.3074444,1693,5
SCSNA,31.48797222,-110.8786111,1118,7
SH,32.443472,-110.755833,2451,2
SWRS,31.88322222,-109.2052778,1638,14
WCAT,38.10833333,-111.3416667,2624,8
