Date,Time,Bander,Location,Species,Sex,Age,Band Status,Tarsus Measurement,Band Size,Band Number,Leg Condition,Removed band num,Gorget Color,Gorget Count ,Head Count,Grooves,Buffy,Bill Trait,Green on back,Primary Width P 10 Shape,Wng Tail Trait,Tail Center,Tail Middle,Tail Outer,Tail Measurement,Wing Chord,Culmen,Tail,Pollen Color Location,Fat,CP Breed,Head Gorget Molt,Body Molt,Primaries Molt,Secondaries Molt,Tail Molt,Weight,Photo Taken,Sample Type,Day Recaptures,Recapture Time 1,Recapture Time 2,Recapture Time 3,Recapture Time 4,Comment
4/26/2022,7:08,TT,CFCK,BCHU,M,1,1,D,D,U09820,,,V,99,,,,,,,,,,,,42,19,,N,1,,F,F,F,F,F,3,,,,,,,,
4/26/2022,7:17,TT,CFCK,BTLH,F,1,1,E,F,U09757,,,HS,,,,,,,B,R,B,5X5,RRG,6,50,18.9,,N,2,9,F,F,F,F,F,4.2,,,,,,,,
4/26/2022,7:50,TT,CFCK,BCHU,F,1,1,E,F,U09758,,,LS,,,,,,,U,E,,4X3,P,5,48,20.6,,N,2,2,L,F,F,F,F,3.5,,,,,,,,
4/26/2022,8:35,TT,CFCK,BCHU,M,1,R,,,U05575,1,,V,99,,,,,,,,,,,,42,18.3,,N,1,,F,F,F,F,F,2.5,,,,,,,,
4/26/2022,8:42,TT,CFCK,BCHU,F,1,R,,,U05610,1,,LS,,,,,,,U,E,,5X3,P,5,47,21,,N,1,2,L,F,F,F,F,3.8,,,,,,,,
4/26/2022,8:46,TT,CFCK,BCHU,M,1,1,D,D,U09819,1,,V,99,,,,,,,,,,,,43,18.9,,N,2,,F,F,F,F,F,3.1,,,,,,,,
4/26/2022,8:51,TT,CFCK,BCHU,M,1,1,D,D,U09818,,,V,99,,,,,,,,,,,,41,18,,PH,2,,F,F,F,F,F,3.2,,,,,,,,
4/26/2022,8:54,TT,CFCK,BCHU,M,1,1,E,E,U09732,,,V,99,,,,,,,,,,,,41,18.2,,N,2,,F,F,F,F,F,3.2,,,,,,,,
4/26/2022,9:04,TT,CFCK,BTLH,F,1,R,,,U05667,1,,HS,,,,,,,,R,O,5X4,GRR,6,50,18.3,,YH,1,2,F,F,F,F,F,3,,,,,,,,
4/26/2022,9:07,TT,CFCK,BCHU,F,1,R,,,U08240,1,,HS,,,,,,,U,E,,5X4,P,5,47,22.2,,N,1,2,F,F,F,F,F,3.5,,,1,11:13,,,,
4/26/2022,9:09,TT,CFCK,BCHU,M,1,1,E,E,U09801,,,V,99,,,,,,,,,,,,43,19.4,,PH,2,,F,F,F,F,F,3.1,,,,,,,,
4/26/2022,9:24,TT,CFCK,BCHU,F,1,R,,,U05524,1,,LS,,,,,,,U,E,,4X3,P,5,47,20.4,,N,2,5,L,F,F,F,F,3.9,,,,,,,,
4/26/2022,9:41,TT,CFCK,BCHU,M,1,R,,,U05574,1,,V,99,,,,,,,,,,,,42,19.3,,"YHU, PHU",2,,F,F,F,F,F,2.9,,,,,,,,
4/26/2022,9:49,TT,CFCK,BCHU,M,1,R,,,U08621,1,,V,99,,,,,,,,,,,,43,19.2,,PH,1,,F,F,F,F,F,2.9,,,1,9:58,,,,
4/26/2022,9:58,TT,CFCK,BCHU,F,1,1,E,F,U09759,,,LS,,,,,,,U,E,,5X4,P,5,47,21.2,,"PH, YH",1,2,F,F,F,F,F,3.6,,,,,,,,
4/26/2022,10:13,TT,CFCK,BCHU,M,1,R,,,M69527,1,,V,99,,,,,,,,,,,,42,19.5,,"PH, YU",1,,F,F,F,F,F,3.1,,,,,,,,
4/26/2022,10:18,TT,CFCK,BCHU,F,1,R,,,M69504,1,,LS,,,,,,,U,E,,4X2,P,5,46,20.9,,PH,2,8,F,F,F,F,F,4.3,,,,,,,,
4/26/2022,10:56,TT,CFCK,BCHU,M,1,R,,,U05673,1,,V,99,,,,,,,,,,,,41,19.9,,PH,2,,F,F,F,F,F,3.1,,,,,,,,
4/26/2022,10:59,TT,CFCK,BCHU,F,1,R,,,K39781,1,,MS,,,,,,,U,E,,6X5,P,6,47,22.2,,PH,1,5,F,F,F,F,F,3.8,,,,,,,,
4/26/2022,11:06,TT,CFCK,BCHU,M,1,R,,,U08167,1,,V,99,,,,,,,,,,,,42,20.1,,N,1,,F,F,F,F,F,3.2,,,,,,,,
4/26/2022,12:06,TT,CFCK,BCHU,M,1,R,,,U09783,1,,V,99,,,,,,,,,,,,42,19.2,,PH,1,,F,F,F,F,F,3.1,,,,,,,,
