Date,Time,Bander,Location,Species,Sex,Age,Band Status,Tarsus Measurement,Band Size,Band Number,Leg Condition,Replaced Band Number,Gorget Color,Gorget Count,Head Count,Grooves,Buffy,Bill Trait,Green on back,Primary Width P 10 Shape,Wing Tail Trait,Tail Center,Tail Middle,Tail Outer,Tail Measurement,Wing Chord,Culmen,Tail,Pollen Color  Location,Fat,CP Breed,Head Gorget,Body,Primaries,Secondaries,Tail,Weight,Photo Taken,Sample Type,Day Recaptures,Recapture Time 1,Recapture Time 2,Recapture Time 3,Recapture Time 4,Comment
2022/04/21,8:09,SMW,HC,BBLH,M,1,R,,,J84272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:51,SMW,HC,BBLH,M,1,R,,,K33715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,6:35,SMW,HC,BBLH,F,1,R,,,K35541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9:39,,,,
2022/04/21,8:51,SMW,HC,BBLH,M,1,R,,,K36852,1,,B,99,,,,,,,,,,,,0,0,,N,0,,L,F,F,F,F,3.2,,,,,,,,
2022/04/21,6:38,SMW,HC,BBLH,M,1,R,,,K36854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:16,SMW,HC,BBLH,M,1,R,,,K40093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,6:40,SMW,HC,BBLH,M,1,R,,,K41037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,8:57,SMW,HC,BBLH,F,1,R,,,M26082,1,,,,,,,R,,,,,,,,0,0,,N,P,8,L,F,F,F,L,3.44,,,,,,,,
2022/04/21,9:18,SMW,HC,ANHU,M,1,R,,,M28934,1,,R,99,99,,,,,,,,,,,0,0,,N,0,,F,F,F,F,F,4.31,,,,,,,,
2022/04/21,7:14,SMW,HC,BBLH,M,1,R,,,M28962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:40,SMW,HC,BCHU,F,1,R,,,M28966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,8:33,SMW,HC,BBLH,F,1,R,,,M30055,1,,,,,,,R,,,,,,,,0,0,,N,1,8,L,F,F,F,L,3.79,,,,,,,,
2022/04/21,7:08,SMW,HC,BBLH,F,1,R,,,M66299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:37,SMW,HC,BBLH,M,1,R,,,M66464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8:17,,,,
2022/04/21,8:27,SMW,HC,BBLH,M,1,R,,,M66468,1,,,,,,,,,,,,,,,0,0,,N,0,,F,F,F,F,F,3.17,,,,,,,,
2022/04/21,8:03,SMW,HC,ANHU,M,1,R,,,M66557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10:40,,,,
2022/04/21,8:26,SMW,HC,BBLH,M,1,R,,,M66577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,6:50,SMW,HC,BBLH,M,1,R,,,M66586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10:24,,,,DROPPED FIVE FEATHERS
2022/04/21,7:59,SMW,HC,BBLH,M,1,R,,,M66590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,10:36,SMW,HC,BBLH,M,1,R,,,M66802,1,,B,99,,,,,,,,,,,,51,21.4,,N,0,,F,F,F,F,F,3.41,,,,,,,,
2022/04/21,7:48,SMW,HC,BBLH,M,1,R,,,M66836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,8:39,SMW,HC,BBLH,M,1,R,,,M66838,1,,B,99,,,,,,,,,,,,0,0,,N,0,,F,F,F,F,F,3.44,,,,,,,,
2022/04/21,7:18,SMW,HC,BBLH,M,1,R,,,M66848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,8:07,SMW,HC,BCHU,M,1,R,,,M67055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSECT EGGS ON CHEST?
2022/04/21,9:13,SMW,HC,COHU,M,1,R,,,M67236,1,,P,99,99,,,,,,,,,,,44,17.4,,WH,0,,F,L,L,F,F,2.83,,,,,,,,
2022/04/21,6:37,SMW,HC,BBLH,F,1,R,,,M67552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7:06,,,,
2022/04/21,8:28,SMW,HC,BBLH,M,1,R,,,M67621,1,,B,99,,,,,,,,,,,,0,0,,N,0,,L,F,L,F,L,3.2,,,,,,,,
2022/04/21,7:54,SMW,HC,ANHU,M,1,R,,,M68604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NECTAR IN CROP, ESCAPED"
2022/04/21,7:12,SMW,HC,BBLH,M,1,R,,,M69042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8:21,,,,
2022/04/21,7:38,SMW,HC,ANHU,F,1,R,,,M69082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NECTAR IN CROP
2022/04/21,8:44,SMW,HC,BBLH,F,1,R,,,M69091,6,,,,,,,R,,,,,,,,0,0,,N,0,2,L,F,F,F,L,3.3,,,1,9:04,,,,
2022/04/21,7:13,SMW,HC,BBLH,F,1,R,,,M69127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NECTAR IN CROP
2022/04/21,10:39,SMW,HC,BBLH,M,1,R,,,P36797,1,,B,99,,,,,,,,,,,,50.5,21.4,,N,0,,1,F,F,F,F,3.16,,,,,,,,
2022/04/21,7:23,SMW,HC,BBLH,F,1,R,,,P38311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESCAPED
2022/04/21,9:21,SMW,HC,BBLH,M,1,R,,,P40139,1,,B,99,,,,,,,,,,,,51.5,22.1,,N,0,,F,F,F,F,F,3.43,,,,,,,,
2022/04/21,10:52,SMW,HC,ANHU,M,1,R,,,P42004,1,,R,99,99,,,,,,,,,,,48.5,18.3,,,P,,F,F,F,F,F,4.46,,,,,,,,
2022/04/21,8:14,SMW,HC,BCHU,F,1,R,,,U05937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING BOTH R1 AND R2
2022/04/21,8:44,SMW,HC,ANHU,F,1,R,,,U05940,1,,R,10,,,,,,E,E,,,N,,0,0,,N,0,2,F,F,L,F,L,3.78,,,,,,,,
2022/04/21,7:27,SMW,HC,BBLH,F,1,R,,,U06057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCAB WOUND ON BELLY (STAB WOUND)
2022/04/21,11:00,SMW,HC,BCHU,M,1,R,,,U06110,1,,V,99,,,,,,,,,,,,42,19.3,,N,0,,F,F,F,F,F,2.77,,,,,,,,
2022/04/21,7:20,SMW,HC,BBLH,M,1,R,,,U06178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,6:16,SMW,HC,ANHU,M,1,R,,,U06189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING SECONDARY ON LEFT SIDE
2022/04/21,8:17,SMW,HC,BBLH,M,1,R,,,U06199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:36,SMW,HC,BBLH,F,1,R,,,U06200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESCAPED
2022/04/21,6:34,SMW,HC,BBLH,F,1,R,,,U06260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:30,SMW,HC,BBLH,F,1,R,,,U06286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NECTAR IN CROP
2022/04/21,8:31,SMW,HC,BBLH,M,1,R,,,U06289,1,,B,99,,,,,,,,,,,,0,0,,N,P,,F,F,F,F,F,3.07,,,1,9:02,,,,
2022/04/21,8:34,SMW,HC,BBLH,F,1,R,,,U07517,1,,,,,,,R,,,,,,,,0,0,,PH,P,5,F,F,F,F,L,3.27,,,,,,,,
2022/04/21,8:36,SMW,HC,BBLH,F,1,R,,,U07518,1,,,,,,,R,,,,,,,,0,0,,PH,T,5,F,F,F,F,L,3.25,,,,,,,,
2022/04/21,8:10,SMW,HC,BBLH,F,1,R,,,U07532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10:01,,,,"NECTAR IN CROP, WOUND ON LEFT WING COVERT"
2022/04/21,7:07,SMW,HC,BCHU,F,1,R,,,U07536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9:54,,,,
2022/04/21,7:45,SMW,HC,BBLH,M,1,R,,,U08757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,8:52,SMW,HC,BBLH,M,1,R,,,U08761,1,,B,99,,,,,,,,,,,,0,0,,N,0,,L,F,F,F,F,3.27,,,,,,,,
2022/04/21,10:50,SMW,HC,ANHU,M,1,R,,,U08774,1,,R,99,99,,,,,,,,,,,47,18.6,,N,P,,F,F,F,F,F,3.94,,,,,,,,
2022/04/21,8:20,SMW,HC,BBLH,M,1,R,,,U08809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,8:02,SMW,HC,BBLH,M,1,R,,,U08812,1,,B,99,,,,,,,,,,,,0,0,,N,0,,F,F,F,F,F,3.16,,,1,9:01,,,,NECTAR IN CROP
2022/04/21,,SMW,HC,UNHU,U,,1,,G,U09031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING DATA DUE TO GABY DELETING IT FROM KOBO SERVER
2022/04/21,6:28,SMW,HC,BCHU,F,,1,,G,U09032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,6:31,SMW,HC,BCHU,F,,1,,G,U09033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,6:55,SMW,HC,BCHU,F,,1,,G,U09034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIVE GORGET FEATHERS ARE GREY 
2022/04/21,6:59,SMW,HC,BCHU,F,,1,,G,U09035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:56,SMW,HC,BCHU,F,,1,,G,U09036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,8:06,SMW,HC,BCHU,M,1,R,,,U09066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,8:23,SMW,HC,BCHU,M,,1,,D,U09141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,6:25,SMW,HC,BCHU,M,,1,,D,U09142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NECTAR IN CROP
2022/04/21,6:41,SMW,HC,BCHU,M,,1,,D,U09143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7:19,,,,
2022/04/21,6:47,SMW,HC,BCHU,M,,1,,D,U09144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:25,SMW,HC,BCHU,M,,1,,D,U09145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NECTAR IN CROP
2022/04/21,7:43,SMW,HC,BCHU,M,,1,,D,U09146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:49,SMW,HC,BCHU,M,,1,,D,U09147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,7:52,SMW,HC,BCHU,M,,1,,D,U09148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,,SMW,HC,BCHU,M,,1,,D,U09149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING DATA DUE TO GABY DELETING IT FROM KOBO SERVER
2022/04/21,9:07,SMW,HC,BCHU,M,1,1,D,D,U09150,,,V,99,,,,,,,,,,,,42,19.7,,N,0,,F,F,F,F,F,2.92,,,,,,,,
2022/04/21,9:19,SMW,HC,BCHU,M,1,1,C,D,U09151,,,V,99,,,,,,,,,,,,42.5,18.5,,N,P,,F,F,F,F,F,2.83,,,,,,,,
