Initials-Bdr,Location,year,mo,day,time,Band Status,Band Number,Tarsus / Condition,Band Size,Species,Sex,Age,Removed band num,GorColor,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth / P10 Shape,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen– Color,Fat,CPBreed,Gorget/head molt,Body Molt,Primary Molt,Secondary Molt,Tail Molt,Weight,Feather collected,Photo(s) taken,Sample Collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
SMW,HC,2021,4,16,6:50,R,C16693,1,,BBLH,M,1,,B,99,,,,,,,,,,,,N,0,,F,F,F,F,F,3.26,,,,,,,,,"BANDED 7/10/2014, HY, WHITE ON TIPS OF P8-P10"
SMW,HC,2021,5,29,6:47,R,C16736,1,,BBLH,M,1,,B,99,,,,,,,,,,52,21.2,N,0,,L,L,F,F,F,3.31,,,,,,,,,
SMW,HC,2021,6,12,7:29,R,C16736,1,,BBLH,M,1,,B,99,,,,,,,,,,52,21.2,N,0,,L,M,L,L,L,3.45,,,,,,,,,HY 7/10/2014 NECTAR IN CROP
SMW,HC,2021,6,12,7:25,R,H89495,1,,ANHU,F,1,,R,35,,,,E,E,,,N,,48.5,18.8,N,0,2,2,2,8,M,2,3.55,,,,,,,,,
SMW,HC,2021,8,8,8:22,R,H89495,1,,ANHU,F,1,,R,30,,,,E,E,,,N,,49,18.8,N,T,5,1,F,F,F,F,3.89,,,,,,,,,
SMW,HC,2021,9,4,8:12,R,H89495,1,,ANHU,F,1,,R,30,,,,E,E,,,N,,49.5,19.4,N,P,2,F,F,F,,F,3.71,,,,,,,,,NECTOR IN CROP
SMW,HC,2021,6,26,10:06,R,H92484,1,,BCHU,F,1,,MS,,,,,U,E,,,P,,45,21.3,N,0,5,F,F,F,F,M,3.48,,,,,,,,,5/24/14 AHY
SMW,HC,2021,8,8,7:34,R,H92484,1,,BCHU,F,1,,MS,,,,,U,E,,,P,,46,21.3,N,0,2,1,1,L,F,M,3.27,,,,,,,,,BANDED 5/29/2014 AHY
SMW,HC,2021,5,29,7:22,R,J77031,1,,BBLH,F,1,,,,,,,,,,,,,50,21.4,YT,0,2,L,L,L,F,L,2.81,,,,,,,,,NECTAR IN CROP; HY 7/17/2016
SMW,HC,2021,9,21,9:30,R,J77031,1,,BBLH,F,1,,NS,,,,,,,,,,,50.5,22.1,N,0,2,1,1,7,2,R,2.98,,,,,,,,,
SMW,HC,2021,3,20,8:36,R,J77056,1,,ANHU,M,1,,R,99,99,,,,,,,,,49.5,18.6,N,0,,F,F,L,F,L,4.06,,,,1,9:54,,,,"NECTAR IN CROP, MAXILA 2 MM MISSING"
SMW,HC,2021,4,3,9:53,R,J77056,1,,ANHU,M,1,,R,99,99,,,,,,,,,49.5,18.3,N,P,,F,F,F,F,L,4.09,,,,,,,,,
SMW,HC,2021,4,16,9:13,R,J77056,1,,ANHU,M,1,,R,99,99,,,,,,,,,49.5,17.6,"GX,WH",0,,F,F,F,F,L,4.13,,,,,,,,,BANDED 5/21/2016 HY
SMW,HC,2021,4,3,7:46,R,J79647,1,,BBLH,F,1,,,,,,,,,,,,,52,23,N,1,2,L,F,L,F,L,3.45,,,,,,,,,NECTAR IN CROP
SMW,HC,2021,6,26,9:58,R,J80631,1,,BBLH,M,1,,B,99,,,,,,,,,,51.5,21.7,N,0,,1,L,F,F,L,3.3,,,,,,,,,"3/26/2016 AHY, NC"
GS,HC,2021,4,3,11:04,R,J80655,1,,BBLH,F,1,,,,,,,,,,,,,50,20.4,N,T,2,F,F,F,F,F,3.35,,,,,,,,,
SMW,HC,2021,6,26,7:47,R,J80655,1,,BBLH,F,1,,,,,,,,,,,,,50,22.8,N,P,2,1,1,6,1,2,3.42,,,,,,,,,8/22/2014 HY
SMW,HC,2021,9,21,9:34,R,J80655,1,,BBLH,F,1,,NS,,,,,,,,,,,0,21.7,WN,0,2,1,1,0,3,4,3.15,,,,,,,,,
SMW,HC,2021,5,1,10:11,R,J81044,1,,BCHU,M,1,,V,99,,,,,,,,,,43.5,20.1,N,0,,2,1,F,F,F,3.35,,,,,,,,,WHITE FEATHER ABOVE LEFT EYE
SMW,HC,2021,5,1,6:36,R,J81341,1,,BBLH,F,1,,,,,,,,,,,,,52,21.9,N,0,5,F,F,F,F,L,3.3,,,,,,,,,
SMW,HC,2021,8,8,7:36,R,J81341,1,,BBLH,F,1,,,,,,,,,,,,,52,22.7,N,0,2,1,M,7,F,M,3.38,,,,1,11:10,,,,"BANDED 9/23/2014 AHY, BUMP ON RIGHT SIDE OF BEAK 4MM FROM BASE"
SMW,HC,2021,4,16,9:02,R,J81684,1,,BBLH,F,1,,,,,,,,,,,,,49,22.6,YU,P,,F,F,F,F,L,3.77,,,,1,10:36,,,,"BANDED 7/5/2015, AHY, WHITE FEATHERS ON BACK AND NAPE, NC"
SMW,HC,2021,6,12,9:27,R,J81684,1,,BBLH,F,1,,,,,,,,,,,,,50,23.4,N,0,2,1,L,3,L,M,3.08,,,,,,,,,"NECTAR IN CROP, WHITE FEATHERS ON BACK"
SMW,HC,2021,6,26,9:23,R,J81684,1,,BBLH,F,1,,,,,,,,,,,,,49.5,22.4,N,0,2,L,L,4,L,M,2.98,,,,,,,,,"6 WHITE FEATHERS ON BACK,  7/5/2015 HY, NC"
SMW,HC,2021,5,29,8:07,R,J81716,1,,BCHU,F,1,,MS,,,,,U,E,,,P,,46,22.5,N,0,2,L,F,F,F,L,3.72,,,,,,,,,NECTAR IN CROP; AHY 6/5/2015; FIRST RECAPTURE
SMW,HC,2021,5,29,6:42,R,J81718,1,,BCHU,F,1,,LS,,,,,U,E,,,P,,47,21.6,N,0,2,F,F,F,F,L,3.23,,,,,,,,,AHY 6/5/2015 / ONE RECAP IN 2017 BEFORE NOW
SMW,HC,2021,6,12,8:24,R,J81718,1,,BCHU,F,1,,NS,,,,,U,E,,,P,,46.5,21.5,N,P,2,L,F,L,F,M,3.27,,,,,,,,,NECTAR IN CROP
SMW,HC,2021,6,26,8:12,R,J83491,1,,BCHU,M,1,,V,99,,,,,,,,,,42.5,19.8,N,0,,F,L,L,F,F,3.02,,,,,,,,,"7/5/2015 AHY, NC"
SMW,HC,2021,3,20,7:49,R,J84272,1,,BBLH,M,1,,B,99,,,,,,,,,,50.5,20.8,N,P,,F,F,F,F,F,3.05,,,,3,9:30,11:24,12:30,,
SMW,HC,2021,4,3,9:40,R,J84272,1,,BBLH,M,1,,B,99,,,,,,,,,,51,20.1,N,P,,F,F,F,F,F,3.12,,,,,,,,,"HIT WINDOW A WEEK AGO, STAV WOUND ON CHEST"
GS,HC,2021,7,10,9:30,R,J84272,1,,BBLH,M,1,,B,99,,,,,,,,,,48.5,20.1,N,0,,F,F,L,L,L,3.1,,,,,,,,,
SMW,HC,2021,3,20,9:15,R,J85486,1,,BBLH,M,1,,B,99,,,,,,,,,,48.5,21.7,N,T,,F,F,F,F,F,3.7,,,,1,12:01,,,,NECTAR IN CROP
SMW,HC,2021,3,20,8:29,R,J85862,1,,ANHU,M,1,,R,99,95,,,,,,,,,47,16.8,N,0,,F,F,F,F,F,4.11,,,,,,,,,
SMW,HC,2021,9,21,10:52,R,K32414,1,,ANHU,F,1,,R,30,,,,E,E,,,N,,40,18.6,N,1,2,F,F,F,F,F,4.08,,,,,,,,,
SMW,HC,2021,10,2,10:09,R,K32418,1,,ANHU,F,1,,R,45,,0,N,E,E,,,R,,49,19.4,N,1,2,F,F,F,F,L,4.29,,,,,,,,,
SMW,SWRS1,2021,5,17,6:36,R,K33583,1,,RIHU,M,1,,GP,99,99,,,,,,,O,,71,25.8,N,0,,F,L,L,L,L,7.4,,,,,,,,,9/25/2016 HY
SMW,HC,2021,4,3,7:55,R,K33646,1,,BBLH,M,1,,B,99,,,,,,,,,,51.5,19.9,N,0,,L,L,F,F,F,3.18,,,,,,,,,
GS,HC,2021,7,10,8:29,R,K33646,1,,BBLH,M,1,,B,99,,,,,,,,,,51,20.1,N,0,,L,F,L,F,F,3.1,,,,,,,,,
SMW,HC,2021,3,20,8:27,R,K33675,1,,ANHU,M,1,,R,99,95,,,,,,,,,49,18.1,N,0,,F,F,F,F,L,4.2,,,,,,,,,
SMW,HC,2021,6,12,9:25,R,K33706,1,,BBLH,M,1,,B,99,,,,,,,,,,53,21.3,N,0,,L,L,L,L,L,2.89,,,,,,,,,NECTAR IN CROP
