Initials-Bdr,Location,year,mo,day,time,Band Status,Band Number,Tarsus / Condition,Band Size,Species,Sex,Age,Removed band num,GorColor,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth / P10 Shape,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen? Color,Fat,CPBreed,Gorget/head molt,Body Molt,Primary Molt,Secondary Molt,Tail Molt,Weight,Feather collected,Photo(s) taken,Sample Collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
ALS,HSR,2021,6,12,6:05,1,U26101,E,E,BTLH,M,1,,R,99,,,,,,,,,,52,18.5,N,P,,F,F,F,F,F,2.9,,,,1,7:01,,,,
ALS,HSR,2021,6,28,6:27,R,U26101,1,,BTLH,M,1,,R,99,,0,,,,,,,,,17.8,,,,,,,,,,,,,,,,,,TOO STRESSED TO PROCESS AND DIED
ALS,HSR,2021,6,12,7:31,1,U26102,D,E,BTLH,M,1,,R,99,,,,,,,,,,50,17.2,N,T,,F,F,F,F,F,3.1,,,,,,,,,
ALS,HSR,2021,6,12,7:40,1,U26103,D,E,BTLH,M,1,,R,99,,,,,,,,,,49,18.9,N,T,,F,F,F,F,F,3.1,,,,,,,,,
ALS,HSR,2021,6,12,7:46,1,U26104,D,E,BTLH,M,1,,R,99,,,,,,,,,,50,18.8,N,P,,F,F,F,F,F,3.1,,,,,,,,,
ALS,HSR,2021,6,12,8:31,1,U26105,E,E,BTLH,F,1,,R,6,,0,N,,P,W,,GGB,5,50,20.2,N,P,5,1,1,L,L,M,3.5,,,,,,,,,R3 TIP MISSING
ALS,HSR,2021,6,12,8:42,1,U26106,C,E,BTLH,M,1,,R,99,,,,,,,,,,50,18.2,N,P,,F,F,F,F,F,3.2,,,,,,,,,
ALS,HSR,2021,6,12,8:51,1,U26107,D,E,BTLH,M,1,,R,99,,,,,,,,,,49,18.2,N,0,,F,F,F,F,F,2.8,,,,,,,,,
ALS,HSR,2021,6,28,6:46,1,U26110,C,E,BTLH,M,1,,R,99,,0,N,,,,,,,52,17.7,N,P,,F,F,F,F,F,3.1,,,,,,,,,
ALS,HSR,2021,7,10,7:51,R,U26110,,,BTLH,M,1,,R,99,,,,,,,,,,52,17.6,OU,0,,F,F,F,F,F,3.1,,,,,,,,,
ALS,HSR,2021,6,28,5:47,1,U26111,G,G,BTLH,F,1,,MS,,,0,N,,P,W,,GGG,5,50,19.5,N,T,5,F,1,F,F,L,3.3,,,,,,,,,I FORGOT TO GET TAIL MID MEASUREMENT
ALS,HSR,2021,7,10,10:28,R,U26111,,,BTLH,F,1,,LS,,,0,N,,P,W,5X4,GGG,7,52,19.9,N,P,7,F,F,F,F,F,3.3,,,,,,,,,
ALS,HSR,2021,6,28,5:59,1,U26112,G,G,BTLH,F,1,,MS,,,0,N,,P,W,4X3,GGG,6,49,18.8,N,T,7,F,F,F,F,F,3.4,,,,1,7:37,,,,
ALS,HSR,2021,6,28,6:06,1,U26114,G,G,BTLH,F,1,,MS,,,0,N,,P,W,3X4,GGG,6,48,,N,T,7,1,1,F,F,F,3.3,,,,,,,,,I FORGOT TO GET CULMEN LENGTH
ALS,HSR,2021,6,28,6:13,1,U26115,G,G,BTLH,F,1,,MS,,,0,N,,P,W,5X4,GGG,5,52,19.6,N,T,5,F,F,F,F,F,3.2,,,,,,,,,
ALS,HSR,2021,6,28,6:59,1,U26116,G,G,BTLH,F,1,,MS,,,0,N,,P,W,4X5,GGG,6,49,20.5,N,T,5,F,F,F,F,M,3.5,,,,,,,,,
ALS,HSR,2021,6,28,8:00,1,U26117,G,G,BTLH,F,1,,MS,,,0,N,,P,W,3X4,GGR,4,51,20.2,N,T,7,1,1,F,F,L,3.6,,,,,,,,,
ALS,HSR,2021,6,28,8:19,1,U26118,G,G,BTLH,F,1,,MS,,,0,N,,P,W,4X4,GGG,6,53,19,N,P,9,F,F,F,F,F,3.9,,,,,,,,,
ALS,HSR,2021,7,10,6:40,R,U26118,,,BTLH,F,1,,MS,,,0,N,,P,W,4X3,GGG,5,49,19.3,N,T,7,1,1,3,F,M,3.2,,,,,,,,,LEFT SIDE TAIL MISSING
ALS,HSR,2021,6,28,8:25,1,U26119,G,G,BTLH,F,1,,LS,,,0,N,,P,W,4X6,GGR,6,50,19.7,N,P,7,F,F,F,F,F,3.5,,,,,,,,,SPIDER WEB ON HEAD
ALS,HSR,2021,6,28,8:40,1,U26120,G,G,BTLH,F,1,,MS,,,0,N,,P,W,4X5,GGG,6,52,19.4,N,T,5,F,F,F,F,L,3.5,,,,,,,,,
ALS,HSR,2021,6,12,6:30,1,U26121,F,F,BTLH,F,1,,MS,0,,0,N,,P,W,5X4,GGB,4.5,47,19.9,N,0,5,F,F,F,F,F,3.2,,,,,,,,,
ALS,HSR,2021,6,12,6:52,1,U26122,E,F,BTLH,F,1,,MS,0,,0,N,,P,W,3X5,GGB,5,49,18.4,N,T,5,F,F,F,F,L,3.3,,,,,,,,,
ALS,HSR,2021,6,12,10:02,1,U26123,E,F,BTLH,F,1,,MS,99,,0,N,,P,W,6X3,GGB,4,52,18.5,N,T,5,1,1,F,F,L,3.5,,,,,,,,,
ALS,HSR,2021,6,28,6:20,1,U26124,F,F,BTLH,F,1,,R,3,,0,N,,P,W,3X3,GGR,6,51,18.8,N,0,5,1,1,F,F,F,3.1,,,,,,,,,
