Protocol,CMR,Bander,Location,Date,Year,Month,Day,Time,Old.Band.Status,Band.Status,Band.Number,Leg.Condition,Tarsus.Measurement,Band.Size,Species,Sex,Age,Replaced.Band.Number,Gorget.Color,Gorget.Count,Head.Count,Grooves,Buffy,Bill.Trait,Green.on.back,Primary.Width.P.10.Shape,Wing.Tail.Trait,Tail.Center,Tail.Middle,Tail.Outer,Tail.Measurement,Wing.Chord,Culmen,Tail,Pollen.Color..Location,Fat,CP.Breed,Head.Gorget.Molt,Body.Molt,Primaries.Molt,Secondaries.Molt,Tail.Molt,Weight,Photo.Taken,Sample.Type,Day.Recaptures,Recapture.Time.1,Recapture.Time.2,Recapture.Time.3,Recapture.Time.4,Comment
HMN,Y,GS,ML,6/17/2022,2022,6,17,5:39,1,1,810008050,NA,J,L,RIHU,M,1,NA,GP,95,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5,25.7,NA,WN,0,NA,1,F,L,F,L,7.88,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,6/17/2022,2022,6,17,5:49,1,1,810053309,NA,D,E,BTLH,M,1,NA,R,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,18.6,NA,WN,0,NA,1,F,L,F,F,3.37,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,6/17/2022,2022,6,17,5:55,1,1,810008051,NA,K,L,RIHU,M,1,NA,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESCAPED
HMN,Y,GS,ML,6/17/2022,2022,6,17,5:58,R,R,810009935,1,NA,NA,BTLH,F,1,NA,HS,NA,NA,NA,NA,NA,NA,NA,P,O,3X3,BGB,5,50,18.6,NA,WL,0,2,1,1,F,F,M,3.65,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,6/17/2022,2022,6,17,6:05,1,1,810009915,NA,E,F,BTLH,F,1,NA,HS,NA,NA,NA,NA,NA,NA,NA,R,W,3X4,GGB,5,48.5,18.7,NA,N,0,9,1,1,F,F,L,3.74,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,6/17/2022,2022,6,17,6:11,R,R,610041596,1,NA,NA,BTLH,M,1,NA,R,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,17.2,NA,WN,0,NA,1,F,F,F,F,3.16,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,6/17/2022,2022,6,17,6:17,R,R,810007956,1,NA,NA,BTLH,F,1,NA,R,10,NA,NA,NA,NA,NA,NA,R,O,4X3,GGG,5,50,19.6,NA,N,0,2,1,1,F,F,L,3.41,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,6/17/2022,2022,6,17,6:24,1,1,810009916,NA,F,F,ANHU,F,2,NA,R,1,0,3,Y,NA,NA,E,R,NA,4X2,N,5,50,18.1,NA,WHUL,0,2,2,2,4,F,L,3.84,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,6/17/2022,2022,6,17,6:33,1,1,810009917,NA,E,F,BTLH,F,1,NA,HS,NA,NA,NA,NA,NA,NA,NA,R,O,4X3,GBB,5,48,19.2,NA,N,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESCAPED
HMN,Y,GS,ML,6/17/2022,2022,6,17,6:38,1,1,810009946,NA,G,G,BTLH,F,1,NA,HS,NA,NA,0,N,NA,NA,NA,P,O,3X3,GGB,4,51,19.5,NA,N,0,2,1,1,NA,NA,NA,NA,NA,NA,1,9:16,NA,NA,NA,ESCAPED
