"Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget.Molt","Body.Molt","Primaries.Molt","Secondaries.Molt","Tail.Molt","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"5:52","1","1",810053314,NA,"E","E","BTLH","M",1,NA,"R",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,17.8,NA,"N","2",NA,"1","1","L","L","F",3.97,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"5:58","R","R",710030627,1,NA,NA,"BTLH","F",1,NA,"MS",NA,NA,NA,NA,NA,NA,NA,"R","B","3X3","GGB",5,49.5,18.1,NA,"N","0",2,"1","1","2","F","M",3.42,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"6:03","1","1",810053315,NA,"E","E","BTLH","M",1,NA,"R",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,17.2,NA,"N","0",NA,"F","F","F","F","F",3.15,NA,NA,1,"8:33",NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"6:07","1","1",810009953,NA,"F","F","ANHU","M",2,NA,"R",15,0,3,"Y",NA,NA,"E","E",NA,NA,"Y",4.5,52,18.9,NA,"N","0",NA,"1","1","F","F","F",4.01,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"6:13","1","1",810009954,NA,"E","F","ANHU","F",2,NA,"HS",0,NA,1,"Y",NA,NA,"E","R","5X1",NA,"N",6,51.5,18.7,NA,"WN","0",2,"2","1","F","F","F",3.68,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"6:19","1","1",810053316,NA,"D","E","BTLH","M",1,NA,"R",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,18.1,NA,"N","0",NA,"F","F","L","F","L",3.32,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"6:22","1","1",810008052,NA,"K","L","RIHU","M",1,NA,"GP",99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,27.3,NA,"WN","0",NA,"F","F","F","F","L",7.24,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"6:32","1","1",810009955,NA,"E","F","BTLH","M",2,NA,"R",1,NA,2,"S",NA,NA,NA,"P","O","2X3","GGB",5,49,17,NA,"N","1",NA,"1","1","L","F","F",3.32,NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"6:38","R","R",810009902,1,NA,NA,"BTLH","F",1,NA,"MS",NA,NA,NA,NA,NA,NA,NA,"P","B",NA,"GGB",NA,49,18.9,NA,"WN","0",2,"1","1","F","F","R",3.26,NA,NA,NA,NA,NA,NA,NA,"TAIL TRAITS SKILLED DUE TO WEAR"
"HMN","Y","GS","ML",2022-07-15,2022,7,15,"6:43","1","1",810009949,NA,"F","G","ANHU","F",1,NA,"MS",NA,NA,0,"N",NA,NA,"E","E",NA,"4X2","N",6,50.5,17.9,NA,"N","0",2,"2","2","6","F","L",3.98,NA,NA,NA,NA,NA,NA,NA,NA
