Protocol,CMR,Bander,Location,Date,Year,Month,Day,Time,Old.Band.Status,Band.Status,Band.Number,Leg.Condition,Tarsus.Measurement,Band.Size,Species,Sex,Age,Replaced.Band.Number,Gorget.Color,Gorget.Count,Head.Count,Grooves,Buffy,Bill.Trait,Green.on.back,Primary.Width.P.10.Shape,Wing.Tail.Trait,Tail.Center,Tail.Middle,Tail.Outer,Tail.Measurement,Wing.Chord,Culmen,Tail,Pollen.Color..Location,Fat,CP.Breed,Head.Gorget.Molt,Body.Molt,Primaries.Molt,Secondaries.Molt,Tail.Molt,Weight,Photo.Taken,Sample.Type,Day.Recaptures,Recapture.Time.1,Recapture.Time.2,Recapture.Time.3,Recapture.Time.4,Comment
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:15,1,1,810053389,NA,E,F,BTLH,F,1,NA,HS,NA,NA,0,N,NA,NA,NA,R,O,4X5,GGR,5,47,18.8,NA,N,0,2,1,1,F,F,F,3.21,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:20,1,1,810053390,NA,E,F,BTLH,F,1,NA,HS,NA,NA,0,N,NA,NA,NA,P,O,4X4,GGB,5,49,18.9,NA,N,1,2,1,F,F,F,F,3.45,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:23,1,1,810053330,NA,D,E,BTLH,M,2,NA,R,3,NA,0,S,NA,NA,NA,P,O,2X2,GGG,4,50,17.2,NA,N,T,NA,1,1,F,F,F,3.32,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:28,1,1,810053391,NA,E,F,BTLH,F,1,NA,R,2,NA,0,N,NA,NA,NA,P,O,2X2,GGG,4,48,16.6,NA,N,0,2,1,1,F,F,L,3.12,NA,NA,1,8:02,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:34,1,1,810008870,NA,C,D,BTLH,M,1,NA,R,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,17.3,NA,N,T,NA,1,1,F,F,L,3.36,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:38,1,1,810053331,NA,D,E,BTLH,M,2,NA,R,10,NA,1,Y,NA,NA,NA,P,O,2X3,GBB,4.5,49,17.4,NA,N,2,NA,F,F,F,F,F,3.48,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:43,1,1,810053392,NA,E,F,BTLH,F,2,NA,MS,NA,NA,2,Y,NA,NA,NA,P,W,3X4,GBB,4.5,47,18.3,NA,N,0,2,1,F,F,F,F,2.89,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:49,1,1,810053393,NA,E,F,BTLH,M,2,NA,R,1,NA,1,S,NA,NA,NA,P,O,3X3,GGB,4.5,48.5,17.2,NA,N,P,NA,1,F,F,F,F,3.35,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:53,1,1,810053332,NA,D,E,BTLH,M,2,NA,R,10,NA,1,N,NA,NA,NA,P,O,NA,GGG,4,47,17.8,NA,N,1,NA,1,1,F,F,M,NA,NA,NA,NA,NA,NA,NA,NA,TAIL MIDDLE SKIPPED DUE TO WEAR; ESCAPED BEFORE WEIGHT
HMN,Y,GS,ML,8/26/2022,2022,8,26,6:57,1,1,810053394,NA,E,F,BTLH,F,2,NA,HS,NA,NA,1,S,NA,NA,NA,R,W,4X3,GGB,4,45,18.3,NA,N,2,2,1,1,F,F,F,3.79,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:05,1,1,810053333,NA,E,E,BTLH,M,2,NA,HS,NA,NA,2,S,NA,NA,NA,P,O,2X2,GGG,4.5,48,18,NA,N,0,NA,1,F,F,F,F,3.08,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:10,1,1,810053334,NA,E,E,BTLH,M,2,NA,R,1,NA,1,Y,NA,NA,NA,P,O,2X3,GGB,5,49,17.1,NA,N,2,NA,F,1,L,F,M,3.41,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:14,1,1,810053335,NA,D,E,BTLH,M,2,NA,R,5,NA,1,S,NA,NA,NA,P,O,3X3,GGB,4.5,50,17.3,NA,N,T,NA,2,1,F,F,L,2.76,NA,NA,1,8:39,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:19,1,1,810053336,NA,E,E,BTLH,M,2,NA,R,15,NA,1,N,NA,NA,NA,P,O,2X3,GGG,5,48.5,17.7,NA,N,1,NA,1,1,F,F,L,3.1,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:24,1,1,810053337,NA,E,E,BTLH,M,2,NA,HS,NA,NA,3,Y,NA,NA,NA,P,O,3X2,GGG,5,49,17.8,NA,N,P,NA,F,F,F,F,3,3.27,NA,NA,NA,NA,NA,NA,NA,"HALF OF TAIL JUVENILE, HALF ADULT. R523 GROWING"
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:30,1,1,810053338,NA,E,E,BTLH,M,2,NA,R,1,NA,2,Y,NA,NA,NA,P,O,2X2,GGB,5,49,17.3,NA,N,0,NA,1,1,L,F,L,3.27,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:35,1,1,810053339,NA,D,E,BTLH,M,2,NA,R,1,NA,2,S,NA,NA,NA,P,O,3X3,GGB,5,49,18.4,NA,N,1,NA,F,F,L,F,F,3.39,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:40,1,1,810053340,NA,E,E,BTLH,M,2,NA,R,10,NA,2,S,NA,NA,NA,P,O,3X3,GGG,5,50,18.2,NA,N,1,NA,1,1,F,F,L,3.93,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:44,1,1,810053341,NA,D,E,RUHU,F,2,NA,O,2,NA,1,N,NA,NA,NA,20,GB,N,NA,3.5,45,17.3,NA,N,1,2,1,F,F,F,L,3.45,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,7:56,1,1,810053342,NA,D,E,BTLH,M,2,NA,HS,NA,NA,1,Y,NA,NA,NA,P,O,4X5,GBB,5.5,47.5,17.3,NA,N,0,NA,1,1,F,F,F,3.22,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:05,1,1,810053343,NA,E,E,BTLH,M,2,NA,R,1,NA,3,Y,NA,NA,NA,P,O,3X3,GGB,5,49,18.2,NA,N,T,NA,1,1,F,F,F,3.24,NA,NA,NA,NA,NA,NA,NA,NA
HMN,Y,GS,ML,8/26/2022,2022,8,26,8:09,1,1,810007851,NA,D,D,RUHU,M,2,NA,O,15,NA,3,S,NA,NA,NA,80,RB,N,NA,3,42.5,15.9,NA,N,T,NA,1,F,F,F,L,3.35,NA,NA,NA,NA,NA,NA,NA,NA
