"site_name","calendar_date","ndvi"
"AL","2006-01-01",0.4334
"AL","2006-01-17",0.4235
"AL","2006-02-02",0.4137
"AL","2006-02-18",0.4275
"AL","2006-03-06",0.0656
"AL","2006-03-22",0.3783
"AL","2006-04-07",0.3786
"AL","2006-04-23",0.3893
"AL","2006-05-09",0.3766
"AL","2006-05-25",0.3958
"AL","2006-06-10",0.3697
"AL","2006-06-26",0.411
"AL","2006-07-12",0.5611
"AL","2006-07-28",0.591
"AL","2006-08-13",0.5426
"AL","2006-08-29",0.5327
"AL","2006-09-14",0.5682
"AL","2006-09-30",0.5264
"AL","2006-10-16",0.553
"AL","2006-11-01",0.4627
"AL","2006-11-17",0.4576
"AL","2006-12-03",0.447
"AL","2006-12-19",0.4191
"AL","2007-01-01",0.4191
"AL","2007-01-17",0.1255
"AL","2007-02-02",0.1293
"AL","2007-02-18",0.431
"AL","2007-03-06",0.4189
"AL","2007-03-22",0.4464
"AL","2007-04-07",0.4109
"AL","2007-04-23",0.3729
"AL","2007-05-09",0.4224
"AL","2007-05-25",0.4145
"AL","2007-06-10",0.4005
"AL","2007-06-26",0.3843
"AL","2007-07-12",0.477
"AL","2007-07-28",0.5044
"AL","2007-08-13",0.5745
"AL","2007-08-29",0.5457
"AL","2007-09-14",0.5151
"AL","2007-09-30",0.5143
"AL","2007-10-16",0.4684
"AL","2007-11-01",0.4703
"AL","2007-11-17",0.4507
"AL","2007-12-03",0.4214
"AL","2007-12-19",0.1429
"AL","2008-01-01",0.0653
"AL","2008-01-17",0.1468
"AL","2008-02-02",0.1023
"AL","2008-02-18",0.1132
"AL","2008-03-05",0.4353
"AL","2008-03-21",0.4202
"AL","2008-04-06",0.3743
"AL","2008-04-22",0.3529
"AL","2008-05-08",0.3699
"AL","2008-05-24",0.3663
"AL","2008-06-09",0.4179
"AL","2008-06-25",0.4034
"AL","2008-07-11",0.4602
"AL","2008-07-27",0.6022
"AL","2008-08-12",0.5433
"AL","2008-08-28",0.5777
