Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length ,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-11523,5/31/2003,659,MCGC,FE,BTLH,M,AHY,3.3,49.7,17.3,31,4,"M, r5",,,,
5000-11524,5/31/2003,711,MCGC,FE,BTLH,M,AHY,3.3,49.4,17.7,,,,,,,
5000-11525,5/31/2003,1940,MCGC,FE,BTLH,F,AHY,3.6,49.5,17.5,30,5,,,M-H,,
5000-11526,6/1/2003,609,MCGC,FE,BTLH,F,AHY,3.6,50.1,18,31,5,,,,,
5000-11527,6/1/2003,621,MCGC,FE,BTLH,M,AHY,3.4,48.9,19.5,28,5,,,,,
5000-11528,6/1/2003,633,MCGC,FE,BTLH,M,AHY,3.3,50.8,17.5,20.5,5.5,,,,,
5000-11529,6/1/2003,728,MCGC,FE,BTLH,M,AHY,3.2,50.4,17.5,27,5,,,,,
5000-11530,6/1/2003,753,MCGC,FE,BTLH,M,AHY,3,50.1,17,28,5.5,,,,,
5000-11531,6/4/2003,550,MCGC,FE,BTLH,F,AHY,3.3,49.9,18.5,28,5,,2 C,,,
5000-11532,6/4/2003,614,MCGC,FE,BTLH,M,AHY,3.4,49.1,17,29,5,,,,,
5000-11533,6/4/2003,620,MCGC,FE,BTLH,F,AHY,3.2,51.8,18.8,,,,,,,Early Release
5000-11534,6/4/2003,628,MCGC,FE,BTLH,M,AHY,3.2,50.3,18,30.1,5,,,,,
5000-11535,6/4/2003,655,MCGC,FE,BTLH,M,AHY,3.4,49.7,17.8,29.5,4.8,,,,,
5000-11536,6/4/2003,723,MCGC,FE,BTLH,F,AHY,3.8,51,18.5,29,6,,1 C,,,
5000-11537,6/4/2003,742,MCGC,FE,BTLH,F,AHY,3.4,50.4,19.6,28,5.5,,,,,
5000-11538,6/4/2003,759,MCGC,FE,BTLH,F,AHY,3.5,50.9,19.5,29,5.5,VH,,,,
5000-11539,6/4/2003,808,MCGC,FE,BTLH,F,AHY,3.6,49,19,29.2,5,VH,,,,
5000-11540,6/4/2003,1920,MCGC,FE,BTLH,M,AHY,3.2,50.7,16.2,32,5,,,,,
5000-11541,6/4/2003,1930,MCGC,TE,BTLH,F,AHY,3.7,49.5,19,28,,,8 C,,,
5000-11542,6/4/2003,1930,MCGC,FE,BTLH,F,AHY,3.4,50.2,18.8,30,6,,,,,
5000-11543,6/4/2003,1950,MCGC,TE,BTLH,F,AHY,3.3,51.7,18.2,31,5.5,M,,H,,
5000-11544,6/4/2003,1958,MCGC,TE,BTLH,F,AHY,3.4,49.9,19,33,5,,,,,
5000-11545,6/4/2003,1958,MCGC,FE,BTLH,F,AHY,4.1,51.3,18.5,27.2,5.5,,,,,
5000-11546,6/5/2003,549,MCGC,FE,BTLH,F,AHY,3.6,50.4,19,26,5.5,,,,,
5000-11547,6/5/2003,607,MCGC,FE,BTLH,M,AHY,3.5,50.3,18,27.5,5,,,,,
5000-11548,6/5/2003,619,MCGC,FE,BTLH,F,AHY,4.5,49.8,19,26,5.5,L,,,,Egg-8
5000-11549,6/5/2003,633,MCGC,FE,BTLH,F,AHY,3.3,50,18,28.5,6,,6 C,,,
5000-11550,6/5/2003,652,MCGC,FE,BTLH,F,AHY,3.7,51.5,19,29.5,6,,,,,
5000-11551,6/5/2003,702,MCGC,FE,BTLH,F,AHY,3.7,51.3,18.3,27,6,,,M,,
5000-11552,6/5/2003,719,MCGC,FE,BTLH,F,AHY,3.3,48.4,18.2,27.5,5.3,,,VL,,
5000-11553,6/5/2003,730,MCGC,FE,BTLH,M,AHY,3.2,49.6,18,28.5,4.8,,,,,
5000-11554,6/5/2003,758,MCGC,FE,BTLH,F,AHY,3.6,49.7,19,30.5,6,,,,,
5000-11555,6/5/2003,805,MCGC,FE,BTLH,M,AHY,3.1,49.5,17,29.5,5,,,,,
5000-11556,6/12/2003,536,MCGC,FE,BTLH,F,AHY,3.5,51.1,18,30.5,5,,,M,,Egg-7
5000-11557,6/12/2003,550,MCGC,FE,BTLH,F,AHY,3.3,50.4,18.5,29,5.5,,,,,
5000-11558,6/12/2003,616,MCGC,FE,BTLH,F,AHY,3.2,50.6,18.5,29,5.5,"M, r5",8 C,,,
5000-11559,6/12/2003,630,MCGC,FE,BTLH,M,AHY,3,50.7,17.5,29,5,,,,,
5000-11560,6/12/2003,643,MCGC,FE,BTLH,F,AHY,4.1,48.5,18,30,5.8,,,,,Egg-8
5000-11561,6/12/2003,652,MCGC,FE,BTLH,M,AHY,3.2,50.5,18,31,4.5,,,,,
5000-11562,6/12/2003,700,MCGC,TE,BTLH,M,AHY,3,48.4,17.9,28,4.5,,,,,
5000-11563,6/12/2003,705,MCGC,TE,BTLH,F,AHY,3.6,48.9,17.5,30.5,7,,,,,
5000-11564,6/12/2003,710,MCGC,TE,BTLH,M,AHY,3.8,49.8,17.7,24,,,,,,Molt r1-5 left
5000-11565,6/12/2003,715,MCGC,TE,BTLH,F,AHY,3.2,51.3,19.4,27,5,H,,,,
5000-11566,6/13/2003,539,MCGC,FE,BTLH,F,AHY,3,50.1,18,28,5.5,,,VL,,
5000-11567,6/13/2003,610,MCGC,TE,BTLH,F,AHY,4.1,48.6,18.7,31,6,,,,,
5000-11568,6/13/2003,622,MCGC,FE,BTLH,F,AHY,3.1,50.1,19,29,5.5,,,H,,
5000-11569,6/13/2003,634,MCGC,TE,BTLH,M,AHY,3.5,49.5,17.3,32,5,,,,,
5000-11570,6/13/2003,645,MCGC,FE,BTLH,M,AHY,3,48.5,17,31,4.5,,,,,
5000-11571,6/13/2003,649,MCGC,TE,BTLH,F,AHY,3.9,50.8,18.9,30,6,,,,,Egg-8
5000-11572,6/13/2003,650,MCGC,FE,BTLH,M,AHY,3.1,49,17.5,31.5,5,,,,,
5000-11573,6/13/2003,700,MCGC,TE,BTLH,M,AHY,3.3,49.5,17.1,33,5,,,,,
5000-11575,6/13/2003,1855,MCGC,FE,BTLH,M,AHY,3.2,49.2,18.2,30.5,5,,,,,
5000-11576,6/13/2003,705,MCGC,TE,BTLH,F,AHY,3.4,48.5,18.4,29,6,,,,,
5000-11577,6/13/2003,1906,MCGC,FE,BTLH,M,AHY,3.5,50.6,18,31,5,,,,,
5000-11578,6/14/2003,546,MCGC,FE,BTLH,F,AHY,4.2,49.8,18,30,5.7,,1 C,,,Egg-8
5000-11579,6/14/2003,615,MCGC,FE,BTLH,M,AHY,3.4,49.9,17,30.5,5.1,,,,,
5000-11580,6/14/2003,627,MCGC,FE,BTLH,M,AHY,3.4,51.1,19,30.4,5,,,,,
5000-11581,6/14/2003,643,MCGC,FE,BTLH,M,AHY,3.1,49.3,17,29,5,,,,,
5000-11582,6/14/2003,653,MCGC,FE,BTLH,F,AHY,3.8,49.4,19.5,28,6,,1 C,,,Egg-7 (possible)
5000-11583,6/14/2003,653,MCGC,TE,BTLH,F,AHY,4.4,48.1,19.3,30,5,M,,,,
5000-11584,6/14/2003,1843,MCGC,FE,BTLH,F,AHY,3.6,51,19,28.5,6,,,,,
5000-11585,6/14/2003,1900,MCGC,FE,BTLH,M,AHY,3.5,49.8,17.5,29,5,,,,,
5000-11586,6/14/2003,1908,MCGC,FE,BTLH,F,AHY,3.6,51.5,19.5,28.5,5,L,,,,
5000-11587,6/14/2003,1908,MCGC,FE,BTLH,F,AHY,3.6,49.6,18.5,29.5,5.5,M,,,,"Molt, r3, rt."
5000-11588,6/14/2003,1910,MCGC,FE,BTLH,M,AHY,3.4,49.4,17,30.2,5,L,,L,,Egg-7 (possible)
5000-11589,6/14/2003,1930,MCGC,FE,BTLH,F,AHY,4.1,51.8,18.5,29.2,6,,,,,
5000-11590,6/14/2003,1940,MCGC,FE,BTLH,M,AHY,3.2,49.4,18,31,5,,,,,
5000-11591,6/15/2003,647,MCGC,FE,BTLH,M,AHY,3.4,48.6,18.2,31.8,5,,,,,
5000-11592,6/15/2003,710,MCGC,FE,BTLH,M,AHY,3.3,49.7,17,29.5,4.6,,,,,
5000-11593,6/15/2003,728,MCGC,FE,BTLH,F,AHY,3.6,50.3,18.5,30.2,5,,,,,
5000-11594,6/15/2003,735,MCGC,FE,BTLH,M,AHY,3.5,49.5,18,27.5,5,,,,,"r4-5, white tips"
5000-11595,6/15/2003,738,MCGC,TE,BTLH,M,AHY,3.3,51,17.6,34,5,,,,,
5000-11596,6/15/2003,753,MCGC,TE,BTLH,M,AHY,3.3,48.7,18.2,30,6,,,,,
5000-11597,6/15/2003,805,MCGC,TE,BTLH,M,AHY,3.4,50.6,17.1,34,5.5,,,,,
5000-11598,6/15/2003,815,MCGC,TE,BTLH,M,AHY,3,48.9,17.1,32,6,,,,,
5000-11599,6/15/2003,1845,MCGC,TE,BTLH,F,AHY,4.2,48.5,20,31,5,,,,,
5000-11600,6/15/2003,820,MCGC,FE,BTLH,M,AHY,3.1,49.1,18,29,4.5,,,,,
5000-11601,6/15/2003,1853,MCGC,TE,BTLH,F,AHY,3.9,50.1,17.9,32,6,,,,,Egg-7
5000-11602,6/15/2003,1906,MCGC,TE,BTLH,M,AHY,3.3,48.3,17,33,5,,,,,
5000-11603,6/15/2003,1910,MCGC,TE,BTLH,M,AHY,3.8,47.4,16,31,5,,,,,
5000-11604,6/15/2003,1920,MCGC,TE,BTLH,F,AHY,3.7,50.3,18.1,32,6,,3 C,H,,
5000-11605,6/15/2003,1925,MCGC,TE,BTLH,F,AHY,4.2,50.8,18.6,31,6,,,,,
5000-11606,6/15/2003,1935,MCGC,FE,BTLH,F,AHY,4.2,51.1,18.1,29.8,6,,,,,
5000-11607,6/15/2003,1943,MCGC,TE,BTLH,F,AHY,3.8,49.7,19,30,6,,,,,
5000-11608,6/16/2003,625,MCGC,FE,BTLH,F,AHY,4.1,50.8,18.4,31.3,5.8,L,,,,Egg-7
5000-11609,6/16/2003,637,MCGC,FE,BTLH,F,AHY,4.1,51.5,18,31.1,5.8,,,,,
5000-11610,6/16/2003,650,MCGC,FE,BTLH,M,AHY,3.4,51.6,17,31,4.5,,,,,
5000-11611,6/16/2003,703,MCGC,FE,BTLH,M,AHY,3.2,46.5,17.2,35,5,,,,,
5000-11612,6/16/2003,720,MCGC,TE,BTLH,M,AHY,3.3,46.8,17.4,31,5,,,,,
5000-11613,6/16/2003,721,MCGC,FE,BTLH,M,AHY,3.2,50.2,17.5,29.5,5,,,,,
5000-11614,6/16/2003,722,MCGC,TE,BTLH,F,AHY,3.7,49.9,17.6,32,6,,,,,
5000-11615,6/16/2003,723,MCGC,TE,BTLH,F,AHY,,50,18.8,30,5.5,,,,,did not weigh
5000-11616,6/20/2003,1912,MCGC,FE,BTLH,M,AHY,3.2,49.7,18,29.5,5.4,,,,,
5000-11617,6/20/2003,1920,MCGC,TE,BTLH,F,AHY,3.6,52.2,18.4,32,5,,,,,
5000-11618,6/20/2003,1920,MCGC,FE,BTLH,F,AHY,3.9,50.1,18.8,30,4.9,M-H,,,,
5000-11619,6/20/2003,1932,MCGC,TE,BTLH,F,AHY,4.3,48.3,18.2,30,5,,,,,Egg-7
