Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
4000-47761,5/9/04,0716,MCGC,FCE,BTLH,M,AHY,3.4,49.6,18.1,30.5,5,N,,,,
4000-47762,5/9/04,0646,MCGC,FCE,BTLH,M,AHY,3.3,48.4,16.2,30.2,5.2,N,,,,"long striation, 70% length"
4000-47768,5/7/04,1923,MCGC,FCE,BTLH,M,AHY,3.5,49.8,17.8,29,4.7,N,,,10-15%,
4000-47769,5/8/04,1109,MCGC,FCE,BTLH,M,AHY,3.4,51.4,17.6,28.8,4.8,N,,,,
4000-47770,5/8/04,1630,MCGC,FCE,BTLH,M,AHY,3.6,49.3,17.5,30,4.8,N,,,,
4000-47771,5/10/04,0705,MCGC,TBE,BTLH,M,AHY,3.2,49.5,18.2,31,5,N,,,,
4000-47773,5/30/04,0614,MCGC,FCE,BTLH,M,AHY,3.3,49.9,16.2,29.5,4.8,N,,,,
4000-47774,5/20/04,1235,MCGC,TBE,BTLH,M,AHY,3.2,47.8,17.1,32,5,N,,,,
4000-47775,5/27/04,1740,MCGC,FCE,BTLH,F,AHY,3.4,49.5,19,30.5,6,N,,,,"grn. moss on toes, no egg"
4000-47776,5/30/04,1256,MCGC,FCE,BTLH,F,AHY,3.6,49.5,18.2,27,5.8,N,,,,4 pinfeathers-forehead
4000-47777,6/1/04,0715,MCGC,FCE,BTLH,F,AHY,3.8,51.5,19,31,5,M-H,4C,,,"r1 hvy, r3-5 m-h wear"
4000-47778,6/1/04,1757,MCGC,FCE,BTLH,F,AHY,3.8,51.3,18.3,27.8,5.8,N,,,,
4000-47779,6/2/04,0600,MCGC,TBE,BTLH,F,AHY,4,50.5,18,29.5,6,N,,H,,E7
4000-47780,6/2/04,1800,MCGC,FCE,BTLH,F,AHY,4,51,18.6,29,6,N,4C sm. ,,,
4000-47781,6/3/04,1706,MCGC,TBE,BTLH,F,AHY,3.8,50.4,19.6,30,,N,10C,,,
4000-47782,6/4/04,0643,MCGC,FCE,BTLH,M,AHY,3.1,50.7,18,31,5.2,N,,,,
4000-47783,6/4/04,0710,MCGC,TBE,BTLH,F,AHY,3.5,49.9,18.5,30.5,5,N,,,,
4000-47784,6/10/04,0824,MCGC,FCE,BTLH,M,AHY,3.2,49.2,17.5,32.1,4.8,N,,,30%,
4000-47785,6/10/04,0922,MCGC,FCE,BTLH,M,AHY,3.1,48.4,18,31,4.6,N,,,,
4000-47786,6/10/04,0935,MCGC,FCE,BTLH,M,AHY,3.1,49.8,18,31.5,4.9,N,,,,
4000-47787,6/10/04,0958,MCGC,TBE,BTLH,M,AHY,3.3,49.5,17,31,4,M,,,,r5 moderate wear
4000-47788,6/10/04,1842,MCGC,TBE,BTLH,F,AHY,4.1,49.4,19.5,29,6,N,,,,E7
4000-47789,6/10/04,1845,MCGC,FCE,BTLH,F,AHY,3.5,50,17.6,29.9,5.8,N,,,,
4000-47790,6/10/04,1920,MCGC,TBE,BTLH,F,AHY,4.1,50.1,18,30,6,H,,,,
4000-47791,6/10/04,1925,MCGC,TBE,BTLH,F,AHY,4.3,49.5,18,31,5.5,N,,,,
4000-47792,6/11/04,0726,MCGC,FCE,BTLH,F,AHY,3.6,52,18,29,5.8,N,9C,,,
4000-47793,6/11/04,0756,MCGC,FCE,BTLH,F,AHY,3.9,50.1,18.7,30.3,5.5,N,,,,E8. band on l. leg
4000-47794,6/11/04,0844,MCGC,TBE,BTLH,F,AHY,3.7,49.5,18.5,30.5,5.5,N,,,,
4000-47795,6/11/04,1815,MCGC,FCE,BTLH,M,AHY,3.3,48.9,17.9,30,4.9,N,,,,
4000-47796,6/12/04,1509,MCGC,FCE,BTLH,F,AHY,3.3,50.8,19.2,30,6,H,,,,"r3,5 lt. wear"
4000-47797,6/12/04,1537,MCGC,FCE,BTLH,F,AHY,3.4,50.4,18.5,29.5,6,N,,,,
4000-47798,6/12/04,1600,MCGC,FCE,BTLH,M,AHY,3.1,49.8,16.4,31,4.8,N,,,,
4000-47799,6/12/04,1640,MCGC,TBE,BTLH,M,AHY,3.4,50.3,17,31,4.5,N,,,,
4000-47800,6/12/04,1645,MCGC,FCE,BTLH,M,AHY,3.4,51,17.2,30.2,4.9,N,,,,
4000-88228,6/13/04,0815,MCGC,FCE,BTLH,F,SY,3.5,50.9,19,30.5,5.5,N,,,,FOREIGN RECAPTURE- AZ
5000-29451,6/14/04,0627,MCGC,FCE,BTLH,F,AHY,3.3,49.5,19.5,29.5,5.5,L,6C,,,r5 lt. wear
5000-29452,6/14/04,0642,MCGC,FCE,BTLH,F,AHY,3.5,50.1,19,28,5.8,M,,,,"r3,4 mod. wear. E7"
5000-29453,6/14/04,0652,MCGC,FCE,BTLH,F,AHY,3.9,50.6,18.9,30.1,6,N,,,,
5000-29454,6/14/04,0713,MCGC,FCE,BTLH,M,AHY,3.2,49.8,17,30.5,5,N,,,,
5000-29455,6/14/04,0723,MCGC,FCE,BTLH,M,AHY,3.1,49.4,17.5,31.2,4.6,N,,,,"r4,5 white tips"
5000-29456,6/14/04,0730,MCGC,FCE,BTLH,F,AHY,3.3,51.5,18.5,30,5.5,M,,,,"r4-5 mod. wear, lost r5l "
5000-29457,6/14/04,0743,MCGC,TBE,BTLH,F,AHY,3.5,50.1,19,31,5,N,,,,
5000-29458,6/14/04,0752,MCGC,FCE,BTLH,F,AHY,3.4,50.2,18.5,29.2,5.5,L,,,,r3 lt. wear
5000-29459,6/14/04,0810,MCGC,TBE,BTLH,F,AHY,3.5,50,18.5,29.5,5,N,,,,
5000-29460,6/15/04,0808,MCGC,FCE,BTLH,F,AHY,3.1,50.6,18,29.8,5,N,,,,thistle down on culmen
5000-29461,6/15/04,0825,MCGC,TBE,BTLH,F,AHY,3.4,49.5,18.5,27.5,5.5,N,,,,
5000-29462,6/15/04,0828,MCGC,TBE,BTLH,F,AHY,3.5,49.2,18,28.5,5.5,N,,,,
5000-29463,6/15/04,0835,MCGC,TBE,BTLH,F,AHY,3.2,49.4,,31.5,5.5,N,,,,
