Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,
9000-12225,06/28/2007,14:55,MCGC,FCE,RUHU,M,AHY,3.3,40.2,16.0,28.4,2.1,,,,,a few gn feathers on back,
9000-12226,07/05/2007,8:22,MCGC,FCE,RUHU,M,AHY,3.5,41.2,17.2,29.0,2.0,,,,,similar with green crown,
9000-12227,07/05/2007,12:38,MCGC,FCE,RUHU,M,AHY,3.6,41.3,16.1,29.6,2.5,,,,,similar,
9000-12228,07/05/2007,12:47,MCGC,FCE,RUHU,M,AHY,3.6,40.7,16.4,29.2,2.3,,,,,no gn on back,
9000-12229,07/06/2007,7:43,MCGC,TBE,RUHU,M,AHY,3.3,38.6,16.8,30.0,3.0,,,,,,
9000-12230,07/06/2007,11:38,KV1,FCE,RUHU,M,AHY,3.3,40.7,16.8,29.4,2.5,,,,,a few gn back feathers,
9000-12234,07/07/2007,5:53,MCGC,FCE,RUHU,M,AHY,4.0,42.0,17.1,29.4,2.4,,,,,similar,
9000-12237,07/07/2007,6:25,MCGC,FCE,RUHU,M,AHY,3.4,41.2,17.0,27.6,2.5,,,,,gn feathers on back,
9000-12550,07/07/2007,16:10,HPK1,TBE,RUHU,M,AHY,3.6,38.3,17.0,28.5,3.5,,,,,gn feathers on back,
9000-12575,07/08/2007,6:54,MCGC,FCE,RUHU,M,AHY,4.2,41.1,16.0,29.0,2.2,,,,,,
9000-12597,07/08/2007,17:20,MP1,TBE,RUHU,M,AHY,3.6,40.0,16.5,29.0,2.2,,,,,,
9000-12600,07/08/2007,17:58,MP1,TBE,RUHU,M,AHY,3.6,41.6,15.9,26.5,2.5,,,,,or. pollen on culmen,
9000-12647,05/11/2007,11:45,CC3,FCE,BTLH,F,AHY,4.2,50.2,19.4,29.8,5.5,,6c,,,"E8, 2 pin feathers on crown",
9000-12648,05/11/2007,16:40,MP1,FCE,BTLH,F,AHY,3.7,49.9,18.4,30.0,5.5,,,M,,"E6, r2 blk tip",
9000-12649,05/12/2007,7:40,MCGC,FCE,BTLH,F,AHY,3.4,51.0,18.0,29.9,5.5,,2c,,,"c.p., gn thread on toes",
9000-12650,05/12/2007,8:06,MCGC,FCE,BTLH,F,AHY,3.9,50.8,18.0,29.8,5.0,,,L-M,,"E6, r1 blk tip",
9000-12697,07/05/2007,13:05,MCGC,FCE,CAHU,M,AHY,2.8,38.0,14.2,18.0,3.7,,,,,"faint white near tips r5, inner/outer web",
9000-12698,07/08/2007,6:55,MCGC,TBE,CAHU,M,AHY,2.6,37.5,14.0,18.5,3.8,,,,,,
9000-12699,07/18/2007,19:56,MCGC,FCE,CAHU,M,AHY,2.9,37.3,14.0,17.6,3.7,,,,,white in/outer web r5 at tip,
9000-12700,07/23/2007,13:00,MP1,TBE,CAHU,M,AHY,3.2,39.0,16.1,18.5,3.5,,,,,,
9000-39001,07/09/2007,7:05,MCGC,FCE,RUHU,M,AHY,3.5,41.7,17.0,28.8,2.3,,,,,,
9000-39006,07/09/2007,8:30,MCGC,TBE,RUHU,M,AHY,3.4,38.7,15.5,27.0,2.0,,,,,a few gn feathers on back,
9000-39013,05/07/2007,10:35,CC3,FCE,BTLH,M,AHY,3.4,50.3,17.2,32.0,,N,,,,"faint white area, r5 inner web near tip",
9000-39014,05/07/2007,16:00,MP1,FCE,BTLH,M,AHY,3.4,50.4,17.1,31.0,4.5,N,,,,r5 no white,
9000-39015,05/10/2007,19:30,MCGC,FCE,BTLH,M,AHY,3.4,49.5,17.5,32.0,4.8,N,,,,r5 no white,
9000-39016,05/11/2007,12:32,CC3,FCE,BTLH,M,AHY,3.3,49.1,17.2,32.5,5.0,N,,,,"r4r only, white tip",
9000-39017,05/11/2007,16:07,MP1,FCE,BTLH,M,AHY,3.3,49.0,17.3,31.2,4.7,N,,,,"r4,5 white inner web at tip",
9000-39018,05/11/2007,16:32,MP1,FCE,BTLH,M,AHY,3.1,49.3,17.8,31.0,4.8,N,,,,,
9000-39019,05/11/2007,16:40,MP1,FCE,BTLH,M,AHY,3.4,49.5,18.4,30.2,4.5,N,,,,v sm white area near tip r5; pine sap on rt wing tip and rects.,
9000-39020,05/13/2007,11:45,MP1,FCE,BTLH,M,AHY,3.5,49.1,18.1,29.8,,N,,,,"r5r, white tip, 4.3mm",
9000-39021,05/11/2007,17:22,MP1,FCE,BTLH,M,AHY,3.3,49.8,17.7,32.8,4.0,N,,,,"1 ru feather, ctr bottom of gorget",
