Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Replaced Band Number
9000-90377,6/29/2008,7:28,MCGC,FCE,BTLH,F,AHY,3.7,50.6,18.5,30.2,,M,L,,,used narrower band; former R47796,4000-47796
9000-90490,7/9/2008,11:35,MP1,FCE,BTLH,M,AHY,3.2,49.9,,31.5,,,,,,former N02973 foreign; band too wide,5000-02973
9000-90216,6/16/2008,8:37,MCGC,FCE,BTLH,F,AHY,4.1,49.4,18.5,30,,M,H,6-8c,,"E6, debris under band; Former N29478",5000-29478
9000-90883,7/18/2008,7:15,MCGC,FCE,BTLH,F,AHY,3.3,49.4,18,30,,H,M-H,,,former N29595,5000-29595
9000-90908,7/26/2008,6:50,MCGC,FCE,BTLH,F,AHY,3.4,51,18.8,32,,N,M,,,former C23694,6000-23694
9000-90414,7/3/2008,12:17,CC2,FCE,BTLH,F,AHY,3.7,49.5,18.8,30.2,,N,L,,,former C23745,6000-23745
9000-91047,8/10/2008,8:06,MCGC,FCE,BTLH,F,AHY,3.7,50.8,,30.2,,L,L,,,,6000-23805
9000-90273,6/19/2008,7:23,MCGC,FCE,BTLH,F,AHY,3.4,,,,,,,,,formerly C80978,6000-80978
9000-91152,7/30/2008,19:00,MCGC,FCE,BTLH,F,AHY,4,49.7,,,,L,H,8c,,spider web on leg; former E11917,9000-11917
3100-41493,8/31/2008,9:50,CC2,FCE,BTLH,F,AHY,4.3,51,,,,L,M,,,former E11985,9000-11985
9000-90668,7/20/2008,8:10,MCGC,FCE,BTLH,F,AHY,4,51,20.6,31.5,,M,L,,,"former E11994, removed spider silk",9000-11994
9000-90316,6/23/2008,17:43,MCGC,FCE,BTLH,F,AHY,3.5,48,,,,H,,,,debris under band; former band E39250,9000-39250
3100-41468,8/30/2008,10:42,MP1,FCE,BTLH,M,HY,3.3,50.1,16.9,30.3,,N,M,,,,9000-52548
9000-91230,8/21/2008,17:37,GNMTN,FCE,BTLH,F,AHY,4.1,50.4,19.5,30.5,,N,,,,pine pitch/ former band E90893,9000-90893
9000-39790,7/10/2008,8:57,MCGC,FCE,CAHU,M,AHY,2.7,38.2,14,19,,,,,,,
9000-39793,7/11/2008,18:50,MCGC,TBE,CAHU,M,AHY,2.9,37.2,14,18.5,,,,,,,
9000-39794,7/17/2008,8:30,MCGC,FCE,CAHU,M,AHY,2.6,38.7,13,18,,,,,,,
9000-39795,7/20/2008,7:50,MCGC,FCE,CAHU,F,AHY,3.2,42.3,15.4,20.9,,VL,,VL,,,
9000-39796,7/17/2008,11:22,MCGC,FCE,CAHU,F,AHY,3.2,43,15.5,21,,N,v.sm.,H,,gorget-gn/mg feathers,
9000-39797,7/19/2008,7:40,MCGC,FCE,CAHU,F,AHY,2.8,41.5,16,20.2,,L,,VL,,,
9000-39798,7/19/2008,7:40,MCGC,FCE,CAHU,F,AHY,2.9,43.6,15.3,22,,L-M,,L-M,,old r1s/skeleton r1s,
9000-39799,7/20/2008,8:15,MCGC,TBE,CAHU,M,AHY,2.7,37.1,14.2,17.2,,,,,,,
9000-39800,7/20/2008,12:55,MP1,FCE,CAHU,M,AHY,3.1,38.8,15.1,18.5,,,,,,,
9000-40046,6/22/2008,20:22,MCGC,FCE,RUHU,M,AHY,3.8,39.5,16.3,28,,,,,,,
9000-40047,7/4/2008,14:45,HPK1,FCE,RUHU,M,AHY,3.5,40.9,16,29,,,,,,,
9000-40048,7/5/2008,16:45,HOLZ,FCE,RUHU,M,AHY,3.4,41.3,16.2,29,,,,,,,
9000-40049,7/5/2008,17:05,HOLZ,FCE,RUHU,M,AHY,3.6,41.9,16.1,28.5,,,,,,r5 2.5 mm,
9000-40050,7/8/2008,19:45,MCGC,FCE,RUHU,M,AHY,3.7,39.1,16.3,28.1,,,,,,,
9000-40064,7/22/2008,10:50,MP1,FCE,CAHU,M,AHY,2.8,39,14,27.5,,,,,,,
9000-89901,6/6/2008,12:20,HPK1,FCE,BTLH,M,AHY,3.3,50.1,17.2,31.5,,N,,,,,
9000-89902,6/6/2008,12:23,HPK1,FCE,BTLH,M,AHY,3.1,50.1,17.5,31.9,,N,,,,,
9000-89903,6/6/2008,13:35,MP1,TBE,BTLH,M,AHY,3,48.2,17.2,32,,N,,,,,
9000-89904,6/6/2008,16:28,MP1,TBE,BTLH,M,AHY,3.1,45,17.8,31,,N,,,,P9 5.5mm <P10,
9000-89905,6/7/2008,11:35,HOLZ,FCE,BTLH,M,AHY,3.6,49.6,17.1,32,,N,,,,,
9000-89906,7/9/2008,7:15,MCGC,FCE,RUHU,M,AHY,3.3,39.2,16,29,,N,,,,,
9000-89907,6/7/2008,14:23,GNMTN,FCE,BTLH,M,AHY,3.1,48.1,17.1,28.5,,N,,,,"disoriented condition, released ok",
9000-89908,6/7/2008,15:35,GNMTN,FCE,BTLH,M,AHY,3.2,50.1,17.7,31.3,,N,,,,,
9000-89909,6/7/2008,16:30,KV1,FCE,BTLH,M,AHY,3.3,48.2,17.2,30.8,,N,,,,,
9000-89910,6/7/2008,17:06,KV1,TBE,BTLH,M,AHY,3.3,49.1,15.2,30,,N,,,,,
9000-89911,6/7/2008,17:21,KV1,FCE,BTLH,M,AHY,3.3,49.6,17.6,31,,N,,,,,
9000-89912,6/9/2008,10:17,CC3,FCE,BTLH,M,AHY,3.3,50.2,18.4,31,,N,,,,,
9000-89913,6/9/2008,15:30,HPK1,FCE,BTLH,M,AHY,3.2,49.8,16.4,31.2,,N,,,,,
9000-89914,6/9/2008,16:23,HPK1,FCE,BTLH,M,AHY,3.1,49.7,17,31,,N,,,,,
9000-89915,6/9/2008,16:24,HPK1,FCE,BTLH,M,AHY,3.2,49.3,18.1,30.1,,N,,,,,
9000-89916,6/10/2008,19:40,MCGC,FCE,BTLH,M,AHY,3.6,50.5,16,29,,N,,,,P9 3.5mm<P10,
9000-89917,6/11/2008,7:05,MCGC,TBE,BTLH,M,AHY,3.2,48.5,18,30.5,,N,,,,,
9000-89918,6/11/2008,7:25,MCGC,FCE,BTLH,M,AHY,3.1,49.7,17,30.5,,N,,,,,
9000-89919,6/14/2008,10:28,KV1,FCE,BTLH,M,AHY,3.2,48.5,17.1,30,,N,,,,,
9000-89920,6/14/2008,11:57,KV1,TBE,BTLH,M,AHY,3.1,50,17.3,29.5,,N,,,,,
9000-89921,6/14/2008,15:02,GNMTN,TBE,BTLH,M,AHY,3.4,49.5,17.2,31,,N,,,,,
9000-89922,6/14/2008,15:17,GNMTN,FCE,BTLH,M,AHY,3.4,49.8,17.4,32.2,,N,,,,"silent approach, p10s OK",
9000-89923,6/14/2008,15:53,GNMTN,FCE,BTLH,M,AHY,2.9,496,17,31.1,,N,,,,,
9000-89924,6/14/2008,17:43,HOLZ,TBE,BTLH,M,AHY,3.3,48.1,18,31,,N,,,,,
9000-89925,6/14/2008,18:32,HOLZ,TBE,BTLH,M,AHY,3.3,49.1,18,31,,N,,,,,
9000-89926,6/14/2008,18:36,HOLZ,TBE,BTLH,M,AHY,3.4,48.4,17,31.5,,N,,,,,
9000-89927,6/14/2008,18:55,HOLZ,TBE,BTLH,M,AHY,3.6,48.7,,30,,N,,,,,
9000-89928,6/16/2008,6:48,MCGC,FCE,BTLH,M,AHY,3.3,49.7,16.2,32.2,,N,,,,,
9000-89929,6/16/2008,8:18,MCGC,FCE,BTLH,M,AHY,3.2,49.6,17,30.5,,N,,,,,
9000-89930,6/16/2008,11:10,MP1,TBE,BTLH,M,AHY,3.4,48.6,17.2,29.5,,N,,,,,
9000-89931,6/16/2008,11:32,MP1,TBE,BTLH,M,AHY,3.3,50,17.1,31,,N,,,,,
9000-89932,6/16/2008,12:05,MP1,TBE,BTLH,M,AHY,3.2,49.2,17,31,,N,,,,,
9000-89933,6/16/2008,13:28,MP1,TBE,BTLH,M,AHY,3.4,48.6,18.3,32,,,,,,,
9000-89934,6/17/2008,10:47,HPK1,TBE,BTLH,M,AHY,3.2,47.7,17.5,31.5,,N,,,,,
9000-89935,6/17/2008,11:23,HPK1,TBE,BTLH,M,AHY,3.3,49.8,18.3,32.5,,N,,,,,
9000-89936,6/17/2008,11:39,HPK1,TBE,BTLH,M,AHY,3.1,48,18,30,,N,,,,"old bill injury, top, near base",
9000-89937,6/17/2008,12:00,HPK1,TBE,BTLH,M,AHY,3.2,48.4,17.5,32,,N,,,,,
9000-89938,6/17/2008,16:00,MP1,TBE,BTLH,M,AHY,3.4,,17,,,,,,,Escaped,
9000-89939,6/18/2008,12:35,CC3,FCE,BTLH,M,AHY,3.3,49.2,17.3,31.1,,N,,,,,
9000-89940,6/19/2008,6:30,MCGC,FCE,BTLH,M,AHY,3.1,49.4,17.8,32.5,,N,,,,,
9000-89941,6/19/2008,7:18,MCGC,TBE,BTLH,M,AHY,3.1,48.5,17.1,31,,,,,,,
9000-89942,6/21/2008,11:34,GNMTN,FCE,BTLH,M,AHY,3.2,47.9,16.6,30.6,,,,,,,
9000-89943,6/21/2008,11:40,GNMTN,FCE,BTLH,M,AHY,3.5,49.1,18,30.2,,,,,,,
9000-89944,6/21/2008,12:00,GNMTN,TBE,BTLH,M,AHY,3.2,48.3,16.9,30,,,,,,,
9000-89945,6/21/2008,12:30,GNMTN,FCE,BTLH,M,AHY,3.4,50.5,17,31,,,,,,,
9000-89946,6/21/2008,14:27,GNMTN,FCE,BTLH,M,AHY,3.1,50,17.8,31,,,,,,,
9000-89947,6/21/2008,14:56,GNMTN,FCE,BTLH,M,AHY,3.1,49.4,16.8,31.7,,,,,,,
9000-89948,6/21/2008,14:56,GNMTN,FCE,BTLH,M,AHY,3.4,49.6,17.8,30.9,,,,,,,
9000-89949,6/21/2008,17:05,HOLZ,FCE,BTLH,M,AHY,3.2,49.3,17.2,31,,,,,,,
9000-89950,6/24/2008,6:22,MCGC,TBE,BTLH,M,AHY,3.3,48.1,16.9,32,,,,,,,
9000-89951,6/11/2008,12:30,MP1,FCE,BTLH,M,AHY,3.4,50.4,18.2,32,,,,,,,
9000-89952,6/17/2008,19:18,MCGC,TBE,BTLH,M,AHY,3,48.8,17.8,31,,,,,,,
9000-89953,6/24/2008,10:58,MP1,FCE,BTLH,M,AHY,3.1,49.6,18,31.2,,,,,,,
9000-89954,6/24/2008,10:58,MP1,TBE,BTLH,M,AHY,3.2,49.4,18.5,31.5,,,,,,,
9000-89955,6/24/2008,11:05,MP1,TBE,BTLH,M,AHY,3.8,49.2,17.1,31,,,,,,,
9000-89956,6/24/2008,11:24,MP1,TBE,BTLH,M,AHY,3.2,48.6,17.5,30,,,,,,,
9000-89957,6/24/2008,11:33,MP1,TBE,BTLH,M,AHY,3.2,48.7,17.9,31,,,,,,,
9000-89958,6/24/2008,11:57,MP1,TBE,BTLH,M,AHY,3.2,47.4,16.9,31,,,,,,,
9000-89959,6/24/2008,11:57,MP1,TBE,BTLH,M,AHY,3.5,49.6,18.1,30.5,,,,,,,
9000-89960,6/24/2008,12:18,MP1,TBE,BTLH,M,AHY,3.4,49.6,16.5,32,,,,,,,
9000-89961,6/24/2008,12:25,MP1,TBE,BTLH,M,AHY,3,48.4,17.3,31.5,,,,,,,
9000-89962,6/24/2008,12:25,MP1,TBE,BTLH,M,AHY,3.4,49.7,17.8,30.5,,,,,,,
9000-89963,7/9/2008,12:50,MP1,FCE,RUHU,M,AHY,3.8,40.1,16.5,29,,,,,,,
9000-89964,6/24/2008,12:40,MP1,TBE,BTLH,M,AHY,3.3,49.3,18.3,31,,,,,,,
9000-89965,6/28/2008,11:25,HOLZ,FCE,BTLH,M,AHY,3.3,50,17.2,31.2,,,,,,,
