Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Old Band Number
9000-90780,07/05/2010,9:43,MCGC,FCE,RUHU,AHY,M,3.3,40.8,15.8,29.0,,,,,,,
3100-41756,07/06/2010,6:30,MCGC,FCE,RUHU,AHY,M,3.7,39.1,16.0,29.0,,,,,,,
3100-42179,07/15/2010,14:40,MCGC,FCE,CAHU,AHY,M,2.7,37.9,14.1,18.8,,,,,,,
3100-42197,07/17/2010,6:50,MCGC,FCE,CAHU,AHY,M,2.8,39.8,14.2,19.0,,,,,,,
3100-42198,07/17/2010,7:20,MCGC,FCE,CAHU,AHY,M,3.4,40.1,14.2,19.0,,,,,,,
3100-42199,07/16/2010,6:48,MCGC,FCE,CAHU,AHY,M,2.8,39.6,,18.8,,,,,,,
3100-42200,07/14/2010,7:25,MCGC,FCE,CAHU,AHY,F,2.8,42.2,16.5,22.0,,,,,,,
3100-42456,05/26/2010,10:22,CC3,FCE,BTLH,AHY,F,3.6,50.4,18.0,31.0,,,,,,,
3100-42459,06/12/2010,15:11,MCGC,FCE,BTLH,AHY,F,3.6,51.0,19.0,28.0,,,,,,6.2 mm tarsus,500029452
3100-42460,06/12/2010,17:36,MCGC,FCE,BTLH,AHY,F,3.9,50.3,19.2,30.0,,,,,,,
3100-42673,07/09/2010,6:28,MCGC,FCE,RUHU,AHY,M,4.1,39.9,16.8,28.0,,,,,,,
3100-42674,07/09/2010,19:25,MCGC,FCE,RUHU,AHY,M,3.7,40.3,16.8,27.5,,,,,,,
3100-42675,07/09/2010,20:22,MCGC,FCE,RUHU,AHY,M,3.8,40.9,16.8,29.0,,,,,,,
4100-07866,05/17/2010,9:07,MCGC,FCE,BTLH,AHY,F,3.3,50.6,17.2,29.2,,,,,,,
4100-07867,05/17/2010,12:30,MP1,FCE,BTLH,AHY,F,3.1,50.2,19.2,31.0,,,,,,,
4100-07868,05/17/2010,12:54,MP1,FCE,BTLH,AHY,F,3.3,50.5,18.8,29.0,,,,,,,
4100-07869,05/17/2010,13:11,MP1,FCE,BTLH,AHY,F,3.6,51.8,19.2,30.2,,,,,,,
4100-07870,05/17/2010,13:30,MP1,FCE,BTLH,AHY,F,3.9,50.1,18.3,28.8,,,,,,,
4100-07876,05/16/2010,7:20,MCGC,FCE,BTLH,AHY,M,3.4,50.6,18.1,31.5,,,,,,,
4100-07877,05/16/2010,15:00,MP1,FCE,BTLH,AHY,M,3.4,50.4,17.2,32.1,,,,,,,
4100-07878,05/16/2010,15:05,MP1,FCE,BTLH,AHY,M,3.4,50.3,17.1,32.0,,,,,,,
4100-07901,05/28/2010,12:00,MP1,FCE,BTLH,AHY,M,3.4,50.0,18.3,32.0,,,,,,,
4100-07902,05/28/2010,12:09,MP1,FCE,BTLH,AHY,M,3.1,50.9,18.4,32.9,,,,,,,
4100-07903,05/28/2010,12:22,MP1,TBE,BTLH,AHY,M,3.1,48.4,17.7,,,,,,,,
4100-07904,05/28/2010,12:35,MP1,FCE,BTLH,AHY,M,3.6,50.5,18.2,30.0,,,,,,,
4100-07905,05/28/2010,13:37,MP1,TBE,BTLH,AHY,M,3.1,48.9,18.3,31.0,,,,,,,
4100-07906,05/28/2010,13:46,MP1,TBE,BTLH,AHY,M,3.1,49.5,16.9,33.0,,,,,,,
4100-07907,05/28/2010,13:55,MP1,FCE,BTLH,AHY,M,3.3,49.5,17.1,32.3,,,,,,,
