Band Number, Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r1 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
4100-08489,05/30/2011,10:18,MP1,FCE,BTLH,F,AHY,3.7,49.3,,,,,,,,former L42864; band to left leg
4100-08490,07/05/2011,12:23,MP1,FCE,BTLH,F,AHY,3.5,50.7,19.6,30.6,,,,,,
4100-08652,05/29/2011,12:25,MP1,FCE,BTLH,F,AHY,3.5,50.8,18.6,28.8,,,,,,
4100-58641,06/18/2011,13:11,MP1,FCE,BTLH,F,AHY,3.9,50.9,18.9,30.2,,,,,,
4100-58642,06/18/2011,13:39,MP1,FCE,BTLH,F,AHY,4.0,49.6,18.2,29.3,,,,,,
4100-58643,06/18/2011,14:08,MP1,FCE,BTLH,F,AHY,3.7,51.1,18.7,30.5,,,,,,
4100-58644,06/18/2011,17:30,MCGC,FCE,BTLH,F,AHY,3.7,51.4,19.3,30.0,,,,,,
4100-58645,06/22/2011,17:00,KV1,FCE,BTLH,F,AHY,3.4,49.9,18.7,29.0,,,,,,
4100-58646,06/10/2011,11:15,HPK2,FCE,BTLH,F,AHY,3.6,51.8,19.8,30.5,,,,,,
4100-58647,06/17/2011,18:56,MP1,FCE,BTLH,F,AHY,3.7,50.6,,,,,,,,former L08376; band to left leg
4100-58648,06/16/2011,8:10,MCGC,FCE,BTLH,F,AHY,3.7,50.5,18.2,28.2,,,,,,former L08231; band to left leg
4100-58649,06/16/2011,17:06,MP1,FCE,BTLH,F,AHY,3.49,50.4,19.7,30.0,,,,,,
4100-58650,06/16/2011,17:30,MP1,FCE,BTLH,F,AHY,3.68,50.2,17.7,30.2,,,,,,
4100-58901,07/30/2011,6:10,MCGC,FCE,CAHU,F,AHY,3.2,41.5,15.8,20.8,,,,,,
4100-58902,08/04/2011,6:30,MCGC,FCE,CAHU,F,AHY,3.3,42.6,16.2,20.1,,,,,,
4100-58903,08/07/2011,6:30,MCGC,FCE,CAHU,M,HY,2.8,40.5,14.5,19.0,,,,,,
4100-58904,08/07/2011,7:40,MCGC,FCE,CAHU,F,AHY,3.2,42.4,16.2,19.1,,,,,,
4100-58905,08/12/2011,8:25,MCGC,FCE,CAHU,F,AHY,3.3,42.5,15.1,21.2,,,,,,
