Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-11529,06/01/03,MCGC,BTLH,M,AHY,2005,5/13 3.5g,5/15 3.3g,5/16 3.3g,,,,,,,,,,,,,,,
5000-11536,06/04/03,MCGC,BTLH,F,AHY,2005,6/10 3.5g,6/12 3.4g E6,,,,,,,,,,,,,,,,
5000-11543,06/04/03,MCGC,BTLH,F,AHY,2005,6/13 3.6g E6,6/18 3.4g,7/31 3.9g,,,,,,,,,,,,,,,"Jul, r3 Lt wear"
5000-11554,06/05/03,MCGC,BTLH,F,AHY,2005,8/1 4.3g,,,,,,,,,,,,,,,,,"Aug, LTW"
5000-11558,06/12/03,MCGC,BTLH,F,AHY,2005,5/17 3.4g,5/18 3.4g,6/12 3.7g E7,6/13 n.w.,6/18 3.6g,7/8 3.5g,7/19 3.5g,7/25 3.5g,,,,,,,,,,"Jul, HTW"
5000-11591,06/15/03,MCGC,BTLH,M,AHY,2005,5/16 3.4g,,,,,,,,,,,,,,,,,
5000-11593,06/15/03,MCGC,BTLH,F,AHY,2005,5/14 3.4g,6/13 3.4g,,,,,,,,,,,,,,,,
5000-11601,06/15/03,MCGC,BTLH,F,AHY,2005,6/13 3.4g,7/10 3.4g E6,,,,,,,,,,,,,,,,
5000-11632,06/22/03,MCGC,BTLH,M,AHY,2005,5/15 3.1g,5/16 3.3g 7x,5/17 3.3g 5x,5/18 3.2g 2x,5/19 3.2g,6/13 3.1g,,,,,,,,,,,,
5000-11633,06/22/03,MCGC,BTLH,M,AHY,2005,5/14 3.2g 2x,,,,,,,,,,,,,,,,,
5000-11635,06/22/03,MCGC,BTLH,F,AHY,2005,6/12 3.8g E6,6/13 3.6g,,,,,,,,,,,,,,,,
5000-11639,06/22/03,MCGC,BTLH,M,AHY,2005,5/13 3.4g,5/14 3.2g,5/15 3.2g,5/16 3.1g 3x,5/19 3.1g,5/23 3.1g,5/25 3.2g,5/31 3.3g,6/2 3.2g,,,,,,,,,
5000-11657,06/28/03,MCGC,BTLH,F,AHY,2005,6/12 3.8g E6,6/13 3.4g,7/14 4.1g,7/21 3.5g,,,,,,,,,,,,,,
5000-11665,07/03/03,MCGC,BTLH,M,AHY,2005,5/13 3.5g,5/14 3.4g,5/15 3.3g,5/16 3.3g 3x,5/19 3.3g,,,,,,,,,,,,,
5000-11679,07/05/03,MCGC,BTLH,M,AHY,2005,5/16 3.3g,,,,,,,,,,,,,,,,,
5000-11693,07/06/03,MCGC,BTLH,M,AHY,2005,7/10 3.5g,,,,,,,,,,,,,,,,,
5000-11698,07/06/03,CC2,BTLH,F,AHY,2005,8/7 3.9g,,,,,,,,,,,,,,,,,
5000-11709,07/07/03,MCGC,BTLH,M,AHY,2005,5/15 3.3g,,,,,,,,,,,,,,,,,
