Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Comments
5000-11526,6/1/2003,MCGC,BTLH,F,AHY,8/23 3.7g,8/24 3.7g HTW,,,,,,,,,
5000-11528,6/1/2003,MCGC,BTLH,M,AHY,7/11 3.5g,,,,,,,,,,
5000-11529,6/1/2003,MCGC,BTLH,M,AHY,7/12 3.5g,,,,,,,,,,
5000-11536,6/4/2003,MCGC,BTLH,F,AHY,5/7 3.9g E7,,,,,,,,,,
5000-11538,6/4/2003,MCGC,BTLH,F,AHY,7/10 3.6g LTW,,,,,,,,,,
5000-11541,6/4/2003,MCGC,BTLH,F,AHY,6/10 3.8g,6/11 3.8g 3x,6/12 3.8g,6/13 3.5g,6/14 3.7g,6/16 3.6g E7,6/17 3.9g E7,,,,
5000-11543,6/4/2003,MCGC,BTLH,F,AHY,6/14 3.5g,7/19 3.6g,,,,,,,,,
5000-11552,6/5/2003,MCGC,BTLH,F,AHY,6/14  3.4g,6/17 3.4g,,,,,,,,,
5000-11553,6/5/2003,MCGC,BTLH,M,AHY,5/20 3.1g,5/27 3.2g,,,,,,,,,
5000-11554,6/5/2003,MCGC,BTLH,F,AHY,6/11 3.6g,,,,,,,,,,
5000-11558,6/12/2003,MCGC,BTLH,F,AHY,5/7 3.7g E7,,,,,,,,,,
5000-11592,6/15/2003,MCGC,BTLH,M,AHY,7/24 3.7g,,,,,,,,,,
5000-11593,6/15/2003,MCGC,BTLH,F,AHY,7/24 3.5g,8/8 3.5g,,,,,,,,,
5000-11594,6/15/2003,MCGC,BTLH,M,AHY,5/10 3.2g,,,,,,,,,,
5000-11597,6/15/2003,MCGC,BTLH,M,AHY,6/13 3.5g,,,,,,,,,,
5000-11601,6/15/2003,MCGC,BTLH,F,AHY,6/10 4.2g E7,6/11 3.5g 2x,6/13 3.3g,6/14 3.3g,6/15 3.3g 2x,6/17 3.4g,6/18 3.5g ,7/27 3.5g,,,
5000-11603,6/15/2003,MCGC,BTLH,M,AHY,6/15 3.0g ,,,,,,,,,,
5000-11607,6/15/2003,MCGC,BTLH,F,AHY,6/3 3.5g,6/12 3.5g,,,,,,,,,
5000-11609,6/16/2003,MCGC,BTLH,F,AHY,6/14 3.5g,6/16 3.4g,6/18 3.7g,,,,,,,,
5000-11632,6/22/2003,MCGC,BTLH,M,AHY,6/18 3.1g,,,,,,,,,,
5000-11635,6/22/2003,MCGC,BTLH,F,AHY,5/28 3.4g,6/4 3.8g E6,6/29 3.4g LTW,,,,,,,,
5000-11637,6/22/2003,MCGC,BTLH,M,AHY,6/17 3.4g,,,,,,,,,,
5000-11639,6/22/2003,MCGC,BTLH,M,AHY,6/10 3.7g,6/11 3.2g,6/13 3.0g,6/15 3.0g,6/18 3.2g,6/29 2.9g,6/28 3.1g,,,,
5000-11641,6/26/2003,MCGC,BTLH,F,AHY,6/11 3.5g,,,,,,,,,,
5000-11647,6/27/2003,MCGC,BTLH,F,AHY,6/10 3.4g,,,,,,,,,,
5000-11648,6/27/2003,MCGC,BTLH,F,AHY,6/11 4.0g,,,,,,,,,,
5000-11649,6/28/2003,MCGC,BTLH,F,AHY,6/15 3.7g E7,,,,,,,,,,
5000-11663,7/4/2003,MCGC,BTLH,F,AHY,6/4 3.5g,6/26 3.9g,7/11 3.7g,7/15 3.7g,,,,,,,
5000-11666,7/3/2003,MCGC,BTLH,M,AHY,6/10 3.4g,,,,,,,,,,
5000-11669,7/4/2003,MCGC,BTLH,F,AHY,6/13 3.5g E7,,,,,,,,,,
5000-11683,7/5/2003,MCGC,BTLH,F,AHY,6/3 3.8g E8,6/15 3.3g HTW,7/19 3.3g 2x,7/24 3.7g 2x,,,,,,,
5000-11684,7/5/2003,MCGC,BTLH,F,AHY,6/18 4.1g,6/30 3.5g,,,,,,,,,
5000-11699,7/6/2003,MCGC,BTLH,F,AHY,7/12 3.6g,,,,,,,,,,
5000-11706,7/7/2003,MCGC,BTLH,F,AHY,7/24 n.w.,,,,,,,,,,
5000-11723,7/10/2003,MCGC,BTLH,F,AHY,6/10 3.4g E7,7/26 3.5g,,,,,,,,,
5000-11731,7/10/2003,MCGC,BTLH,F,AHY,5/8 3.5g,6/10 3.5g,6/11 3.6g,6/16 3.7g,,,,,,,
5000-11732,7/11/2003,MCGC,BTLH,F,AHY,6/16 3.9g E8,7/15 3.3g LTW,,,,,,,,,
5000-11738,7/11/2003,MCGC,BTLH,F,AHY,6/11 3.6g,7/1 3.5g HTW ,7/19 3.7g,,,,,,,,
5000-11754,7/12/2003,MCGC,BTLH,F,AHY,6/14 3.3g,6/18 3.3g,,,,,,,,,
5000-11757,7/12/2003,MCGC,BTLH,F,AHY,6/11 3.3g 2x,6/14 3.4g HTW,6/15 3.6g E7,6/16 3.3g 2x,6/17 3.3g,6/18 3.4g,7/14 3.6g,7/19 3.5 g ,8/10 3.3g,8/16 3.5g HTW,
5000-11774,7/10/2003,MCGC,BTLH,M,AHY,6/14 3.4g,,,,,,,,,,
5000-11776,7/14/2003,MCGC,BTLH,F,AHY,7/15 3.2g,,,,,,,,,,
5000-11779,7/18/2003,MCGC,BTLH,F,AHY,8/10 3.4g,,,,,,,,,,
5000-11787,7/18/2003,MCGC,BTLH,F,AHY,7/1 3.5g,,,,,,,,,,
5000-29205,7/19/2003,MCGC,BTLH,F,AHY,6/26 3.6g,7/25 3.6g,,,,,,,,,
5000-29213,7/19/2003,MCGC,BTLH,F,AHY,7/19 3.8g,,,,,,,,,,
5000-29217,7/20/2003,MCGC,BTLH,F,AHY,7/26 4.4g HTW,,,,,,,,,,
5000-29218,7/20/2003,MCGC,BTLH,F,AHY,6/13 4.2g E7,6/17 4.1g E8/9,,,,,,,,,
5000-29248,7/25/2003,MCGC,BTLH,M,AHY,6/10 3.0g,,,,,,,,,,
5000-29263,7/26/2003,MCGC,BTLH,F,AHY,6/15 3.2g,,,,,,,,,,
5000-29266,7/26/2003,MCGC,BTLH,F,AHY,6/14 3.7g,,,,,,,,,,
5000-29306,8/1/2003,MCGC,BTLH,F,AHY,6/10 4.2g ,6/13 3.6g,6/15 3.6g,6/18 3.5g,7/11 3.7g,,,,,,
5000-29320,8/2/2003,MCGC,BTLH,F,AHY,6/18 3.4g,,,,,,,,,,
5000-29348,8/4/2003,MP1,BTLH,F,AHY,8/14 3.6g,,,,,,,,,,
5000-29355,8/4/2003,MP1,BTLH,F,AHY,8/24 4.0g,,,,,,,,,,
5000-29360,8/4/2003,MP1,BTLH,F,AHY,8/21 3.5g,,,,,,,,,,
5000-29369,8/5/2003,MCGC,BTLH,F,AHY,6/10 3.3g,6/11 3.3g,6/15 3.4g,6/18 3.8g,7/24 3.4g,,,,,,
5000-29395,7/26/2003,MCGC,BTLH,F,AHY,6/16 4.0 2x,6/17 3.2g,6/28 3.3g,,,,,,,,
5000-29401,8/11/2003,MCGC,BTLH,M,AHY,6/13 3.5g,,,,,,,,,,
5000-29407,8/11/2003,MP1,BTLH,F,AHY,8/7  3.8g,,,,,,,,,,
4000-47651,8/16/2003,MCGC,BTLH,M,AHY,7/16 3.6g,,,,,,,,,,
4000-47657,8/17/2003,MCGC,BTLH,F,HY,6/16 3.7g E7,6/16 4.6g,7/24 3.5g,,,,,,,,
4000-47678,8/18/2003,MP1,BTLH,F,AHY,8/24 3.4g,,,,,,,,,,
4000-47692,8/18/2003,MP1,BTLH,F,AHY,8/24 3.5g,,,,,,,,,,
4000-47768,5/7/2004,MCGC,BTLH,M,AHY,"6/13, 3.1g",,,,,,,,,,
4000-47769,5/8/2004,MCGC,BTLH,M,AHY,"6/1, 3.4g",,,,,,,,,,
4000-47775,5/27/2004,MCGC,BTLH,F,AHY,"5/28, 3.4g","5/29, 3.3g","6/1, 3.7g E7",,,,,,,,
4000-47776,5/30/2004,MCGC,BTLH,F,AHY,"6/1, 3.4g ltw",,,,,,,,,,
4000-47779,6/2/2004,MCGC,BTLH,F,AHY,"6/15, 3.4g",,,,,,,,,,
4000-47784,6/10/2004,MCGC,BTLH,M,AHY,"6/13, 3.1g",,,,,,,,,,
4000-47788,6/10/2004,MCGC,BTLH,F,AHY,"6/13, 3.5g",,,,,,,,,,
4000-47790,6/10/2004,MCGC,BTLH,F,AHY,"6/13, 3.5g","6/16, 3.4g","6/17, 3.5g","6/18, 3.6g","6/26, 3.7g htw","6/28, 3.5g",,,,,
