Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-11543,06/04/03,MCGC,BTLH,F,AHY,2007,"7/5 3.5g, MTW",,,,,,,,,,,,,,,,,
5000-11601,06/15/03,MCGC,BTLH,F,AHY,2007,"6/9, 3.6g NTW ",6/12 3.5g E6,"6/28, 3.6g","7/8, 3.3g NTW","7/14, 3.3g",7/17 3.5g,,,,,,,,,,,,
5000-11606,06/22/03,MCGC,BTLH,F,AHY,2007,"7/19, 3.3g LTW",,,,,,,,,,,,,,,,,
5000-11614,06/16/03,MCGC,BTLH,F,AHY,2007,"6/8, 3.4g NTW",,,,,,,,,,,,,,,,,
5000-11639,06/22/03,MCGC,BTLH,M,AHY,2007,"5/10, 3.2g","5/11, 3.2g","5/15, 3.1g","5/17, 3.0g","5/21, 3.1g","5/29, n.w.","6/6, 3.1g","6.7, 3.4g","6/9, n.w.","6/14, 3.1g",,,,,,,,
5000-11741,07/11/03,MCGC,BTLH,F,AHY,2007,"6/17, 3.8g NTW",,,,,,,,,,,,,,,,,
5000-11757,07/12/03,MCGC,BTLH,F,AHY,2007,"6/7, 2X, 3.6g, E6","6/8, 3.5g, E6","7/5, 3.5g VLTW",,,,,,,,,,,,,,,
5000-11763*,07/12/03,MCGC,BTLH,F,AHY,2007,"6/17, 4.1g NTW","7/5, 3.9g NTW","7/8, 3.7g","7/9, 3.4g NTW","7/10, 3.4g",,,,,,,,,,,,,*New: E12256
5000-29217,07/20/03,MCGC,BTLH,F,AHY,2007,"6/21, 3.5g E6 NTW",,,,,,,,,,,,,,,,,
5000-29218,07/20/03,MCGC,BTLH,F,AHY,2007,"5/10, 4.0g E6",,,,,,,,,,,,,,,,,
5000-29287,07/28/03,MCGC,BTLH,F,AHY,2007,"7/1, 3.8g E9 at CC3",,,,,,,,,,,,,,,,,
5000-29357,08/04/03,MP1,BTLH,F,AHY,2007,"6/17, 4.0g NTW",,,,,,,,,,,,,,,,,
5000-29407,08/11/03,MP1,BTLH,F,AHY,2007,"5/14, 3.8g","6/8, 3.5g E6",,,,,,,,,,,,,,,,
5000-29428,08/12/03,MCGC,BTLH,F,AHY,2007,"8/7, 3.8g LTW",,,,,,,,,,,,,,,,,
4000-47664,08/17/03,MP1,BTLH,F,AHY,2007,"6/27, 3.9g E8, NTW",,,,,,,,,,,,,,,,,
4000-47686*,08/18/03,MP1,BTLH,F,AHY,2007,"5/13, 3.9g E8 NTW","5/22, 3.4g NTW",,,,,,,,,,,,,,,,*New: E12075
4000-47788,06/10/04,MCGC,BTLH,F,AHY,2007,"6/17, 3.5g HTW",,,,,,,,,,,,,,,,,
5000-29451,06/14/04,MCGC,BTLH,F,AHY,2007,"6/7, 3.5g","6/14, 3.7g","7/10, 3.2g NTW",,,,,,,,,,,,,,,
5000-29452,06/14/04,MCGC,BTLH,F,AHY,2007,"6/9, 3.5g E6","7/30, 3.6g VHTW",,,,,,,,,,,,,,,,
5000-29473,06/16/04,MCGC,BTLH,M,AHY,2007,"6/9, 3.1g",,,,,,,,,,,,,,,,,
5000-29478,06/16/04,MCGC,BTLH,F,AHY,2007,"7/30, 3.8g LTW",,"8/7, 4.1g","8/14, 3.7g","8/14, 3.5g",,,,,,,,,,,,,
5000-29486,06/18/04,MCGC,BTLH,F,AHY,2007,"6/5, 3.4g","6/7, 3.8g E7","6/8, 3.3g","7/5, 3.6g","7/6, 3.6g","7/8, 3.7g","7/10, 3.8g",,,,,,,,,,,
5000-29497,06/25/04,KV1,BTLH,M,AHY,2007,"6/13, 3.2g",,,,,,,,,,,,,,,,,
5000-29523,06/25/04,GNMTN,BTLH,F,AHY,2007,"6/13, 3.7g","7/24, 3.2g",,,,,,,,,,,,,,,,
5000-29526,06/26/04,MCGC,BTLH,F,AHY,2007,"6/14, 4.1g NTW",,,,,,,,,,,,,,,,,
5000-29537,06/30/04,GNMTN,BTLH,F,AHY,2007,"6/13, 3.3g","7/17, 3.4g","8/8, 3.7g NTW",,,,,,,,,,,,,,,
5000-29547,07/06/04,GNMTN,BTLH,F,AHY,2007,"8/1, 3.7g NTW",,,,,,,,,,,,,,,,,
5000-29552*,07/06/04,GNMTN,BTLH,F,AHY,2007,"7/24, 3.9g","8/1, 3.9g",,,,,,,,,,,,,,,,*New: E39955
5000-29592,07/11/04,MCGC,BTLH,F,AHY,2007,"7/5, 3.4g at CC3",,,,,,,,,,,,,,,,,
5000-29595,07/12/04,CC2,BTLH,F,AHY,2007,"7/18, 3.7g HTW at MCGC",,,,,,,,,,,,,,,,,
5000-29608,07/13/04,GNMTN,BTLH,F,AHY,2007,"6/20, n.w. E6","7/6, 3.4g E6 NTW",,,,,,,,,,,,,,,,
5000-29613,07/13/04,GNMTN,BTLH,F,AHY,2007,"6/20, 3.5g E6","8/8, 3.5g VLTW",,,,,,,,,,,,,,,,
5000-29676,07/18/04,GNMTN,BTLH,F,AHY,2007,"8/8, 3.6g NTW","8/23, 3.9g",,,,,,,,,,,,,,,,
5000-29687,07/19/04,MCGC,BTLH,F,AHY,2007,"6/12, 3.3g NTW",,,,,,,,,,,,,,,,,
5000-96612,07/22/04,KV1,BTLH,F,AHY,2007,"8/1, n.w. NTW",,,,,,,,,,,,,,,,,
5000-96639,07/24/04,MCGC,BTLH,F,AHY,2007,"7/1, 3.9g","7/10, 3.7g","7/14, 3.6g MTW",,,,,,,,,,,,,,,
5000-96675,07/26/04,MP1,BTLH,F,AHY,2007,"8/22, n.w. LTW",,,,,,,,,,,,,,,,,
5000-96676,07/26/04,MP1,BTLH,F,AHY,2007,"5/17, 3.7g E6",,,,,,,,,,,,,,,,,
5000-96684,07/26/04,MP1,BTLH,F,AHY,2007,"6/12, 3.3g",,,,,,,,,,,,,,,,,
5000-96714,08/03/04,MCGC,BTLH,F,HY,2007,"6/23, 3.6g NTW",,,,,,,,,,,,,,,,,
5000-96732,08/06/04,MP1,BTLH,F,AHY,2007,"5/16, 3.9g E8","5/22, 3.6 E6","5/29, 3.2g 2X",,,,,,,,,,,,,,,
5000-96737,08/06/04,MP1,BTLH,F,AHY,2007,"6/5, 3.3g",,,,,,,,,,,,,,,,,
