Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments,
5000-11543,06/04/2003,MCGC,BTLH,F,AHY,2008,"6/23, 3.8g",,,,,,,,,,,,,,,,,,
5000-11601,06/15/2003,MCGC,BTLH,F,AHY,2008,"6/18, 4.1g E8","6/23, 3.6g","7/6, 3.6g","7/10, 3.8g","7/19, 3.4g",,,,,,,,,,,,,,
5000-11639,06/22/2003,MCGC,BTLH,M,AHY,2008,"5/16, 3.2g","5/30, 3.1g","6/4, 3.1g","6/10, 3.1g",,,,,,,,,,,,,,,
5000-11763*,07/12/2003,MCGC,BTLH,F,AHY,2008,"6/13, 3.4g",,,,,,,,,,,,,,,,,*New: E12256,
5000-29276,07/27/2003,MCGC,BTLH,F,AHY,2008,3.3g at CC2,,,,,,,,,,,,,,,,,,
5000-29407,08/11/2003,MP1,BTLH,F,AHY,2008,"6/6, 3.5g",,,,,,,,,,,,,,,,,,
4000-47664,08/17/2003,MP1,BTLH,F,AHY,2008,"6/2, 4.2g E8",8/1 n.w.,,,,,,,,,,,,,,,,,
4000-47686*,08/18/2003,MP1,BTLH,F,AHY,2008,"5/31, 3.6g E6",,,,,,,,,,,,,,,,,*New: E12075,
4000-47788,06/10/2004,MCGC,BTLH,F,AHY,2008,"6/23, 3.8g","7/22, 3.5g ntw","8/10, 3.5g ltw","8/11, 3.3g, ltw",,,,,,,,,,,,,,,
4000-47796*,06/12/2004,MCGC,BTLH,F,AHY,2008,"6/29, 3.2G",,,,,,,,,,,,,,,,,*New E90377,
5000-29452,06/14/2004,MCGC,BTLH,F,AHY,2008,"6/18, 3.6g","7/17, 3.6g","7/18, 3.6g",,,,,,,,,,,,,,,,
5000-29478*,06/16/2004,MCGC,BTLH,F,AHY,2008,"6/16, 4.1g E6",,,,,,,,,,,,,,,,,*New E90216,
5000-29486,06/18/2004,MCGC,BTLH,F,AHY,2008,"6/16, 3.7g E8","6/18, 3.6g E6","7/1, 3.1g","7/10, 3.7g E8+","8/2, 3.4g mtw","8/4, 3.4g","8/16, 3.8g","8/23, 3.4g htw",,,,,,,,,,,
5000-29500,06/25/2004,KV1,BTLH,F,AHY,2008,"6/14, 3.7g E6","7/13, 3.6g","8/15, 3.9g mtw ",,,,,,,,,,,,,,,,
5000-29595*,07/12/2004,CC2,BTLH,F,AHY,2008,7/18. 3.3g at MCGC,,,,,,,,,,,,,,,,,*New E90883,
5000-29608,07/13/2004,GNMTN,BTLH,F,AHY,2008,"6/7, 3.4g",,,,,,,,,,,,,,,,,,
5000-29686,07/19/2004,MCGC,BTLH,F,AHY,2008,"7/26, 3.8g htw",,,,,,,,,,,,,,,,,,
5000-29692,07/20/2004,MCGC,BTLH,F,AHY,2008,"8/7, 3.0G ltw",,,,,,,,,,,,,,,,,,
5000-96639,07/24/2004,MCGC,BTLH,F,AHY,2008,"6/28, 3.5g",,,,,,,,,,,,,,,,,,
5000-96729,08/06/2004,MP1,BTLH,F,AHY,2008,"6/2, 3.6g E7",,,,,,,,,,,,,,,,,,
