Band Number,Recapture Date,Recapture Site,Species,Recaptured Sex,Recapture Age,Recapture Year,Recapture 1,Comments
4100-59602,5/15/2012,MP1,BTLH,F,AHY,2012,"E7, 4.2",
4100-59377,5/15/2012,MP1,BTLH,F,AHY,2012,3.8,
4100-59042,5/15/2012,MP1,BTLH,F,AHY,2012,3.4,
4100-59875,5/15/2012,MP1,BTLH,M,AHY,2012,3.3,
4100-59244,5/15/2012,MP1,BTLH,M,AHY,2012,3.3,
9000-39930,5/15/2012,MP1,BTLH,F,AHY,2012,"E6, 3.7",
4100-59245,5/20/2012,MP1,BTLH,M,AHY,2012,3.7,
4100-59483,5/20/2012,MP1,BTLH,F,AHY,2012,"E6+, 3.95",
4100-58833,5/20/2012,MP1,BTLH,F,AHY,2012,"E8, 3.9",
9100-28850,5/20/2012,MP1,BTLH,M,AHY,2012,3.5,p9 5.2mm<p10; both sheaths visible
4100-59602,5/20/2012,MP1,BTLH,F,AHY,2012,"E6, 3.8",
4100-59146,5/20/2012,MP1,BTLH,F,AHY,2012,"E9, 4.4",
9000-12455,5/20/2012,MP1,BTLH,F,AHY,2012,"E6, 3.6",
9000-39860,5/20/2012,MP1,BTLH,F,AHY,2012,3.8,spider web under band-moved to L leg
4100-08840,5/20/2012,MP1,BTLH,F,AHY,2012,"E9, 4.6",
4100-59294,5/20/2012,MP1,BTLH,M,AHY,2012,3.3,
9000-90307,5/21/2012,HOLZ,BTLH,F,AHY,2012,"E6-, 3.9",
4100-59923,5/21/2012,HOLZ,BTLH,F,AHY,2012,3.65,
9000-58723,5/21/2012,HOLZ,BTLH,F,AHY,2012,3.6,
4100-08778,5/21/2012,HOLZ,BTLH,F,AHY,2012,"E6, 3.9",
4100-59668,5/21/2012,HOLZ,BTLH,F,AHY,2012,4,
4100-08778,5/21/2012,HOLZ,BTLH,F,AHY,2012,"E6, Again, 3.8",
4100-07966,5/22/2012,MP1,BTLH,M,AHY,2012,3.6,
3100-42137,5/26/2012,MP1,BTLH,M,AHY,2012,3.2,
4100-58614,5/27/2012,KV1,BTLH,F,AHY,2012,"E6, 3.6",
4100-59254,5/27/2012,KV1,BTLH,M,AHY,2012,3.1,
4100-59415,5/27/2012,KV1,BTLH,F,AHY,2012,"E6, 3.99",
4100-59882,5/27/2012,KV1,BTLH,M,AHY,2012,3.4,
4100-59346,5/27/2012,KV1,BTLH,F,AHY,2012,3.3,
4100-59588,5/27/2012,KV1,BTLH,F,AHY,2012,"E7, 3.7",
3100-42164,5/27/2012,KV1,BTLH,F,AHY,2012,"E6+, 3.7",
4100-08158,5/27/2012,KV1,BTLH,F,AHY,2012,"E6, 3.9",
4100-08622,5/27/2012,GNMTN,BTLH,F,AHY,2012,3.6,
4100-59428,5/27/2012,GNMTN,BTLH,F,AHY,2012,"E8, 4.3",
9000-90143,5/27/2012,GNMTN,BTLH,F,AHY,2012,3.5,
4100-08629,5/27/2012,GNMTN,BTLH,F,AHY,2012,"E9, 4.4",
4100-59489,5/27/2012,GNMTN,BTLH,F,AHY,2012,"E9, 4.2",
3100-42227,5/27/2012,GNMTN,BTLH,F,AHY,2012,"E9, 4.4",
4100-59389,5/27/2012,GNMTN,BTLH,F,AHY,2012,"E8, 4",
9100-23041,5/27/2012,GNMTN,BTLH,M,AHY,2012,,
4100-08915,5/27/2012,GNMTN,BTLH,F,AHY,2012,4,
3100-42225,5/27/2012,HOLZ,BTLH,F,AHY,2012,"E6, 4",
9000-40108,5/27/2012,HOLZ,BTLH,F,AHY,2012,"E8, 4.3",
4100-59598,5/27/2012,HOLZ,BTLH,M,AHY,2012,3.3,
4100-08546,5/27/2012,HOLZ,BTLH,F,AHY,2012,"E8, 4",
4100-59310,5/27/2012,HOLZ,BTLH,F,AHY,2012,4.1,
3100-41757,5/27/2012,HOLZ,BTLH,F,AHY,2012,"E7, 3.89",
4100-59598,5/27/2012,HOLZ,BTLH,M,AHY,2012,3.3,
9000-40108,5/27/2012,HOLZ,BTLH,F,AHY,2012,4.03,
4100-59668,5/27/2012,HOLZ,BTLH,F,AHY,2012,"E9, 5.31",
4100-08778,5/27/2012,HOLZ,BTLH,F,AHY,2012,3.6,
4100-59178,5/28/2012,MP1,BTLH,F,AHY,2012,3.88,
3100-41877,5/28/2012,MP1,BTLH,F,AHY,2012,3.61,
4100-13945,5/28/2012,MP1,BTLH,M,AHY,2012,3.22,Foreign
4100-59808,5/28/2012,MP1,BTLH,M,AHY,2012,3.8,
4100-59872,5/28/2012,MP1,BTLH,M,AHY,2012,3.2,
4100-08214,5/28/2012,MP1,BTLH,F,AHY,2012,3.1,
4100-59010,5/28/2012,MP1,BTLH,M,AHY,2012,3.47,
4100-59472,5/28/2012,MP1,BTLH,F,AHY,2012,"E8, 4.33",
4100-59641,5/28/2012,MP1,BTLH,F,AHY,2012,3.63,
9000-90251,5/28/2012,MP1,BTLH,F,AHY,2012,"E8, 4.27",
9100-23040,5/28/2012,MP1,BTLH,M,AHY,2012,3.08,
4100-59021,5/28/2012,MP1,BTLH,M,AHY,2012,3.25,
9000-93887,5/28/2012,MP1,BTLH,M,AHY,2012,3.11,Foreign
4100-14181,5/28/2012,MP1,BTLH,M,AHY,2012,3.17,Foreign
4100-59827,5/28/2012,MP1,BTLH,F,AHY,2012,3.73,
4100-59109,5/28/2012,MP1,BTLH,F,AHY,2012,3.38,
9100-22939,5/28/2012,MP1,BTLH,F,AHY,2012,,Banded earlier today
4100-59146,5/28/2012,MP1,BTLH,F,AHY,2012,3.55,
4100-59941,5/28/2012,MP1,BTLH,M,AHY,2012,,banding demonstration
4100-59336,5/28/2012,MP1,BTLH,F,AHY,2012,,banding demonstration
4100-58833,5/28/2012,MP1,BTLH,F,AHY,2012,,banding demonstration
4100-59195,5/28/2012,MP1,BTLH,F,AHY,2012,,
4100-59467,5/28/2012,MP1,BTLH,F,AHY,2012,4.12,
4100-58522,5/28/2012,MP1,BTLH,F,AHY,2012,3.45,
4100-08390,5/28/2012,MP1,BTLH,F,AHY,2012,"E8, 4.19",
4100-59482,5/28/2012,MP1,BTLH,F,AHY,2012,3.17,
4100-59483,5/28/2012,MP1,BTLH,F,AHY,2012,3.3,
9000-39227,5/28/2012,MP1,BTLH,F,AHY,2012,3.55,
4100-13713,5/28/2012,MP1,BTLH,M,AHY,2012,3.14,Foreign; band to rt leg due to debris
4100-59905,5/30/2012,MP1,BTLH,F,AHY,2012,3.56,
4100-59010,5/30/2012,MP1,BTLH,M,AHY,2012,3.28,
4100-58885,5/30/2012,MP1,BTLH,F,AHY,2012,3.53,Rebanded w/P22970
4100-59554,5/30/2012,MP1,BTLH,F,AHY,2012,"E6, 3.53",
4100-14147,5/30/2012,MP1,BTLH,M,AHY,2012,3.42,
9100-22900,5/30/2012,MP1,BTLH,F,AHY,2012,"E6, 3.63",
4100-42504,5/30/2012,MP1,BTLH,F,AHY,2012,3.47,
4100-58569,5/30/2012,MP1,BTLH,M,AHY,2012,3.04,
6000-53818,5/30/2012,MP1,BTLH,F,AHY,2012,3.38,
9000-91329,5/30/2012,MP1,BTLH,F,AHY,2012,3.53,
4100-59021,5/30/2012,MP1,BTLH,M,AHY,2012,3.2,
9000-93691,5/30/2012,MP1,BTLH,M,AHY,2012,"E8, 3.24",
9100-22706,5/30/2012,MP1,BTLH,M,AHY,2012,"E7+, 3.2",
4100-58524,5/30/2012,MP1,BTLH,F,AHY,2012,3.45,
4100-08791,5/30/2012,MP1,BTLH,F,AHY,2012,4.01,
4100-59142,5/30/2012,MP1,BTLH,F,AHY,2012,3.79,
4100-58618,5/30/2012,MP1,BTLH,F,AHY,2012,3.25,
9100-23050,5/30/2012,MP1,BTLH,M,AHY,2012,3.17,
9100-22954,5/30/2012,MP1,BTLH,M,AHY,2012,3.15,
4100-59102,5/30/2012,MP1,BTLH,F,AHY,2012,3.76,
4100-59222,5/30/2012,MP1,BTLH,M,AHY,2012,3.21,
9000-93524,5/30/2012,MP1,BTLH,F,AHY,2012,"4.13, E7",Foreign
4100-59478,5/30/2012,MP1,BTLH,F,AHY,2012,3.56,
4100-59778,5/30/2012,MP1,BTLH,M,AHY,2012,3.21,
4100-58993,5/30/2012,MP1,BTLH,M,AHY,2012,3.17,
9100-23082,5/30/2012,MP1,BTLH,M,AHY,2012,, banded today
9100-23039,6/1/2012,MP1,BTLH,M,AHY,2012,3.3,
4100-59040,6/1/2012,MP1,BTLH,F,AHY,2012,"E9, 3.96",
9100-22935,6/1/2012,MP1,BTLH,F,AHY,2012,3.34,
4100-59345,6/1/2012,MP1,BTLH,F,AHY,2012,"E8, 3.67",
6000-53739,6/1/2012,MP1,BTLH,F,AHY,2012,"E8, 3.81",
9100-22943,6/1/2012,MP1,BTLH,F,AHY,2012,"E7, 4.43",
4100-59941,6/1/2012,MP1,BTLH,M,AHY,2012,2.94,
4100-58993,6/1/2012,MP1,BTLH,M,AHY,2012,3.25,
4100-59876,6/1/2012,MP1,BTLH,M,AHY,2012,3.17,
4100-08451,6/1/2012,MP1,BTLH,F,AHY,2012,3.57,
4100-58519,6/1/2012,MP1,BTLH,F,AHY,2012,3.82,
9100-22943,6/1/2012,MP1,BTLH,F,AHY,2012,,
4100-59821,6/1/2012,MP1,BTLH,F,AHY,2012,3.3,
9100-23084,6/1/2012,MP1,BTLH,M,AHY,2012,3.12,
4100-59580,6/1/2012,MP1,BTLH,F,AHY,2012,3.46,
9000-12435,6/1/2012,MP1,BTLH,F,AHY,2012,3.3,
3100-41611,6/1/2012,MP1,BTLH,F,AHY,2012,3.51,
4100-58501,6/1/2012,MP1,BTLH,F,AHY,2012,"E8, 3.8",
3100-42237,6/1/2012,MP1,BTLH,F,AHY,2012,3.44,
4100-59689,6/1/2012,MP1,BTLH,F,AHY,2012,"E7, 3.42",
4100-08840,6/1/2012,MP1,BTLH,F,AHY,2012,3.49,
4100-59602,6/1/2012,MP1,BTLH,F,AHY,2012,3.58,
9000-39319,6/1/2012,MP1,BTLH,F,AHY,2012,3.78,
4100-13916,6/1/2012,MP1,BTLH,F,AHY,2012, ,Foreign
4100-59254,6/1/2012,KV1,BTLH,M,AHY,2012,3.04,
4100-58614,6/1/2012,KV1,BTLH,F,AHY,2012,3.49,
4100-08763,6/1/2012,KV1,BTLH,F,AHY,2012,3.63,
9000-90307,6/1/2012,HOLZ,BTLH,F,AHY,2012,3.86,
3100-41757,6/1/2012,HOLZ,BTLH,F,AHY,2012,3.52,
4100-59541,6/1/2012,HOLZ,BTLH,F,AHY,2012,"E8, 4.01",
9100-22930,6/1/2012,HOLZ,BTLH,F,AHY,2012,"E6, 3.7",
9000-39817,6/1/2012,HOLZ,BTLH,F,AHY,2012,3.76,
9100-22931,6/1/2012,HOLZ,BTLH,F,AHY,2012,3.73,
9000-40138,6/1/2012,HOLZ,BTLH,F,AHY,2012,3.63,
3100-42225,6/1/2012,HOLZ,BTLH,F,AHY,2012,3.83,
4100-08456,6/5/2012,MP1,BTLH,F,AHY,2012,4.27,
4100-08840,6/5/2012,MP1,BTLH,F,AHY,2012,3.69,
4100-59103,6/5/2012,MP1,BTLH,F,AHY,2012,3.69,
9100-23024,6/5/2012,MP1,BTLH,M,AHY,2012,3.03,
9100-23002,6/5/2012,MP1,BTLH,M,AHY,2012,3.37,
4100-59517,6/5/2012,MP1,BTLH,F,AHY,2012,3.65,
9100-22943,6/5/2012,MP1,BTLH,F,AHY,2012,3.83,
9100-23056,6/5/2012,MP1,BTLH,M,AHY,2012,3.34,
4100-58569,6/5/2012,MP1,BTLH,M,AHY,2012,3.21,
4100-08193,6/5/2012,MP1,BTLH,F,AHY,2012,3.6,
4100-59021,6/5/2012,MP1,BTLH,M,AHY,2012,3.22,
4100-59668,6/7/2012,HOLZ,BTLH,F,AHY,2012,3.71,
9000-39817,6/7/2012,HOLZ,BTLH,F,AHY,2012,3.46,
9100-23217,6/7/2012,HOLZ,BTLH,M,AHY,2012,3.22,
9000-90307,6/7/2012,HOLZ,BTLH,F,AHY,2012,3.5,
9100-23138,6/7/2012,HOLZ,BTLH,F,AHY,2012,"E6-, 3.4",
3100-42225,6/7/2012,HOLZ,BTLH,F,AHY,2012,"E6, 3.68",
3100-41757,6/7/2012,HOLZ,BTLH,F,AHY,2012,3.42,
9100-23139,6/7/2012,HOLZ,BTLH,F,AHY,2012,3.66,
9100-23138,6/7/2012,HOLZ,BTLH,F,AHY,2012,"E6, 3.4",
9100-23142,6/7/2012,HOLZ,BTLH,F,AHY,2012,"E6, 3.6",
4100-59598,6/7/2012,HOLZ,BTLH,M,AHY,2012,3.27,
9100-23217,6/7/2012,HOLZ,BTLH,M,AHY,2012,3.14,
4100-08546,6/7/2012,HOLZ,BTLH,F,AHY,2012,3.92,
9000-90129,6/7/2012,GNMTN,BTLH,F,AHY,2012,3.47,
4100-08820,6/7/2012,GNMTN,BTLH,F,AHY,2012,3.8,
4100-59427,6/7/2012,GNMTN,BTLH,F,AHY,2012,"E6, 3.9",
9100-23041,6/7/2012,GNMTN,BTLH,M,AHY,2012,3.29,
9000-90293,6/7/2012,GNMTN,BTLH,F,AHY,2012,4.32,
4100-59484,6/7/2012,GNMTN,BTLH,F,AHY,2012,3.69,
3100-42469,6/7/2012,GNMTN,BTLH,F,AHY,2012,"E9, 4.83",
4100-08681,6/7/2012,GNMTN,BTLH,F,AHY,2012,3.67,
9100-22923,6/9/2012,MP1,BTLH,F,AHY,2012,3.26,
9100-23243,6/9/2012,MP1,BTLH,M,AHY,2012,3.3,
4100-59830,6/9/2012,MP1,BTLH,F,AHY,2012,4.09,
4100-59175,6/9/2012,MP1,BTLH,F,AHY,2012,3.35,
4100-59362,6/9/2012,MP1,BTLH,F,AHY,2012,"E8, 4.2",
4100-58508,6/9/2012,MP1,BTLH,F,AHY,2012,3.46,
4100-13713,6/9/2012,MP1,BTLH,M,AHY,2012,3.08,Foreign
4100-59578,6/9/2012,MP1,BTLH,F,AHY,2012,3.27,
4100-08437,6/9/2012,MP1,BTLH,F,AHY,2012,4.19,
4100-59146,6/9/2012,MP1,BTLH,F,AHY,2012,3.45,
3100-41739,6/9/2012,MP1,BTLH,F,AHY,2012,3.23,
9100-22972,6/9/2012,MP1,BTLH,F,AHY,2012,"E6-, 3.56",
4100-08563,6/9/2012,MP1,BTLH,F,AHY,2012,"E6+, 3.55",
4100-08569,6/9/2012,MP1,BTLH,F,AHY,2012,3.5,
4100-58501,6/9/2012,MP1,BTLH,F,AHY,2012,3.44,
4100-13701,6/11/2012,MP1,BTLH,F,AHY,2012,3.48,Foreign
9000-91361,6/11/2012,MP1,BTLH,F,AHY,2012,4.57,band to left leg
9100-23202,6/11/2012,MP1,BTLH,M,AHY,2012,3.21,
4100-59174,6/11/2012,MP1,BTLH,F,AHY,2012,3.51,
9100-22990,6/11/2012,MP1,BTLH,F,AHY,2012,3.3,
4100-59850,6/11/2012,MP1,BTLH,F,AHY,2012,3.56,
9100-23101,6/11/2012,MP1,BTLH,F,AHY,2012,3.34,
9100-22803,6/11/2012,MP1,BTLH,M,AHY,2012,3.2,
9100-23277,6/11/2012,MP1,BTLH,F,AHY,2012,3.19,
9100-22994,6/11/2012,MP1,BTLH,F,AHY,2012,3.34,
9100-23136,6/11/2012,MP1,BTLH,F,AHY,2012,"E7, 3.7",
3100-41822,6/11/2012,MP1,BTLH,F,AHY,2012,3.28,
4100-58504,6/11/2012,MP1,BTLH,F,AHY,2012,3.65,
4100-59481,6/11/2012,MP1,BTLH,F,AHY,2012,3.55,
4100-59160,6/11/2012,MP1,BTLH,F,AHY,2012,3.57,
4100-59757,6/11/2012,MP1,BTLH,F,AHY,2012,3.59,
9000-39860,6/11/2012,MP1,BTLH,F,AHY,2012,3.47,
4100-59021,6/11/2012,MP1,BTLH,M,AHY,2012,3.2,
4100-08172,6/11/2012,MP1,BTLH,F,AHY,2012,3.28,
9100-23153,6/13/2012,HOLZ,BTLH,M,AHY,2012,3.3,
9100-23192,6/13/2012,HOLZ,BTLH,M,AHY,2012,3.13,
4100-59598,6/13/2012,HOLZ,BTLH,M,AHY,2012,3.14,
4100-58723,6/13/2012,HOLZ,BTLH,F,AHY,2012,3.4,
4100-58517,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.68,
4100-08817,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.66,
4100-08619,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.63,
4100-59427,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.93,
9100-23379,6/13/2012,GNMTN,BTLH,F,AHY,2012,,Banded earlier today
9100-23305,6/13/2012,GNMTN,BTLH,M,AHY,2012,,Banded earlier today
4100-59390,6/13/2012,GNMTN,BTLH,F,AHY,2012,4,
9100-23257,6/13/2012,GNMTN,BTLH,F,AHY,2012,3.66,
9000-90915,6/18/2012,MP1,BTLH,F,AHY,2012,3.72,
4100-13781,6/18/2012,MP1,BTLH,F,AHY,2012,3.94,Foreign
4100-08716,6/18/2012,MP1,BTLH,F,AHY,2012,3.62,
9100-23402,6/18/2012,MP1,BTLH,F,AHY,2012,3.86,Banded earlier today
9100-22996,6/18/2012,MP1,BTLH,F,AHY,2012,4.81,
9100-23211,6/18/2012,MP1,BTLH,M,AHY,2012,3.46,
4100-59876,6/18/2012,MP1,BTLH,M,AHY,2012,3.19,
9100-23277,6/19/2012,MP1,BTLH,F,AHY,2012,3.35,
9100-22969,6/19/2012,MP1,BTLH,F,AHY,2012,3.74,
9100-22874,6/19/2012,MP1,BTLH,F,AHY,2012,3.45,
9100-23211,6/19/2012,MP1,BTLH,M,AHY,2012,3.3,
4100-13781,6/19/2012,MP1,BTLH,F,AHY,2012,3.76,
9100-23053,6/19/2012,MP1,BTLH,M,AHY,2012,3.27,
3100-42497,6/19/2012,MP1,BTLH,F,AHY,2012,3.94,
9100-23243,6/19/2012,MP1,BTLH,M,AHY,2012,3.4,
4100-59020,6/19/2012,MP1,BTLH,M,AHY,2012,3,
4100-59021,6/19/2012,MP1,BTLH,M,AHY,2012,3.29,
4100-59108,6/19/2012,MP1,BTLH,F,AHY,2012,3.65,
9100-23273,6/19/2012,MP1,BTLH,F,AHY,2012,3.48,
4100-08173,6/19/2012,MP1,BTLH,F,AHY,2012,3.87,
4100-59164,6/19/2012,MP1,BTLH,M,AHY,2012,3.21,
4100-59464,6/19/2012,MP1,BTLH,F,AHY,2012,3.37,
9100-23322,6/19/2012,MP1,BTLH,M,AHY,2012,3.06,
9100-22993,6/19/2012,MP1,BTLH,F,AHY,2012,3.94,
