Yeat,Month,Site,Days,Active Years,Trap Hours
2004,5,MCGC,"7,8,9,10,20,21,27,28,29,30,31",11,38.8
2004,6,MCGC,"1,2,3,4,10,11,12,13,14,15,16,17,18,26,27,28,29,30",18,42
2004,7,MCGC,"1,6,7,9,10,11,12,13,14,15,16,19,20,21,23,24,25,26,27,28",20,31.6
2004,8,MCGC,"3,4,5,6,7,8,9,10,11,13,14,15,16,17,21,22,23,24,25,29,30,31",22,38.5
2004,9,MCGC,"4,5,6,13",4,2.3
2004,7,CC2,"12,25,28",3,3.2
2004,8,CC2,"7,8,15,17,23,24",6,8
2004,7,MP1,26,1,1.8
2004,8,MP1,"6,7,11,13,14,20,21,24,25,29,31",11,28.9
2004,9,MP1,"3,4,5,6,7,11,12,13,17",9,18.3
2004,6,GNMTN,"25,30",2,3.5
2004,7,GNMTN,"6,13,18,22",4,7.8
2004,8,GNMTN,"5,12,22",3,5.7
2004,6,KV1,25,1,1.8
2004,7,KV1,"6,13,22 ",3,6
2004,8,KV1,"5,12,22,30",4,8.5
2004,9,KV1,"7,18",2,3.5
