Date,Time,Bander,Location,Species,Sex,Age,Band Status,Tarsus Measurement,Band Size,Band Number,Leg Condition,Replaced Band Number,Gorget Color,Gorget Count,Head Count,Grooves,Buffy,Bill Trait,Green on back,Primary Width P 10 Shape,Wing Tail Trait,Tail Center,Tail Middle,Tail Outer,Tail Measurement,Wing Chord,Culmen,Tail,Pollen Color  Location,Fat,CP Breed,Head Gorget,Body,Primaries,Secondaries,Tail,Weight,Photo Taken,Sample Type,Day Recaptures,Recapture Time 1,Recapture Time 2,Recapture Time 3,Recapture Time 4,Comment
4/23/2022,6:21,ML,SWRS,BCHU,M,1,1,D,D,U09078,,,V,99,,,,,,,,,,,,42,18.5,,N,0,,F,F,F,F,F,3.1,,,,,,,,
4/23/2022,6:26,ML,SWRS,BCHU,F,1,R,,,U07613,1,,,,,,,,,U,E,,,P,,49,20.6,,PH,T,8,F,F,F,F,F,4.29,,,,,,,,
4/23/2022,6:29,ML,SWRS,BCHU,F,1,1,F,G,U07792,,,NS,,,,,,,U,E,,,P,,47.5,20.9,,N,0,8,F,F,F,F,F,4.37,,,1,8:10,,,,
4/23/2022,6:31,ML,SWRS,BCHU,F,1,R,,,U07607,1,,NS,,,,,,,U,E,,,P,,47.5,20.5,,N,0,7,F,F,F,F,F,3.9,,,,,,,,
4/23/2022,6:34,ML,SWRS,BCHU,F,1,R,,,U07610,1,,NS,,,,,,,U,E,,,P,,45,20.9,,PH,T,5,1,1,F,F,F,3.3,,,,,,,,
4/23/2022,6:37,ML,SWRS,BCHU,F,1,R,,,M69326,1,,LS,,,,,,,U,E,,,P,,47.5,22,,N,0,5,F,F,F,F,F,3.63,,,,,,,,
4/23/2022,6:40,ML,SWRS,BTLH,F,1,1,E,F,U07736,,,HS,,,,,,,,R,O,4X4,GGG,5.5,50,18.3,,N,T,5,F,F,F,F,F,3.57,,,,,,,,
4/23/2022,6:46,ML,SWRS,BCHU,M,1,1,D,D,U09079,,,V,40,,0,N,,,,,,,,,44.5,19.8,,N,0,,3,2,F,F,F,3.16,,,,,,,,
4/23/2022,6:50,ML,SWRS,RUHU,M,1,1,C,D,U09080,,,O,99,,,% Green,,10,,,,,,,40.5,16.4,,YU,1,,1,F,F,F,F,3.76,,,,,,,,
4/23/2022,6:54,ML,SWRS,RIHU,M,1,1,J,L,M28691,,,GP,99,90,,,,,,,,,,,75,27.1,,N,0,,F,F,F,F,F,,,,,,,,,"STAB WOUND ON CHEST ALONG BRIST BOND, ESCAPED BEFORE WEIGHT"
4/23/2022,6:58,ML,SWRS,BCHU,F,1,R,,,U05960,1,,,,,,,,,U,E,,,P,,49,21.7,,PH,0,5,F,F,F,F,F,3.16,,,,,,,,
4/23/2022,7:00,ML,SWRS,BCHU,F,1,R,,,U07614,1,,NS,,,,,,,U,E,,,P,,46,20.4,,PH,0,8,F,F,F,F,F,3.75,,,,,,,,
4/23/2022,7:02,ML,SWRS,BCHU,F,1,R,,,U06181,1,,NS,,,,,,,U,E,,,P,,46.5,21.2,,N,0,7,1,F,F,F,F,3.05,,,1,8:46,,,,
4/23/2022,7:05,ML,SWRS,BBLH,M,1,1,E,F,U07737,,,B,80,,,,O,,,,,,,,0,0,,"PH, YU",0,,L,F,F,F,F,3.09,,,4,7:24,8:25,9:27,10:22,TOP OF BILL HALF BLACK
4/23/2022,7:08,ML,SWRS,BBLH,F,1,1,F,G,U07793,,,,,,,,O,,,,,,,,50,20.7,,"WU, PH",0,2,F,F,F,F,L,2.96,,,,,,,,"INJURY ON TOP AND UNDERNIETH OF BILL, UNKNOWN CAUSE, ITS HIELD"
4/23/2022,7:12,ML,SWRS,BCHU,M,1,1,D,D,U09081,,,V,99,,,,,,,,,,,,42.5,18.7,,N,T,,1,1,F,F,F,3.5,,,,,,,,
4/23/2022,7:16,ML,SWRS,BCHU,F,1,1,F,G,U07794,,,NS,,,,,,,U,E,,,P,,47.5,20.4,,PH,0,2,F,F,F,F,F,3.3,,,,,,,,
4/23/2022,7:18,ML,SWRS,BCHU,M,1,1,D,D,U09082,,,V,99,,,,,,,,,,,,41,19.2,,PH,0,,F,F,F,F,F,2.86,,,,,,,,
4/23/2022,7:21,ML,SWRS,BCHU,F,1,R,,,K39236,1,,HS,,,,,,,U,E,,,P,,45.5,20.1,,N,T,5,F,F,F,F,F,4.08,,,,,,,,
