gbifID,srtm3,srtm1,astergdem,gtopo30
1042815107,2800,2801,2795,2800
1135345437,2481,2486,2486,2553
1145087340,2215,2219,2226,2199
1150525240,367,367,366,388
1151084521,2922,2919,2913,2913
1156591458,3033,3033,3030,3020
1158198168,1886,1883,1876,1893
1160227536,203,202,203,203
1160920056,2656,2659,2651,2669
1161912455,0,1,8,1
1169640856,2664,2661,2654,2673
1171360270,2695,2696,2701,2800
1172035129,9,3,0,1
1172095347,3283,3275,3248,3234
1175097842,2615,2615,2602,2606
1178108740,2553,2552,2551,2580
1178757815,1291,1287,1295,1394
1178839732,3378,3377,3370,3380
1179688398,1944,1941,1957,2023
1179746665,2438,2443,2442,2489
1179746707,2415,2414,2407,2360
1180104885,1913,1910,1923,1914
1181474503,1963,1959,1978,1951
1181677144,2701,2698,2713,2693
1183203386,3684,3685,3680,3634
1183947260,2319,2317,2312,2358
1184846151,1796,1787,1793,1800
1184870279,2417,2421,2419,2500
1185192071,54,49,20,109
1185266555,2846,2843,2832,2800
1185577155,1917,1919,1922,1943
1185604337,2195,2195,2205,2100
1185612157,2069,2065,2068,2088
1185765649,2393,2407,2418,2299
1185772528,1986,1977,1977,1943
1186501547,3061,3063,3063,3000
1186903646,2385,2381,2389,2267
1192117712,2339,2338,2326,2333
1192575295,1695,1720,1719,1738
1192965684,1917,1919,1922,1943
1193170450,1857,1858,1852,1897
1194806172,1850,1852,1837,1857
1195844345,1262,1263,1259,1249
1196382105,467,484,491,533
1197738113,1560,1581,1587,1556
1197793714,2169,2172,2189,2143
1198062764,1857,1858,1852,1897
1198686095,1866,1863,1863,1889
1198690210,1794,1783,1783,1800
1198691530,2419,2422,2419,2500
1198693013,1638,1640,1637,1615
1198697102,2131,2131,2139,2114
1198698472,2509,2509,2513,2577
1198702672,2319,2320,2333,2384
1199241240,1937,1925,1924,1967
1201757634,2257,2258,2255,2301
1201757638,2233,2241,2242,2198
1202244418,2266,2255,2276,2317
1202457410,2479,2476,2487,2553
1202880228,10,10,9,1
1203388087,908,908,901,931
1203408917,2787,2779,2781,2922
1204199288,2417,2416,2427,2393
1205046894,12,12,16,19
1205415875,1844,1844,1824,1798
1206919600,962,967,961,980
1208197397,2647,2640,2656,2664
1208246506,2159,2158,2160,2105
1208643354,1124,1127,1131,1196
1208776816,2849,2833,2844,2885
1211913871,400,401,394,399
1211913876,1591,1590,1579,1594
1211913911,2424,2422,2420,2400
1211913916,2584,2577,2569,2600
1269566343,3322,3322,3329,3249
1291146110,3208,3207,3205,3254
1291662793,2224,2223,2222,2243
1305142385,2224,2224,2224,2243
1344707158,12,11,14,1
1345036664,1586,1586,1579,1580
1345037719,2150,2154,2144,2190
1346792113,1531,1531,1544,1550
1346896927,1295,1295,1294,1355
1347185048,2477,2490,2478,2349
1347185058,1403,1404,1404,1396
1349178502,1794,1792,1784,1755
1350201169,1214,1210,1213,1161
1350288843,1037,1038,1036,1066
1351232892,1200,1207,1204,1161
1351809175,5,6,18,45
1352206845,251,251,248,214
1353455686,582,583,563,535
1354243459,3020,3018,3016,3010
1354830669,1518,1518,1521,1548
1355724446,1864,1862,1859,1873
1355905623,1067,1074,1068,1207
1357430213,0,1,9,1
