"old","new"
"3100-42456","9100-22920"
"3100-42514","4100-59564"
"3100-42840","4100-08515"
"4000-47686","9000-12075"
"4000-47796","9000-90377"
"4100-08231","4100-58648"
"4100-08319","4100-59347"
"4100-58885","9100-22970"
"4100-58937","9100-23557"
"4100-59259","9100-22805"
"4100-59326","9100-23579"
"5000-11757","4100-08484"
"5000-11768","9000-12256"
"5000-29452","3100-42459"
"5000-29478","9000-90216"
"5000-29486","3100-42126"
"5000-29552","9000-39955"
"5000-29595","9000-90883"
"5000-96732","3100-41814"
"5000-96838","4100-58824"
"6000-23412","3100-41738"
"6000-23503","3100-41595"
"6000-23694","9000-90908"
"6000-23745","9000-90414"
"6000-23805","9000-91047"
"6000-53578","9000-11915"
"6000-53587","9000-39914"
"6000-53656","4100-08685"
"6000-53668","3100-41591"
"6000-80944","4100-08367"
"6000-80978","9000-90273"
"9000-11812","3100-41563"
"9000-11917","9000-91152"
"9000-11985","3100-41493"
"9000-11994","9000-90668"
"9000-12042","3100-41757"
"9000-12081","9000-39458"
"9000-12462","3100-42019"
"9000-39250","9000-90316"
"9000-39397","4100-08644"
"9000-39491","9000-40106"
"9000-39509","3100-42251"
"9000-39562","3100-41632"
"9000-39584","3100-41887"
"9000-39900","4100-08151"
"9000-39959","3100-42079"
"9000-90129","9100-24000"
"9000-90282","3100-42160"
"9000-90309","3100-41731"
"9000-90323","4100-59034"
"9000-90910","4100-59344"
