"gbifID","eventDate","month","code","cell","geometry"
600677198,"2/7/2011",2,"ws57",357275,c(-104.63861, 23.988056)
844711878,"1/6/2012",1,"ws36",412802,c(-105.86927, 23.589775)
602356563,"12/14/2011",12,"ws55",417442,c(-105.850174, 23.564966)
1386307298,"2/10/2006",2,"ws228",417443,c(-105.83639, 23.56222)
2728009911,"1/22/2011",1,"ws122",428265,c(-105.83764, 23.501255)
4643422351,"1/23/1984",1,"ws78",431543,c(-104.02673, 23.584017)
600671376,"1/20/2011",1,"ws58",434449,c(-105.8287, 23.463741)
4168683736,"2/27/1951",2,"ws93",441142,c(-100.891667, 23.613333)
4835069500,"1/17/1985",1,"ws72",463986,c(-104.24722, 23.38742)
844727048,"12/26/2012",12,"ws35",689900,c(-102.28093, 22.151278)
2718125740,"2/17/1976",2,"ws124",785464,c(-104.99348, 21.49343)
4365072795,"2/21/2006",2,"ws80",785470,c(-104.93263, 21.495632)
2754539209,"1/13/2000",1,"ws121",790103,c(-104.98175, 21.46152)
844512748,"12/14/2012",12,"ws42",910702,c(-104.83246, 20.779974)
1790824032,"1/15/1976",1,"ws208",944868,c(-103.38851, 20.657984)
2630467527,"1/4/1949",1,"ws141",974233,c(-103.463333, 20.488333)
844690242,"12/17/2012",12,"ws37",980247,c(-105.04806, 20.377777)
2764499729,"1/29/1988",1,"ws120",1008275,c(-103.177246, 20.30125)
3294416745,"1/14/2010",1,"ws104",1009808,c(-103.29673, 20.292257)
1747456884,"2/6/1999",2,"ws214",1023575,c(-104.65748, 20.149107)
844375986,"1/6/2012",1,"ws44",1054660,c(-103.113716, 20.044683)
1894191889,"2/14/1979",2,"ws162",1081172,c(-100.976667, 19.941667)
1894191777,"2/1/2002",2,"ws186",1088908,c(-100.916667, 19.893611)
942047468,"12/2/1991",12,"ws26",1107084,c(-104.39525, 19.68769)
2140979070,"2/4/2002",2,"ws152",1110177,c(-104.38385, 19.669746)
4835158396,"1/19/1991",1,"ws71",1117913,c(-104.32931, 19.632914)
971872500,"1/4/2004",1,"ws19",1121082,c(-103.61832, 19.641796)
844289655,"2/27/2012",2,"ws46",1123144,c(-98.84661, 19.698225)
972414727,"2/23/2010",2,"ws16",1124100,c(-104.299995, 19.600061)
599335263,"1/4/2002",1,"ws68",1124173,c(-103.62222, 19.624115)
972456505,"2/22/2010",2,"ws15",1125649,c(-104.27139, 19.585932)
971876418,"1/3/2004",1,"ws18",1127271,c(-103.567795, 19.613722)
1894191724,"2/9/2001",2,"ws192",1127533,c(-101.145, 19.672222)
1894191758,"2/14/1979",2,"ws189",1127566,c(-100.844167, 19.675)
599364215,"1/3/2003",1,"ws67",1130295,c(-104.19978, 19.564753)
600416842,"12/9/2010",12,"ws63",1130361,c(-103.58984, 19.596764)
4838352792,"1/28/1985",1,"ws69",1130640,c(-101.010826, 19.65696)
841091715,"1/4/1990",1,"ws48",1133449,c(-103.62696, 19.573433)
4832807476,"2/19/1984",2,"ws73",1133450,c(-103.61644, 19.569757)
983124034,"2/8/2009",2,"ws3",1136485,c(-104.1414, 19.5321)
2719398344,"2/29/1976",2,"ws123",1136775,c(-101.46251, 19.622261)
1783522702,"2/8/2012",2,"ws212",1136900,c(-100.304565, 19.633898)
980561623,"1/23/1994",1,"ws6",1139635,c(-103.60478, 19.53804)
978654877,"1/26/2011",1,"ws8",1141180,c(-103.6109, 19.531136)
2243870396,"2/17/2001",2,"ws143",1141184,c(-103.575, 19.531)
3654166511,"1/21/1988",1,"ws100",1141186,c(-103.55918, 19.532803)
3008556054,"2004-02-13T06:33",2,"ws109",1141188,c(-103.540384, 19.53381)
4763018985,"2/15/2004",2,"ws75",1141189,c(-103.52827, 19.534513)
2716462722,"2/28/1976",2,"ws125",1141385,c(-101.71775, 19.586805)
2798422270,"1/15/1976",1,"ws117",1142725,c(-103.622, 19.52151)
4389301311,"2/20/2000",2,"ws79",1144272,c(-103.6161, 19.51282)
600679437,"2/3/2011",2,"ws56",1144634,c(-100.26712, 19.588179)
1894191817,"2/25/2006",2,"ws179",1144639,c(-100.221111, 19.584167)
1894191743,"12/13/2004",12,"ws191",1144640,c(-100.2125, 19.584722)
1894191723,"2/25/2006",2,"ws193",1146184,c(-100.2375, 19.579167)
1894191669,"12/18/2004",12,"ws201",1146186,c(-100.216111, 19.575278)
1894191862,"1/31/2006",1,"ws167",1146187,c(-100.205278, 19.578611)
986118215,"2/15/2012",2,"ws1",1147732,c(-100.21385, 19.572666)
599729810,"12/5/2009",12,"ws65",1152252,c(-101.30474, 19.530746)
