"Location","State","Elevation","Latitude","Longitude","First.Year","Last.Year","N.Active.Years","Start.Month","End.Month","Total.Captures","Individuals.Banded","N.Recaptures","N.Males","N.Females","Individual.BTLH"
"AL","AZ",2438,33.84,-109.121,2006,2010,5,"May","Sep",662,627,27,282,345,322
"AR","AZ",1108,31.579,-111.335,2003,2006,4,"Mar","Oct",3060,2454,416,1354,1100,5
"AV","AZ",1010,32.874,-110.389,2002,2006,3,"Apr","Sep",1062,801,143,361,432,2
"BL","AZ",NA,NA,NA,2008,2008,1,"Apr","May",91,88,3,40,48,1
"CH","AZ",1648,32.005,-109.357,2003,2005,3,"Mar","Oct",441,368,59,169,199,26
"CO","AZ",1624,31.346,-110.226,2003,2004,2,"Mar","Oct",301,269,21,146,122,2
"EC","AZ",1777,31.869,-109.368,2005,2017,13,"Apr","Oct",11689,7600,1810,4246,3322,649
"FG","AZ",1492,32.626,-109.944,2002,2005,4,"Apr","Oct",2011,1576,249,817,757,116
"FH","AZ",1557,31.547,-110.369,2004,2021,16,"Mar","Oct",10693,9282,1077,4538,4614,225
"FL","AZ",1340,31.761,-110.845,2012,2015,4,"Mar","Oct",2296,1696,325,947,749,7
"GC","AZ",1655,31.472,-110.357,2008,2011,4,"Apr","Oct",1218,956,167,499,453,67
"HC","AZ",1387,31.499,-110.682,2004,2021,18,"Mar","Oct",19889,13308,2748,5859,7318,29
"KP","AZ",2066,31.958,-111.597,2003,2005,3,"Apr","Oct",881,807,59,421,383,18
"KS","AZ",1044,32.852,-110.34,2002,2003,2,"Apr","Sep",493,443,46,214,228,5
"MA","AZ",1621,31.715,-110.876,2002,2011,10,"Mar","Oct",6616,5212,812,2665,2540,261
"MG","AZ",2895,32.704,-109.914,2003,2005,3,"May","Sep",413,310,80,107,201,189
"MI","AZ",1753,31.416,-110.277,2002,2003,2,"Mar","Oct",2803,2773,33,1649,1122,250
"ML","AZ",2786,32.441,-110.789,2005,2021,16,"May","Sep",5234,3184,977,1657,1520,2511
"MOCA","AZ",959,34.613,-111.839,2016,2020,5,"Apr","Sep",485,424,45,161,257,2
"PA","AZ",1673,31.935,-109.219,2002,2021,19,"Apr","Oct",10837,9024,1136,4112,4880,831
"PO","AZ",1510,31.899,-109.162,2004,2005,2,"Apr","Sep",173,160,15,83,77,4
"RA","AZ",1693,31.448,-110.307,2003,2007,5,"Mar","Oct",1890,1737,130,861,859,212
"RC","AZ",1517,31.891,-109.471,2002,2002,1,"Apr","Sep",286,286,1,152,133,14
