"year","site","total_banding_days","average_banding_days","total_trap_hours","average_trap_hours"
2003,"CC2",3,3,2.6,2.6
2003,"MCGC",55,13.8,106.6,26.6
2003,"MP1",6,3,12.8,6.4
2004,"CC2",9,4.5,11.2,5.6
2004,"GNMTN",9,3,17,5.7
2004,"KV1",8,2.7,16.3,5.4
2004,"MCGC",71,17.8,150.9,37.7
2004,"MP1",12,6,30.7,15.3
2005,"CC2",3,1.5,2.5,1.2
2005,"CC3",3,3,9.5,9.5
2005,"GNMTN",9,3,13.6,4.5
2005,"HOLZ",9,3,11.5,3.8
2005,"HPE",4,4,4,4
2005,"KV1",8,2.7,11.2,3.7
2005,"MCGC",73,18.2,115.7,28.9
2005,"MP1",40,10,82.7,20.7
2006,"CC2",7,3.5,5.9,3
2006,"CC3",10,2.5,16,4
2006,"GNMTN",9,3,14.5,4.8
2006,"HOLZ",9,3,12.3,4.1
2006,"HPE",1,1,0.3,0.3
2006,"HPK1",4,4,5.1,5.1
2006,"KV1",10,3.3,12.8,4.3
2006,"MCGC",69,17.2,117.7,29.4
2006,"MP1",34,8.5,63.2,15.8
2007,"CC3",8,2,8.8,2.2
2007,"GC1",7,2.3,10.5,3.5
2007,"GNMTN",11,3.7,19.2,6.4
2007,"HOLZ",9,3,15.2,5.1
2007,"HPK1",15,3.8,20.4,5.1
2007,"KV1",12,4,15.7,5.2
2007,"MCGC",66,16.5,92.1,23
2007,"MP1",33,8.2,66.1,16.5
2007,"WC1",6,3,10,5
2008,"CC2",6,3,6.2,3.1
2008,"CC3",9,3,10.8,3.6
2008,"GC1",1,1,2,2
2008,"GNMTN",12,4,19.1,6.4
2008,"HOLZ",12,4,18.8,6.3
2008,"HPK1",15,5,25.5,8.5
2008,"KV1",12,4,17.2,5.7
2008,"MCGC",64,16,88.4,22.1
2008,"MP1",25,6.2,55.1,13.8
2009,"CC3",6,2,9,3
2009,"GNMTN",11,2.8,19.7,4.9
2009,"HOLZ",11,2.8,17.3,4.3
2009,"HPK1",18,4.5,24.9,6.2
2009,"KV1",11,2.8,22.2,5.6
2009,"MCGC",68,17,87.2,21.8
2009,"MP1",31,7.8,66.9,16.7
2010,"CC3",9,2.2,11.5,2.9
2010,"GC1",4,2,5,2.5
2010,"GNMTN",9,3,14,4.7
2010,"HOLZ",8,2.7,12.9,4.3
2010,"HPK2",17,4.2,24.1,6
2010,"KV1",12,3,20,5
2010,"MCGC",64,16,108.7,27.2
2010,"MP1",33,8.2,60.4,15.1
2011,"CC3",9,2.2,11.1,2.8
2011,"GNMTN",10,3.3,18.6,6.2
2011,"HOLZ",7,2.3,11.8,3.9
2011,"HPK2",18,4.5,27.9,7
2011,"KV1",11,3.7,19.9,6.6
2011,"MCGC",60,15,102.7,25.7
2011,"MP1",29,7.2,54.7,13.7
2012,"CC3",5,1.7,6.5,2.2
2012,"GNMTN",12,3,19.1,4.8
2012,"HOLZ",14,3.5,25.1,6.3
2012,"HPK2",7,3.5,14.9,7.4
2012,"KV1",10,2.5,15.4,3.8
2012,"MCGC",51,12.8,98.8,24.7
2012,"MP1",30,7.5,68.3,17.1
