"UBI_band","band_status","year","date","age","fixed_sex","site","comments"
"5000-11523","1",2003,2003-05-31,"AHY","M","MCGC",""
"5000-11524","1",2003,2003-05-31,"AHY","M","MCGC",""
"5000-11525","1",2003,2003-05-31,"AHY","F","MCGC",""
"5000-11526","1",2003,2003-06-01,"AHY","F","MCGC",""
"5000-11527","1",2003,2003-06-01,"AHY","M","MCGC",""
"5000-11528","1",2003,2003-06-01,"AHY","M","MCGC",""
"5000-11529","1",2003,2003-06-01,"AHY","M","MCGC",""
"5000-11530","1",2003,2003-06-01,"AHY","M","MCGC",""
"5000-11531","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11532","1",2003,2003-06-04,"AHY","M","MCGC",""
"5000-11533","1",2003,2003-06-04,"AHY","F","MCGC","Early Release"
"5000-11534","1",2003,2003-06-04,"AHY","M","MCGC",""
"5000-11535","1",2003,2003-06-04,"AHY","M","MCGC",""
"5000-11536","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11537","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11538","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11539","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11540","1",2003,2003-06-04,"AHY","M","MCGC",""
"5000-11541","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11542","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11543","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11544","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11545","1",2003,2003-06-04,"AHY","F","MCGC",""
"5000-11546","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11547","1",2003,2003-06-05,"AHY","M","MCGC",""
"5000-11548","1",2003,2003-06-05,"AHY","F","MCGC","Egg-8"
"5000-11549","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11550","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11551","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11552","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11553","1",2003,2003-06-05,"AHY","M","MCGC",""
"5000-11554","1",2003,2003-06-05,"AHY","F","MCGC",""
"5000-11555","1",2003,2003-06-05,"AHY","M","MCGC",""
"5000-11556","1",2003,2003-06-12,"AHY","F","MCGC","Egg-7"
"5000-11557","1",2003,2003-06-12,"AHY","F","MCGC",""
"5000-11558","1",2003,2003-06-12,"AHY","F","MCGC",""
"5000-11559","1",2003,2003-06-12,"AHY","M","MCGC",""
"5000-11560","1",2003,2003-06-12,"AHY","F","MCGC","Egg-8"
"5000-11561","1",2003,2003-06-12,"AHY","M","MCGC",""
"5000-11562","1",2003,2003-06-12,"AHY","M","MCGC",""
"5000-11563","1",2003,2003-06-12,"AHY","F","MCGC",""
"5000-11564","1",2003,2003-06-12,"AHY","M","MCGC","Molt r1-5 left"
"5000-11565","1",2003,2003-06-12,"AHY","F","MCGC",""
"5000-11566","1",2003,2003-06-13,"AHY","F","MCGC",""
"5000-11567","1",2003,2003-06-13,"AHY","F","MCGC",""
"5000-11568","1",2003,2003-06-13,"AHY","F","MCGC",""
"5000-11569","1",2003,2003-06-13,"AHY","M","MCGC",""
