"band","band_status","recap_yr","sex","site_orig","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"4000-47653","R",2003,"M","MCGC","8/17, 3.6g.","","","","","","","","","","","","","","","","",""
"4000-47733","R",2003,"F","MCGC","1-Sep","","","","","","","","","","","","","","","","",""
"5000-11523","R",2003,"M","MCGC","5/31 (3)","6/1 (2), 3.2g","4-Jun","6/14, 3.2 g.","6/21, 3.3g.","6/22, 3.2g ","6/27, 3.3g.","7/4, 3.4g.","7/5, 3.4g.","","","","","","","","",""
"5000-11525","R",2003,"F","MCGC","6/13, 3.0g.","6/12, 3.9g.","","","","","","","","","","","","","","","",""
"5000-11526","R",2003,"F","MCGC","7/6, 3.3g.","","","","","","","","","","","","","","","","",""
"5000-11527","R",2003,"M","MCGC","6/14, 3.4g.","","","","","","","","","","","","","","","","",""
"5000-11533","R",2003,"F","MCGC","4-Jun","6/13, 3.0g.","6/21, 3.4g.","","","","","","","","","","","","","","",""
"5000-11534","R",2003,"M","MCGC","4-Jun","6/13, 2.9g.","6/14, 3.0g.","","","","","","","","","","","","","","",""
"5000-11535","R",2003,"M","MCGC","6/12, 3.3g.","","","","","","","","","","","","","","","","",""
"5000-11536","R",2003,"F","MCGC","6/28, 3.3g.","7/22, 4.2g.","","","","","","","","","","","","","","","",""
"5000-11537","R",2003,"F","MCGC","6/12, 3.2g.","","","","","","","","","","","","","","","","",""
"5000-11538","R",2003,"F","MCGC","6/12, 3.1g.","","","","","","","","","","","","","","","","",""
"5000-11539","R",2003,"F","MCGC","6/5, 3.5g.","6/14, 3.7g.","6/20, 3.7g.","6/26, 3.4g.","","","","","","","","","","","","","",""
"5000-11540","R",2003,"M","MCGC","6/12, 3.1g.","6/13, 3.1g.","6/14, 3.1g","6/22, 3.1g.","","","","","","","","","","","","","",""
"5000-11541","R",2003,"F","MCGC","13-Jun","6/14, 3.6g.","6/20,3.8g.","6/21, 3.7g.","6/22, 3.7g. (2)","6/29, 4.2g.","7/5, 3.6g.","7/11, 4.1g.","7/12, 4.0g.","7/14, 3.7g.","7/18,3.9g.","7/19, 3.8g.(2)","7/22, 4.2g.","7/26, 3.5g.","7/27, 3.8g.","8/16, 3.8g.","8/22, 3.8g.",""
"5000-11543","R",2003,"F","MCGC","6/5, 3.8g.","6/12, 3.3g.","7/10, 3.8g.","","","","","","","","","","","","","","",""
"5000-11544","R",2003,"F","MCGC","6/13, 3.5g.","","","","","","","","","","","","","","","","",""
"5000-11546","R",2003,"F","MCGC","6/27, 3.6g.","","","","","","","","","","","","","","","","",""
"5000-11547","R",2003,"M","MCGC","6/15, 3.3g.","","","","","","","","","","","","","","","","",""
"5000-11548","R",2003,"F","MCGC","6/27, 3.4g.","","","","","","","","","","","","","","","","",""
"5000-11549","R",2003,"F","MCGC","6/15, 3.3g.","7/6, 3.2g.","","","","","","","","","","","","","","","",""
"5000-11550","R",2003,"F","MCGC","6/13, 3.2g.","","","","","","","","","","","","","","","","",""
"5000-11552","R",2003,"F","MCGC","5-Jun","6/15, 3.5g.","6/22, 3.2g","6/27, 3.3g.","6/28, 3.4g.","7/4, 3.4g.","7/14, 3.2g.","","","","","","","","","","",""
"5000-11553","R",2003,"M","MCGC","6/15, 3.2g.","6/20, 3.2g.","6/21, 3.2g.","6/27, 3.1g.","6/27, 3.2g.","7/27, 3.4g.","","","","","","","","","","","",""
"5000-11554","R",2003,"F","MCGC","6/15, 3.3g.","","","","","","","","","","","","","","","","",""
"5000-11556","R",2003,"F","MCGC","6/15, 3.6g.","7/26, 3.7g.","","","","","","","","","","","","","","","",""
"5000-11557","R",2003,"F","MCGC","6/15, 4.2g.","","","","","","","","","","","","","","","","",""
"5000-11558","R",2003,"F","MCGC","6/14. 3.0g.","6/16, 3.7g.","7/5, 3.4g.","7/25, 4.0g.","","","","","","","","","","","","","",""
"5000-11560","R",2003,"F","MCGC","6/13, 3.2g.","","","","","","","","","","","","","","","","",""
"5000-11561","R",2003,"M","MCGC","6/15, 3.5g.","6/16, 3.1g.","","","","","","","","","","","","","","","",""
"5000-11564","R",2003,"M","MCGC","13-Jun","6/15, 3.4g.","6/22, 3.3g.","","","","","","","","","","","","","","",""
"5000-11566","R",2003,"F","MCGC","13-Jun","6/29, 4.1g.","","","","","","","","","","","","","","","",""
"5000-11567","R",2003,"F","MCGC","7/12, 3.8g.","","","","","","","","","","","","","","","","",""
"5000-11568","R",2003,"F","MCGC","7/7, 3.0g.","","","","","","","","","","","","","","","","",""
"5000-11570","R",2003,"M","MCGC","6/15, 3.1g.","6/29, 3.2g.","7/4, 3.2g.","8/12, 3.5g.","","","","","","","","","","","","","",""
"5000-11571","R",2003,"F","MCGC","7/11, 3.4g.","","","","","","","","","","","","","","","","",""
"5000-11572","R",2003,"M","MCGC","6/14, 3.4g.","6/15, 3.1g.","","","","","","","","","","","","","","","",""
"5000-11573","R",2003,"M","MCGC","6/15, 3.1g. ","","","","","","","","","","","","","","","","",""
"5000-11575","R",2003,"M","MCGC","6/15, 3.2g.","7/6, 3.2g.","7/20, 3.4g.","","","","","","","","","","","","","","",""
"5000-11576","R",2003,"F","MCGC","7/11, 3.7g.","7/12, 3.3g.","7/14, 3.4g.","7/18, 3.3g.","","","","","","","","","","","","","",""
"5000-11581","R",2003,"M","MCGC","6/16, 3.3g.","","","","","","","","","","","","","","","","",""
"5000-11582","R",2003,"F","MCGC","6/15, 3.3g.","","","","","","","","","","","","","","","","",""
"5000-11583","R",2003,"F","MCGC","6/15, 3.3g.","7/20, 4.2g.","","","","","","","","","","","","","","","",""
"5000-11586","R",2003,"F","MCGC","8/26, 3.7g.","","","","","","","","","","","","","","","","",""
"5000-11588","R",2003,"M","MCGC","6/22, 3.4g.","6/27, 3.4g.","7/6, 3.3g.","7/10, 3.3g.","8/3, 3.6g.","","","","","","","","","","","","",""
"5000-11590","R",2003,"M","MCGC","6/22, 3.2g.","","","","","","","","","","","","","","","","",""
"5000-11592","R",2003,"M","MCGC","15-Jun","","","","","","","","","","","","","","","","",""
"5000-11594","R",2003,"M","MCGC","7/7, 3.4g.","","","","","","","","","","","","","","","","",""
"5000-11596","R",2003,"M","MCGC","15-Jun","6/22, 3.4g.","7/5, 3.3g.","","","","","","","","","","","","","","",""
"5000-11597","R",2003,"M","MCGC","16-Jun","","","","","","","","","","","","","","","","",""
"5000-11601","R",2003,"F","MCGC","15-Jun","7/6, 3.2g.","7/7, 3.2g.","7/10, 3.4g.","7/10, 3.6g.","7/11, 3.1g.","","","","","","","","","","","",""
"5000-11603","R",2003,"M","MCGC","7/6, 3.0g.","","","","","","","","","","","","","","","","",""
"5000-11607","R",2003,"F","MCGC","6/21, 3.6g.","6/29, 3.4g.","7/10, 3.3g.","7/14, 3.2g.","7/22, 3.6g.","","","","","","","","","","","","",""
"5000-11609","R",2003,"F","MCGC","6/21, 3.9g.","6/27, 3.5g.","","","","","","","","","","","","","","","",""
"5000-11616","R",2003,"M","MCGC","6/22, 3.2g.","","","","","","","","","","","","","","","","",""
"5000-11619","R",2003,"F","MCGC","6/21, 3.7g.","","","","","","","","","","","","","","","","",""
"5000-11620","R",2003,"F","MCGC","6/21, 3.5g.","6/22, 3.2g.","","","","","","","","","","","","","","","",""
"5000-11622","R",2003,"F","MCGC","6/27, 3.4g.","","","","","","","","","","","","","","","","",""
"5000-11623","R",2003,"F","MCGC","6/21, 3.3g.","6/22, 3.1g.","","","","","","","","","","","","","","","",""
"5000-11624","R",2003,"F","MCGC","6/21, 3.5g.","6/28, 3.3g.","","","","","","","","","","","","","","","",""
"5000-11629","R",2003,"F","MCGC","22-Jun","6/27, 3.4g.","7/22, 3.4g.","","","","","","","","","","","","","","",""
"5000-11631","R",2003,"M","MCGC","7/3, 3.0g.","","","","","","","","","","","","","","","","",""
"5000-11632","R",2003,"M","MCGC","6/28, 3.1g.","6/28, 3.1g.","","","","","","","","","","","","","","","",""
"5000-11635","R",2003,"F","MCGC","6/27, 4.0g.","7/12, 3.5g.","","","","","","","","","","","","","","","",""
"5000-11636","R",2003,"M","MCGC","6/27, 3.0g.","6/28, 3.0g.","7/4, 3.2g.","","","","","","","","","","","","","","",""
"5000-11637","R",2003,"M","MCGC","6/22, 3.5g.","","","","","","","","","","","","","","","","",""
"5000-11640","R",2003,"F","MCGC","7/3, 3.6g.","","","","","","","","","","","","","","","","",""
"5000-11642","R",2003,"F","MCGC","6/27, 3.5g.","8/2, 3.6g.","","","","","","","","","","","","","","","",""
"5000-11643","R",2003,"F","MCGC","8/3, 3.6g.","","","","","","","","","","","","","","","","",""
"5000-11644","R",2003,"F","MCGC","6/28, 3.4g.","7/4, 3.7g.","","","","","","","","","","","","","","","",""
"5000-11647","R",2003,"F","MCGC","7/5, 3.7g.","7/22, 3.8g.","7/25, 3.5g.","","","","","","","","","","","","","","",""
"5000-11648","R",2003,"F","MCGC","7/27, 3.6g.","","","","","","","","","","","","","","","","",""
"5000-11649","R",2003,"F","MCGC","6/28, 3.3g.","6/29, 3.4g.","","","","","","","","","","","","","","","",""
"5000-11650","R",2003,"F","MCGC","28-Jun","","","","","","","","","","","","","","","","",""
"5000-11651","R",2003,"F","MCGC","7/22, 3.4g.","","","","","","","","","","","","","","","","",""
"5000-11657","R",2003,"F","MCGC","7/26, 4.0g.","","","","","","","","","","","","","","","","",""
"5000-11663","R",2003,"F","MCGC","7/5, 3.6g.","7/28, 4.1g.","","","","","","","","","","","","","","","",""
"5000-11676","R",2003,"F","MCGC","5-Jul","","","","","","","","","","","","","","","","",""
"5000-11682","R",2003,"F","MCGC","6-Jul","7/7, 3.3g.","","","","","","","","","","","","","","","",""
"5000-11683","R",2003,"F","MCGC","7/22, ","7/26, 3.3g.","","","","","","","","","","","","","","","",""
"5000-11684","R",2003,"F","MCGC","7/11, 3.8g.","7/28, 4.0g.","","","","","","","","","","","","","","","",""
"5000-11692","R",2003,"F","CC2","7/15, 3.5g. at MCGC","","","","","","","","","","","","","","","","",""
"5000-11694","R",2003,"M","MCGC","7/7, 3.3g.","7/10, 3.3g.","","","","","","","","","","","","","","","",""
"5000-11698","R",2003,"F","CC2","7/11 at MCGC","","","","","","","","","","","","","","","","",""
"5000-11699","R",2003,"F","MCGC","7/18, 4.1g.","7/19, 4.0g.","8/11, 3.8g.","7/26, 3.7g.","","","","","","","","","","","","","",""
"5000-11716","R",2003,"F","MCGC","7/12, 3.5g.","","","","","","","","","","","","","","","","",""
"5000-11727","R",2003,"F","MCGC","7/22, 3.4g.","","","","","","","","","","","","","","","","",""
"5000-11731","R",2003,"F","MCGC","7/11, 3.3g.","","","","","","","","","","","","","","","","",""
"5000-11732","R",2003,"F","MCGC","7/12, 3.9g.","","","","","","","","","","","","","","","","",""
"5000-11737","R",2003,"F","MCGC","7/12, 3.7g.","","","","","","","","","","","","","","","","",""
"5000-11739","R",2003,"F","MCGC","7/22, 3.7g.","11-Aug","","","","","","","","","","","","","","","",""
"5000-11746","R",2003,"F","MCGC","12-Jul","7/14, 3.6g.","","","","","","","","","","","","","","","",""
"5000-11748","R",2003,"F","MCGC","7/12, 3.5g.","","","","","","","","","","","","","","","","",""
"5000-11754","R",2003,"F","MCGC","7/28, 3.4g.","","","","","","","","","","","","","","","","",""
"5000-11757","R",2003,"F","MCGC","7/18, 3.5g.","7/26, 3.5g.","","","","","","","","","","","","","","","",""
"5000-11768","R",2003,"F","CC2","7/22, 4.0g. at MCGC","","","","","","","","","","","","","","","","",""
"5000-11778","R",2003,"F","MCGC","7/22, 3.1g.","","","","","","","","","","","","","","","","",""
"5000-11787","R",2003,"F","MCGC","7/22, 3.8g.","","","","","","","","","","","","","","","","",""
"5000-29205","R",2003,"F","MCGC","7/20, 3.6g.","","","","","","","","","","","","","","","","",""
"5000-29213","R",2003,"F","MCGC","7/25, 3.6g.","8/2, 3.7g.","","","","","","","","","","","","","","","",""
