"","UBI_band","band_status","year","species","age","fixed_sex","site"
"1","5000-11523","1",2003,"BTLH","AHY","M","MCGC"
"2","5000-11524","1",2003,"BTLH","AHY","M","MCGC"
"3","5000-11525","1",2003,"BTLH","AHY","F","MCGC"
"4","5000-11526","1",2003,"BTLH","AHY","F","MCGC"
"5","5000-11527","1",2003,"BTLH","AHY","M","MCGC"
"6","5000-11528","1",2003,"BTLH","AHY","M","MCGC"
"7","5000-11529","1",2003,"BTLH","AHY","M","MCGC"
"8","5000-11530","1",2003,"BTLH","AHY","M","MCGC"
"9","5000-11531","1",2003,"BTLH","AHY","F","MCGC"
"10","5000-11532","1",2003,"BTLH","AHY","M","MCGC"
"11","5000-11533","1",2003,"BTLH","AHY","F","MCGC"
"12","5000-11534","1",2003,"BTLH","AHY","M","MCGC"
"13","5000-11535","1",2003,"BTLH","AHY","M","MCGC"
"14","5000-11536","1",2003,"BTLH","AHY","F","MCGC"
"15","5000-11537","1",2003,"BTLH","AHY","F","MCGC"
"16","5000-11538","1",2003,"BTLH","AHY","F","MCGC"
"17","5000-11539","1",2003,"BTLH","AHY","F","MCGC"
"18","5000-11540","1",2003,"BTLH","AHY","M","MCGC"
"19","5000-11541","1",2003,"BTLH","AHY","F","MCGC"
"20","5000-11542","1",2003,"BTLH","AHY","F","MCGC"
"21","5000-11543","1",2003,"BTLH","AHY","F","MCGC"
"22","5000-11544","1",2003,"BTLH","AHY","F","MCGC"
"23","5000-11545","1",2003,"BTLH","AHY","F","MCGC"
"24","5000-11546","1",2003,"BTLH","AHY","F","MCGC"
"25","5000-11547","1",2003,"BTLH","AHY","M","MCGC"
"26","5000-11548","1",2003,"BTLH","AHY","F","MCGC"
"27","5000-11549","1",2003,"BTLH","AHY","F","MCGC"
"28","5000-11550","1",2003,"BTLH","AHY","F","MCGC"
"29","5000-11551","1",2003,"BTLH","AHY","F","MCGC"
"30","5000-11552","1",2003,"BTLH","AHY","F","MCGC"
"31","5000-11553","1",2003,"BTLH","AHY","M","MCGC"
"32","5000-11554","1",2003,"BTLH","AHY","F","MCGC"
"33","5000-11555","1",2003,"BTLH","AHY","M","MCGC"
"34","5000-11556","1",2003,"BTLH","AHY","F","MCGC"
"35","5000-11557","1",2003,"BTLH","AHY","F","MCGC"
"36","5000-11558","1",2003,"BTLH","AHY","F","MCGC"
"37","5000-11559","1",2003,"BTLH","AHY","M","MCGC"
"38","5000-11560","1",2003,"BTLH","AHY","F","MCGC"
"39","5000-11561","1",2003,"BTLH","AHY","M","MCGC"
