"","UBI_band","band_status","year","species","age","sex","site"
"1","3100-41401","1",2008,"BTLH","AHY","F","MP1"
"2","3100-41402","1",2008,"BTLH","HY","F","MP1"
"3","3100-41403","1",2008,"BTLH","HY","F","MP1"
"4","3100-41404","1",2008,"BTLH","HY","F","MP1"
"5","3100-41405","1",2008,"BTLH","HY","F","MP1"
"6","3100-41406","1",2008,"BTLH","HY","M","MP1"
"7","3100-41407","1",2008,"BTLH","AHY","F","MP1"
"8","3100-41408","1",2008,"BTLH","AHY","F","MP1"
"9","3100-41409","1",2008,"BTLH","HY","F","MP1"
"10","3100-41410","1",2008,"BTLH","AHY","F","MP1"
"11","3100-41411","1",2008,"BTLH","AHY","F","MP1"
"12","3100-41412","1",2008,"BTLH","HY","F","MP1"
"13","3100-41413","1",2008,"BTLH","AHY","F","MP1"
"14","3100-41414","1",2008,"BTLH","AHY","F","HPK1"
"15","3100-41414","R",2008,"BTLH",NA,"F","HPK1"
"16","3100-41414","R",2009,"BTLH",NA,"F","HPK1"
"17","3100-41414","R",2010,"BTLH",NA,"F","HPK1"
"18","3100-41414","R",2011,"BTLH",NA,"F","HPK1"
"19","3100-41415","1",2008,"BTLH","AHY","F","HPK1"
"20","3100-41416","1",2008,"BTLH","HY","F","HPK1"
"21","3100-41417","1",2008,"BTLH","AHY","F","GNMTN"
"22","3100-41417","R",2010,"BTLH",NA,"F","GNMTN"
"23","3100-41418","1",2008,"BTLH","AHY","F","GNMTN"
"24","3100-41419","1",2008,"BTLH","AHY","F","KV1"
"25","3100-41420","1",2008,"BTLH","HY","F","CC2"
"26","3100-41420","R",2008,"BTLH",NA,"F","CC2"
"27","3100-41421","1",2008,"BTLH","HY","F","CC2"
"28","3100-41422","1",2008,"BTLH","HY","F","MP1"
"29","3100-41422","R",2009,"BTLH",NA,"F","MP1"
"30","3100-41422","R",2010,"BTLH",NA,"F","MP1"
"31","3100-41423","1",2008,"BTLH","HY","F","MP1"
"32","3100-41424","1",2008,"BTLH","HY","F","MP1"
"33","3100-41425","1",2008,"BTLH","AHY","F","MP1"
"34","3100-41426","1",2008,"BTLH","HY","F","MP1"
"35","3100-41427","1",2008,"BTLH","HY","F","MP1"
"36","3100-41427","R",2008,"BTLH",NA,"F","MP1"
"37","3100-41428","1",2008,"BTLH","HY","F","MP1"
"38","3100-41429","1",2008,"BTLH","HY","F","HPK1"
"39","3100-41429","R",2009,"BTLH",NA,"F","HPK1"
"40","3100-41430","1",2008,"BTLH","HY","F","HPK1"
"41","3100-41431","1",2008,"BTLH","HY","F","MP1"
"42","3100-41432","1",2008,"BTLH","AHY","F","MP1"
"43","3100-41433","1",2008,"BTLH","HY","F","MP1"
"44","3100-41434","1",2008,"BTLH","AHY","F","MP1"
"45","3100-41435","1",2008,"BTLH","HY","F","MCGC"
"46","3100-41435","R",2009,"BTLH",NA,"F","MCGC"
"47","3100-41435","R",2010,"BTLH",NA,"F","MCGC"
"48","3100-41436","1",2008,"BTLH","AHY","F","HPK1"
"49","3100-41437","1",2008,"BTLH","AHY","F","HPK1"
"50","3100-41438","1",2008,"BTLH","AHY","F","HPK1"
"51","3100-41438","R",2009,"BTLH",NA,"F","HPK1"
"52","3100-41439","1",2008,"BTLH","AHY","F","HPK1"
"53","3100-41439","R",2009,"BTLH",NA,"F","HPK1"
"54","3100-41440","1",2008,"BTLH","AHY","F","HPK1"
"55","3100-41441","1",2008,"BTLH","HY","F","HPK1"
"56","3100-41442","1",2008,"BTLH","HY","F","HPK1"
"57","3100-41443","1",2008,"BTLH","HY","F","HPK1"
"58","3100-41443","R",2009,"BTLH",NA,"F","HPK1"
"59","3100-41444","1",2008,"BTLH","HY","F","MCGC"
"60","3100-41446","1",2008,"BTLH","HY","F","MP1"
"61","3100-41447","1",2008,"BTLH","HY","F","MP1"
"62","3100-41448","1",2008,"BTLH","HY","F","MP1"
"63","3100-41448","R",2009,"BTLH",NA,"F","MP1"
"64","3100-41449","1",2008,"BTLH","HY","F","MP1"
"65","3100-41450","1",2008,"BTLH","AHY","F","MP1"
"66","3100-41451","1",2008,"BTLH","HY","M","MCGC"
"67","3100-41452","1",2008,"BTLH","AHY","M","MCGC"
"68","3100-41452","R",2010,"BTLH",NA,"M","MCGC"
"69","3100-41452","R",2011,"BTLH",NA,"M","MCGC"
"70","3100-41453","1",2008,"BTLH","HY","M","MP1"
"71","3100-41454","1",2008,"BTLH","HY","M","MP1"
"72","3100-41455","1",2008,"BTLH","HY","M","MP1"
"73","3100-41456","1",2008,"BTLH","HY","M","MP1"
