"","band","band_status","recap_yr","recaptured_sex","recapture_age","site_recap","r1","comments"
"1","4100-59602","R",2012,"F","AHY","MP1","5/15, E7, 4.2",""
"2","4100-59377","R",2012,"F","AHY","MP1","5/15, 3.8",""
"3","4100-59042","R",2012,"F","AHY","MP1","5/15, 3.4",""
"4","4100-59875","R",2012,"M","AHY","MP1","5/15, 3.3",""
"5","4100-59244","R",2012,"M","AHY","MP1","5/15, 3.3",""
"6","9000-39930","R",2012,"F","AHY","MP1","5/15, E6, 3.7",""
"7","4100-59245","R",2012,"M","AHY","MP1","5/20, 3.7",""
"8","4100-59483","R",2012,"F","AHY","MP1","5/20, E6+, 3.95",""
"9","4100-58833","R",2012,"F","AHY","MP1","5/20, E8, 3.9",""
"10","9100-28850","R",2012,"M","AHY","MP1","5/20, 3.5","p9 5.2mm<p10; both sheaths visible"
"11","4100-59602","R",2012,"F","AHY","MP1","5/20, E6, 3.8",""
"12","4100-59146","R",2012,"F","AHY","MP1","5/20, E9, 4.4",""
"13","9000-12455","R",2012,"F","AHY","MP1","5/20, E6, 3.6",""
"14","9000-39860","R",2012,"F","AHY","MP1","5/20, 3.8","spider web under band-moved to L leg"
"15","4100-08840","R",2012,"F","AHY","MP1","5/20, E9, 4.6",""
"16","4100-59294","R",2012,"M","AHY","MP1","5/20, 3.3",""
"17","9000-90307","R",2012,"F","AHY","HOLZ","5/21, E6-, 3.9",""
"18","4100-59923","R",2012,"F","AHY","HOLZ","5/21, 3.65",""
"19","9000-58723","R",2012,"F","AHY","HOLZ","5/21, 3.6",""
"20","4100-08778","R",2012,"F","AHY","HOLZ","5/21, E6, 3.9",""
"21","4100-59668","R",2012,"F","AHY","HOLZ","5/21, 4",""
"22","4100-08778","R",2012,"F","AHY","HOLZ","5/21, E6, Again, 3.8",""
"23","4100-07966","R",2012,"M","AHY","MP1","5/22, 3.6",""
"24","3100-42137","R",2012,"M","AHY","MP1","5/26, 3.2",""
"25","4100-58614","R",2012,"F","AHY","KV1","5/27, E6, 3.6",""
"26","4100-59254","R",2012,"M","AHY","KV1","5/27, 3.1",""
