"","UBI_band","band_status","year","fixed_sex","site"
"1","4000-47653","R",2003,"M","MCGC"
"2","4000-47733","R",2003,"F","MCGC"
"3","5000-11523","R",2003,"M","MCGC"
"4","5000-11525","R",2003,"F","MCGC"
"5","5000-11526","R",2003,"F","MCGC"
"6","5000-11527","R",2003,"M","MCGC"
"7","5000-11533","R",2003,"F","MCGC"
"8","5000-11534","R",2003,"M","MCGC"
"9","5000-11535","R",2003,"M","MCGC"
"10","5000-11536","R",2003,"F","MCGC"
"11","5000-11537","R",2003,"F","MCGC"
"12","5000-11538","R",2003,"F","MCGC"
"13","5000-11539","R",2003,"F","MCGC"
"14","5000-11540","R",2003,"M","MCGC"
"15","5000-11541","R",2003,"F","MCGC"
"16","5000-11543","R",2003,"F","MCGC"
"17","5000-11544","R",2003,"F","MCGC"
"18","5000-11546","R",2003,"F","MCGC"
"19","5000-11547","R",2003,"M","MCGC"
"20","5000-11548","R",2003,"F","MCGC"
"21","5000-11549","R",2003,"F","MCGC"
"22","5000-11550","R",2003,"F","MCGC"
"23","5000-11552","R",2003,"F","MCGC"
"24","5000-11553","R",2003,"M","MCGC"
"25","5000-11554","R",2003,"F","MCGC"
"26","5000-11556","R",2003,"F","MCGC"
"27","5000-11557","R",2003,"F","MCGC"
"28","5000-11558","R",2003,"F","MCGC"
"29","5000-11560","R",2003,"F","MCGC"
"30","5000-11561","R",2003,"M","MCGC"
"31","5000-11564","R",2003,"M","MCGC"
"32","5000-11566","R",2003,"F","MCGC"
"33","5000-11567","R",2003,"F","MCGC"
"34","5000-11568","R",2003,"F","MCGC"
"35","5000-11570","R",2003,"M","MCGC"
"36","5000-11571","R",2003,"F","MCGC"
"37","5000-11572","R",2003,"M","MCGC"
"38","5000-11573","R",2003,"M","MCGC"
"39","5000-11575","R",2003,"M","MCGC"
"40","5000-11576","R",2003,"F","MCGC"
"41","5000-11581","R",2003,"M","MCGC"
"42","5000-11582","R",2003,"F","MCGC"
"43","5000-11583","R",2003,"F","MCGC"
"44","5000-11586","R",2003,"F","MCGC"
"45","5000-11588","R",2003,"M","MCGC"
"46","5000-11590","R",2003,"M","MCGC"
"47","5000-11592","R",2003,"M","MCGC"
"48","5000-11594","R",2003,"M","MCGC"
"49","5000-11596","R",2003,"M","MCGC"
"50","5000-11597","R",2003,"M","MCGC"
"51","5000-11601","R",2003,"F","MCGC"
"52","5000-11603","R",2003,"M","MCGC"
"53","5000-11607","R",2003,"F","MCGC"
"54","5000-11609","R",2003,"F","MCGC"
"55","5000-11616","R",2003,"M","MCGC"
"56","5000-11619","R",2003,"F","MCGC"
"57","5000-11620","R",2003,"F","MCGC"
"58","5000-11622","R",2003,"F","MCGC"
"59","5000-11623","R",2003,"F","MCGC"
"60","5000-11624","R",2003,"F","MCGC"
"61","5000-11629","R",2003,"F","MCGC"
"62","5000-11631","R",2003,"M","MCGC"
"63","5000-11632","R",2003,"M","MCGC"
"64","5000-11635","R",2003,"F","MCGC"
"65","5000-11636","R",2003,"M","MCGC"
"66","5000-11637","R",2003,"M","MCGC"
"67","5000-11640","R",2003,"F","MCGC"
"68","5000-11642","R",2003,"F","MCGC"
"69","5000-11643","R",2003,"F","MCGC"
"70","5000-11644","R",2003,"F","MCGC"
"71","5000-11647","R",2003,"F","MCGC"
"72","5000-11648","R",2003,"F","MCGC"
"73","5000-11649","R",2003,"F","MCGC"
"74","5000-11650","R",2003,"F","MCGC"
"75","5000-11651","R",2003,"F","MCGC"
"76","5000-11657","R",2003,"F","MCGC"
"77","5000-11663","R",2003,"F","MCGC"
"78","5000-11676","R",2003,"F","MCGC"
"79","5000-11682","R",2003,"F","MCGC"
"80","5000-11683","R",2003,"F","MCGC"
"81","5000-11684","R",2003,"F","MCGC"
"82","5000-11692","R",2003,"F","CC2"
"83","5000-11694","R",2003,"M","MCGC"
"84","5000-11698","R",2003,"F","CC2"
"85","5000-11699","R",2003,"F","MCGC"
"86","5000-11716","R",2003,"F","MCGC"
"87","5000-11727","R",2003,"F","MCGC"
"88","5000-11731","R",2003,"F","MCGC"
"89","5000-11732","R",2003,"F","MCGC"
"90","5000-11737","R",2003,"F","MCGC"
"91","5000-11739","R",2003,"F","MCGC"
"92","5000-11746","R",2003,"F","MCGC"
"93","5000-11748","R",2003,"F","MCGC"
"94","5000-11754","R",2003,"F","MCGC"
"95","5000-11757","R",2003,"F","MCGC"
"96","5000-11768","R",2003,"F","CC2"
"97","5000-11778","R",2003,"F","MCGC"
"98","5000-11787","R",2003,"F","MCGC"
"99","5000-29205","R",2003,"F","MCGC"
"100","5000-29213","R",2003,"F","MCGC"
"101","5000-29214","R",2003,"F","MCGC"
"102","5000-29218","R",2003,"F","MCGC"
"103","5000-29222","R",2003,"F","MCGC"
"104","5000-29224","R",2003,"F","MCGC"
"105","5000-29229","R",2003,"F","MCGC"
"106","5000-29233","R",2003,"F","MCGC"
"107","5000-29275","R",2003,"F","MCGC"
"108","5000-29306","R",2003,"F","MCGC"
"109","5000-29315","R",2003,"F","MCGC"
"110","5000-29327","R",2003,"M","MCGC"
"111","5000-29342","R",2003,"F","MCGC"
"112","5000-11526","R",2004,"F","MCGC"
"113","5000-11528","R",2004,"M","MCGC"
"114","5000-11529","R",2004,"M","MCGC"
"115","5000-11536","R",2004,"F","MCGC"
"116","5000-11538","R",2004,"F","MCGC"
"117","5000-11541","R",2004,"F","MCGC"
"118","5000-11543","R",2004,"F","MCGC"
"119","5000-11552","R",2004,"F","MCGC"
"120","5000-11553","R",2004,"M","MCGC"
"121","5000-11554","R",2004,"F","MCGC"
"122","5000-11558","R",2004,"F","MCGC"
"123","5000-11592","R",2004,"M","MCGC"
"124","5000-11593","R",2004,"F","MCGC"
"125","5000-11594","R",2004,"M","MCGC"
"126","5000-11597","R",2004,"M","MCGC"
"127","5000-11601","R",2004,"F","MCGC"
"128","5000-11603","R",2004,"M","MCGC"
"129","5000-11607","R",2004,"F","MCGC"
"130","5000-11609","R",2004,"F","MCGC"
"131","5000-11632","R",2004,"M","MCGC"
"132","5000-11635","R",2004,"F","MCGC"
"133","5000-11637","R",2004,"M","MCGC"
"134","5000-11639","R",2004,"M","MCGC"
"135","5000-11641","R",2004,"F","MCGC"
"136","5000-11647","R",2004,"F","MCGC"
"137","5000-11648","R",2004,"F","MCGC"
"138","5000-11649","R",2004,"F","MCGC"
"139","5000-11663","R",2004,"F","MCGC"
"140","5000-11666","R",2004,"M","MCGC"
"141","5000-11669","R",2004,"F","MCGC"
"142","5000-11683","R",2004,"F","MCGC"
"143","5000-11684","R",2004,"F","MCGC"
"144","5000-11699","R",2004,"F","MCGC"
"145","5000-11706","R",2004,"F","MCGC"
"146","5000-11723","R",2004,"F","MCGC"
"147","5000-11731","R",2004,"F","MCGC"
"148","5000-11732","R",2004,"F","MCGC"
"149","5000-11738","R",2004,"F","MCGC"
"150","5000-11754","R",2004,"F","MCGC"
"151","5000-11757","R",2004,"F","MCGC"
"152","5000-11774","R",2004,"M","MCGC"
"153","5000-11776","R",2004,"F","MCGC"
"154","5000-11779","R",2004,"F","MCGC"
"155","5000-11787","R",2004,"F","MCGC"
"156","5000-29205","R",2004,"F","MCGC"
"157","5000-29213","R",2004,"F","MCGC"
"158","5000-29217","R",2004,"F","MCGC"
"159","5000-29218","R",2004,"F","MCGC"
"160","5000-29248","R",2004,"M","MCGC"
"161","5000-29263","R",2004,"F","MCGC"
"162","5000-29266","R",2004,"F","MCGC"
"163","5000-29306","R",2004,"F","MCGC"
"164","5000-29320","R",2004,"F","MCGC"
"165","5000-29348","R",2004,"F","MP1"
"166","5000-29355","R",2004,"F","MP1"
"167","5000-29360","R",2004,"F","MP1"
"168","5000-29369","R",2004,"F","MCGC"
"169","5000-29401","R",2004,"M","MCGC"
"170","5000-29407","R",2004,"F","MP1"
"171","4000-47651","R",2004,"M","MCGC"
"172","4000-47657","R",2004,"F","MCGC"
"173","4000-47678","R",2004,"F","MP1"
"174","4000-47692","R",2004,"F","MP1"
"175","4000-47768","R",2004,"M","MCGC"
"176","4000-47769","R",2004,"M","MCGC"
"177","4000-47775","R",2004,"F","MCGC"
"178","4000-47776","R",2004,"F","MCGC"
"179","4000-47779","R",2004,"F","MCGC"
"180","4000-47784","R",2004,"M","MCGC"
"181","4000-47788","R",2004,"F","MCGC"
"182","4000-47790","R",2004,"F","MCGC"
"183","4000-47791","R",2004,"F","MCGC"
"184","4000-47793","R",2004,"F","MCGC"
"185","4000-47794","R",2004,"F","MCGC"
"186","4000-47796","R",2004,"F","MCGC"
"187","4000-47797","R",2004,"F","MCGC"
"188","4000-47798","R",2004,"M","MCGC"
"189","5000-29451","R",2004,"F","MCGC"
"190","5000-29452","R",2004,"F","MCGC"
"191","5000-29453","R",2004,"F","MCGC"
"192","5000-29456","R",2004,"F","MCGC"
"193","5000-29458","R",2004,"F","MCGC"
"194","5000-29459","R",2004,"F","MCGC"
"195","5000-29462","R",2004,"F","MCGC"
"196","5000-29463","R",2004,"F","MCGC"
"197","5000-29467","R",2004,"F","MCGC"
"198","5000-29470","R",2004,"M","MCGC"
"199","5000-29475","R",2004,"F","MCGC"
