"code","latitude","longitude","year","month","day","precip.mm","temp.min.C","temp.max.C"
"s1",19.572666,-100.21385,2001,1,1,0,0.527859210968018,22.0982971191406
"s1",19.572666,-100.21385,2001,1,2,0,2.41987729072571,23.8100357055664
"s1",19.572666,-100.21385,2001,1,3,0,0.315671145915985,21.3361263275146
"s1",19.572666,-100.21385,2001,1,4,0,-0.0256756711751223,21.9421653747559
"s1",19.572666,-100.21385,2001,1,5,0,-0.537979423999786,22.2421550750732
"s1",19.572666,-100.21385,2001,1,6,0,-0.562198281288147,23.3415451049805
"s1",19.572666,-100.21385,2001,1,7,0,-0.201375007629395,23.4198417663574
"s1",19.572666,-100.21385,2001,1,8,0,0.842177748680115,22.2913494110107
"s1",19.572666,-100.21385,2001,1,9,2.47560238838196,-0.255174040794373,21.578519821167
"s1",19.572666,-100.21385,2001,1,10,0,-1.08724665641785,20.3236064910889
"s1",19.572666,-100.21385,2001,1,11,0,-1.03728568553925,22.6709747314453
"s1",19.572666,-100.21385,2001,1,12,0,0.192295968532562,22.615270614624
"s1",19.572666,-100.21385,2001,1,13,0,1.35374116897583,23.3633995056152
"s1",19.572666,-100.21385,2001,1,14,0,1.89328587055206,24.2594108581543
"s1",19.572666,-100.21385,2001,1,15,0,1.79050934314728,24.2680778503418
"s1",19.572666,-100.21385,2001,1,16,0,2.67491102218628,23.2704372406006
"s1",19.572666,-100.21385,2001,1,17,0,2.45173931121826,24.4415664672852
"s1",19.572666,-100.21385,2001,1,18,0,1.10407972335815,20.1035308837891
"s1",19.572666,-100.21385,2001,1,19,0,2.33028411865234,21.6316585540771
"s1",19.572666,-100.21385,2001,1,20,0,2.7872371673584,22.2355403900146
"s1",19.572666,-100.21385,2001,1,21,0,1.64386069774628,19.8571376800537
"s1",19.572666,-100.21385,2001,1,22,0,0.783392131328583,23.4525337219238
"s1",19.572666,-100.21385,2001,1,23,0,1.34298670291901,23.3207759857178
"s1",19.572666,-100.21385,2001,1,24,0,0.381925821304321,23.1973724365234
"s1",19.572666,-100.21385,2001,1,25,0,0.565605163574219,23.07373046875
"s1",19.572666,-100.21385,2001,1,26,0,-1.40449678897858,23.6427478790283
"s1",19.572666,-100.21385,2001,1,27,0,1.00401198863983,23.5896472930908
"s1",19.572666,-100.21385,2001,1,28,0,3.27986001968384,23.6635704040527
"s1",19.572666,-100.21385,2001,1,29,0,2.84513688087463,23.9399681091309
"s1",19.572666,-100.21385,2001,1,30,0,3.04118084907532,23.1464405059814
"s1",19.572666,-100.21385,2001,1,31,0,0.944989800453186,22.5192966461182
"s1",19.572666,-100.21385,2001,2,1,0,3.28595280647278,22.4900493621826
"s1",19.572666,-100.21385,2001,2,2,0,2.71651291847229,22.781307220459
"s1",19.572666,-100.21385,2001,2,3,0,1.80175149440765,23.0224914550781
"s1",19.572666,-100.21385,2001,2,4,0,1.30912148952484,23.1277828216553
"s1",19.572666,-100.21385,2001,2,5,0,3.3733274936676,22.9344444274902
"s1",19.572666,-100.21385,2001,2,6,0,4.85746383666992,22.9874610900879
"s1",19.572666,-100.21385,2001,2,7,0,4.62246322631836,23.3416347503662
"s1",19.572666,-100.21385,2001,2,8,0,4.32474517822266,24.41552734375
"s1",19.572666,-100.21385,2001,2,9,0,2.42324137687683,24.621997833252
"s1",19.572666,-100.21385,2001,2,10,0,-1.09155988693237,24.5612621307373
"s1",19.572666,-100.21385,2001,2,11,0,2.56151437759399,24.3135871887207
"s1",19.572666,-100.21385,2001,2,12,0,3.896564245224,25.1354351043701
"s1",19.572666,-100.21385,2001,2,13,0,4.29002857208252,25.444408416748
"s1",19.572666,-100.21385,2001,2,14,0,1.0389301776886,25.3162727355957
"s1",19.572666,-100.21385,2001,2,15,0,1.72420012950897,24.7984924316406
"s1",19.572666,-100.21385,2001,2,16,0,1.14312267303467,23.2805233001709
"s1",19.572666,-100.21385,2001,2,17,0,2.08618664741516,25.1175937652588
"s1",19.572666,-100.21385,2001,2,18,0,3.86676073074341,25.8865032196045
"s1",19.572666,-100.21385,2001,2,19,0,3.70319652557373,24.9359111785889
"s1",19.572666,-100.21385,2001,2,20,0,3.50203585624695,25.1801910400391
"s1",19.572666,-100.21385,2001,2,21,0,3.64486193656921,24.3397426605225
"s1",19.572666,-100.21385,2001,2,22,0,4.2424259185791,24.8743343353271
"s1",19.572666,-100.21385,2001,2,23,0,4.665452003479,23.5581855773926
"s1",19.572666,-100.21385,2001,2,24,0,4.20313405990601,23.3802490234375
"s1",19.572666,-100.21385,2001,2,25,0,3.82869386672974,23.7346229553223
"s1",19.572666,-100.21385,2001,2,26,0,1.96993315219879,23.9141826629639
"s1",19.572666,-100.21385,2001,2,27,0,2.50177311897278,24.4473838806152
"s1",19.572666,-100.21385,2001,2,28,0,3.51252388954163,24.4849681854248
