"band","band_status","year","sex","recap_num","obsdate","site","band_year","band_age","band_site","breeding","month","day","location"
"3100-41401","1",2008,"F","r00",2008-08-26,"MP1",2008,"AHY","MP1",NA,8,26,"east"
"3100-41402","1",2008,"F","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41403","1",2008,"F","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41404","1",2008,"F","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41405","1",2008,"F","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41406","1",2008,"M","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41407","1",2008,"F","r00",2008-08-26,"MP1",2008,"AHY","MP1",NA,8,26,"east"
"3100-41408","1",2008,"F","r00",2008-08-26,"MP1",2008,"AHY","MP1",NA,8,26,"east"
"3100-41409","1",2008,"F","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41410","1",2008,"F","r00",2008-08-26,"MP1",2008,"AHY","MP1",NA,8,26,"east"
"3100-41411","1",2008,"F","r00",2008-08-26,"MP1",2008,"AHY","MP1",NA,8,26,"east"
"3100-41412","1",2008,"F","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41413","1",2008,"F","r00",2008-08-26,"MP1",2008,"AHY","MP1",NA,8,26,"east"
"3100-41414","1",2008,"F","r00",2008-08-26,"HPK1",2008,"AHY","HPK1",NA,8,26,"east"
"3100-41414","R",2008,"F","r01",2008-08-28,"HPK1",2008,"AHY","HPK1",NA,8,28,"east"
"3100-41414","R",2009,"F","r01",2009-06-12,"HPK1",2008,"AHY","HPK1","E8",6,12,"east"
"3100-41414","R",2009,"F","r02",2009-06-17,"HPK1",2008,"AHY","HPK1",NA,6,17,"east"
"3100-41414","R",2009,"F","r03",2009-07-04,"HPK1",2008,"AHY","HPK1",NA,7,4,"east"
"3100-41414","R",2010,"F","r01",2010-07-22,"HPK2",2008,"AHY","HPK1",NA,7,22,"east"
"3100-41414","R",2011,"F","r01",2011-05-31,"MP1",2008,"AHY","HPK1",NA,5,31,"east"
"3100-41414","R",2011,"F","r02",2011-07-13,"HPK2",2008,"AHY","HPK1",NA,7,13,"east"
"3100-41414","R",2012,"F","r01",2012-07-12,"HPK1",2008,"AHY","HPK1",NA,7,12,"east"
"3100-41415","1",2008,"F","r00",2008-08-26,"HPK1",2008,"AHY","HPK1",NA,8,26,"east"
"3100-41416","1",2008,"F","r00",2008-08-26,"HPK1",2008,"HY","HPK1",NA,8,26,"east"
"3100-41417","1",2008,"F","r00",2008-08-27,"GNMTN",2008,"AHY","GNMTN",NA,8,27,"west"
"3100-41417","R",2010,"F","r01",2010-07-11,"GNMTN",2008,"AHY","GNMTN","E9",7,11,"west"
"3100-41418","1",2008,"F","r00",2008-08-27,"GNMTN",2008,"AHY","GNMTN",NA,8,27,"west"
"3100-41419","1",2008,"F","r00",2008-08-27,"KV1",2008,"AHY","KV1",NA,8,27,"west"
"3100-41420","1",2008,"F","r00",2008-08-28,"CC2",2008,"HY","CC2",NA,8,28,"east"
"3100-41420","R",2008,"F","r01",2008-08-28,"CC2",2008,"HY","CC2",NA,8,28,"east"
"3100-41421","1",2008,"F","r00",2008-08-28,"CC2",2008,"HY","CC2",NA,8,28,"east"
"3100-41422","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41422","R",2009,"F","r01",2009-06-27,"MP1",2008,"HY","MP1",NA,6,27,"east"
"3100-41422","R",2010,"F","r01",2010-07-03,"MP1",2008,"HY","MP1",NA,7,3,"east"
"3100-41423","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41424","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41425","1",2008,"F","r00",2008-08-30,"MP1",2008,"AHY","MP1",NA,8,30,"east"
"3100-41426","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41427","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41427","R",2008,"F","r01",2008-09-05,"MP1",2008,"HY","MP1",NA,9,5,"east"
"3100-41428","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41429","1",2008,"F","r00",2008-08-30,"HPK1",2008,"HY","HPK1",NA,8,30,"east"
"3100-41429","R",2009,"F","r01",2009-08-13,"MP1",2008,"HY","HPK1",NA,8,13,"east"
"3100-41430","1",2008,"F","r00",2008-08-30,"HPK1",2008,"HY","HPK1",NA,8,30,"east"
"3100-41431","1",2008,"F","r00",2008-08-25,"MP1",2008,"HY","MP1",NA,8,25,"east"
"3100-41432","1",2008,"F","r00",2008-08-25,"MP1",2008,"AHY","MP1",NA,8,25,"east"
"3100-41433","1",2008,"F","r00",2008-08-25,"MP1",2008,"HY","MP1",NA,8,25,"east"
"3100-41434","1",2008,"F","r00",2008-08-25,"MP1",2008,"AHY","MP1",NA,8,25,"east"
"3100-41435","1",2008,"F","r00",2008-08-26,"MCGC",2008,"HY","MCGC",NA,8,26,"east"
"3100-41435","R",2009,"F","r01",2009-08-09,"MCGC",2008,"HY","MCGC",NA,8,9,"east"
"3100-41435","R",2010,"F","r01",2010-07-06,"MCGC",2008,"HY","MCGC",NA,7,6,"east"
"3100-41436","1",2008,"F","r00",2008-08-26,"HPK1",2008,"AHY","HPK1",NA,8,26,"east"
"3100-41437","1",2008,"F","r00",2008-08-26,"HPK1",2008,"AHY","HPK1",NA,8,26,"east"
"3100-41438","1",2008,"F","r00",2008-08-26,"HPK1",2008,"AHY","HPK1",NA,8,26,"east"
"3100-41438","R",2009,"F","r01",2009-06-12,"HPK1",2008,"AHY","HPK1","E7",6,12,"east"
"3100-41439","1",2008,"F","r00",2008-08-26,"HPK1",2008,"AHY","HPK1",NA,8,26,"east"
"3100-41439","R",2009,"F","r01",2009-06-09,"MP1",2008,"AHY","HPK1",NA,6,9,"east"
"3100-41440","1",2008,"F","r00",2008-08-26,"HPK1",2008,"AHY","HPK1",NA,8,26,"east"
"3100-41441","1",2008,"F","r00",2008-08-28,"HPK1",2008,"HY","HPK1",NA,8,28,"east"
"3100-41442","1",2008,"F","r00",2008-08-28,"HPK1",2008,"HY","HPK1",NA,8,28,"east"
"3100-41443","1",2008,"F","r00",2008-08-28,"HPK1",2008,"HY","HPK1",NA,8,28,"east"
"3100-41443","R",2009,"F","r01",2009-06-17,"HPK1",2008,"HY","HPK1",NA,6,17,"east"
"3100-41444","1",2008,"F","r00",2008-08-30,"MCGC",2008,"HY","MCGC",NA,8,30,"east"
"3100-41446","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41447","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41448","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41448","R",2009,"F","r01",2009-06-08,"MP1",2008,"HY","MP1","E8",6,8,"east"
"3100-41449","1",2008,"F","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41450","1",2008,"F","r00",2008-08-30,"MP1",2008,"AHY","MP1",NA,8,30,"east"
"3100-41451","1",2008,"M","r00",2008-08-25,"MCGC",2008,"HY","MCGC",NA,8,25,"east"
"3100-41452","1",2008,"M","r00",2008-08-26,"MCGC",2008,"AHY","MCGC",NA,8,26,"east"
"3100-41452","R",2010,"M","r01",2010-05-23,"MCGC",2008,"AHY","MCGC",NA,5,23,"east"
"3100-41452","R",2010,"M","r02",2010-06-21,"MCGC",2008,"AHY","MCGC",NA,6,21,"east"
"3100-41452","R",2011,"M","r01",2011-05-20,"MCGC",2008,"AHY","MCGC",NA,5,20,"east"
"3100-41453","1",2008,"M","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41454","1",2008,"M","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41455","1",2008,"M","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41456","1",2008,"M","r00",2008-08-26,"MP1",2008,"HY","MP1",NA,8,26,"east"
"3100-41458","1",2008,"M","r00",2008-08-26,"HPK1",2008,"HY","HPK1",NA,8,26,"east"
"3100-41459","1",2008,"M","r00",2008-08-26,"HPK1",2008,"HY","HPK1",NA,8,26,"east"
"3100-41460","1",2008,"M","r00",2008-08-27,"MCGC",2008,"HY","MCGC",NA,8,27,"east"
"3100-41461","1",2008,"M","r00",2008-08-28,"HPK1",2008,"HY","HPK1",NA,8,28,"east"
"3100-41462","1",2008,"M","r00",2008-08-28,"HPK1",2008,"HY","HPK1",NA,8,28,"east"
"3100-41463","1",2008,"M","r00",2008-08-28,"HPK1",2008,"HY","HPK1",NA,8,28,"east"
"3100-41464","1",2008,"M","r00",2008-08-28,"HPK1",2008,"HY","HPK1",NA,8,28,"east"
"3100-41465","1",2008,"M","r00",2008-08-30,"MCGC",2008,"HY","MCGC",NA,8,30,"east"
"3100-41466","1",2008,"M","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41467","1",2008,"M","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41469","1",2008,"M","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41470","1",2008,"M","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41471","1",2008,"M","r00",2008-08-25,"HPK1",2008,"HY","HPK1",NA,8,25,"east"
"3100-41472","1",2008,"M","r00",2008-08-25,"MP1",2008,"HY","MP1",NA,8,25,"east"
"3100-41474","1",2008,"M","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41475","1",2008,"M","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41476","1",2008,"M","r00",2008-08-30,"MP1",2008,"HY","MP1",NA,8,30,"east"
"3100-41477","1",2008,"M","r00",2008-08-30,"HPK1",2008,"AHY","HPK1",NA,8,30,"east"
"3100-41477","R",2009,"M","r01",2009-06-12,"HPK1",2008,"AHY","HPK1",NA,6,12,"east"
"3100-41477","R",2009,"M","r02",2009-07-10,"MP1",2008,"AHY","HPK1",NA,7,10,"east"
"3100-41478","1",2008,"M","r00",2008-08-30,"HPK1",2008,"HY","HPK1",NA,8,30,"east"
"3100-41479","1",2008,"M","r00",2008-08-30,"HPK1",2008,"HY","HPK1",NA,8,30,"east"
"3100-41480","1",2008,"M","r00",2008-08-30,"HPK1",2008,"HY","HPK1",NA,8,30,"east"
"3100-41480","R",2009,"M","r01",2009-06-12,"HPK1",2008,"HY","HPK1",NA,6,12,"east"
"3100-41481","1",2008,"M","r00",2008-08-30,"HPK1",2008,"HY","HPK1",NA,8,30,"east"
"3100-41482","1",2008,"M","r00",2008-08-30,"HPK1",2008,"HY","HPK1",NA,8,30,"east"
"3100-41483","1",2008,"M","r00",2008-08-31,"CC2",2008,"HY","CC2",NA,8,31,"east"
"3100-41484","1",2008,"M","r00",2008-09-02,"MCGC",2008,"HY","MCGC",NA,9,2,"east"
"3100-41485","1",2008,"M","r00",2008-09-02,"MP1",2008,"HY","MP1",NA,9,2,"east"
"3100-41486","1",2008,"M","r00",2008-09-02,"MP1",2008,"HY","MP1",NA,9,2,"east"
"3100-41487","1",2008,"M","r00",2008-09-02,"MP1",2008,"HY","MP1",NA,9,2,"east"
"3100-41488","1",2008,"M","r00",2008-09-02,"HPK1",2008,"HY","HPK1",NA,9,2,"east"
"3100-41488","R",2008,"M","r01",2008-09-02,"HPK1",2008,"HY","HPK1",NA,9,2,"east"
"3100-41488","R",2008,"M","r02",2008-09-03,"HPK1",2008,"HY","HPK1",NA,9,3,"east"
"3100-41488","R",2008,"M","r03",2008-09-05,"HPK1",2008,"HY","HPK1",NA,9,5,"east"
"3100-41488","R",2008,"M","r04",2008-09-06,"HPK1",2008,"HY","HPK1",NA,9,6,"east"
"3100-41489","1",2008,"M","r00",2008-09-03,"MP1",2008,"HY","MP1",NA,9,3,"east"
"3100-41490","1",2008,"M","r00",2008-09-03,"MP1",2008,"HY","MP1",NA,9,3,"east"
"3100-41491","1",2008,"F","r00",2008-08-30,"HPK1",2008,"HY","HPK1",NA,8,30,"east"
"3100-41492","1",2008,"F","r00",2008-08-30,"HPK1",2008,"HY","HPK1",NA,8,30,"east"
"3100-41492","R",2010,"F","r01",2010-08-17,"MP1",2008,"HY","HPK1",NA,8,17,"east"
"3100-41493","1",2006,"F","r00",2006-07-04,"MCGC",2006,"AHY","MCGC",NA,7,4,"east"
"3100-41493","R",2006,"F","r01",2006-07-07,"MCGC",2006,"AHY","MCGC",NA,7,7,"east"
"3100-41493","R",2006,"F","r02",2006-07-16,"MCGC",2006,"AHY","MCGC",NA,7,16,"east"
"3100-41493","R",2006,"F","r03",2006-07-17,"MCGC",2006,"AHY","MCGC",NA,7,17,"east"
"3100-41493","R",2006,"F","r04",2006-07-19,"MCGC",2006,"AHY","MCGC",NA,7,19,"east"
"3100-41493","R",2006,"F","r05",2006-07-24,"MCGC",2006,"AHY","MCGC",NA,7,24,"east"
"3100-41493","R",2006,"F","r06",2006-07-28,"MCGC",2006,"AHY","MCGC",NA,7,28,"east"
"3100-41493","R",2006,"F","r07",2006-08-01,"MCGC",2006,"AHY","MCGC",NA,8,1,"east"
"3100-41493","R",2007,"F","r01",2007-07-07,"MCGC",2006,"AHY","MCGC",NA,7,7,"east"
"3100-41493","R",2008,"F","r01",2008-07-17,"MCGC",2006,"AHY","MCGC",NA,7,17,"east"
"3100-41493","R",2008,"F","r02",2008-07-22,"MCGC",2006,"AHY","MCGC",NA,7,22,"east"
"3100-41493","R",2008,"F","r03",2008-07-24,"MCGC",2006,"AHY","MCGC",NA,7,24,"east"
"3100-41493","R",2008,"F","r04",2008-08-16,"MCGC",2006,"AHY","MCGC",NA,8,16,"east"
"3100-41493","R",2008,"F","r05",2008-08-17,"MCGC",2006,"AHY","MCGC",NA,8,17,"east"
"3100-41493","R",2008,"F","r06",2008-08-22,"MCGC",2006,"AHY","MCGC",NA,8,22,"east"
"3100-41493","R",2008,"F","r07",2008-08-30,"CC2",2006,"AHY","MCGC",NA,8,30,"east"
"3100-41493","R",2008,"F","r01",2008-08-31,"CC2",2006,"AHY","MCGC",NA,8,31,"east"
"3100-41494","1",2008,"F","r00",2008-08-31,"CC2",2008,"HY","CC2",NA,8,31,"east"
"3100-41495","1",2008,"F","r00",2008-08-31,"CC2",2008,"HY","CC2",NA,8,31,"east"
"3100-41496","1",2008,"F","r00",2008-08-31,"CC2",2008,"HY","CC2",NA,8,31,"east"
"3100-41496","R",2008,"F","r01",2008-09-06,"MCGC",2008,"HY","CC2",NA,9,6,"east"
"3100-41497","1",2008,"F","r00",2008-08-31,"CC2",2008,"HY","CC2",NA,8,31,"east"
"3100-41498","1",2008,"F","r00",2008-09-02,"MP1",2008,"HY","MP1",NA,9,2,"east"
"3100-41499","1",2008,"F","r00",2008-09-02,"MP1",2008,"HY","MP1",NA,9,2,"east"
"3100-41500","1",2008,"F","r00",2008-09-02,"MP1",2008,"HY","MP1",NA,9,2,"east"
"3100-41500","R",2009,"F","r01",2009-06-09,"MP1",2008,"HY","MP1",NA,6,9,"east"
"3100-41501","1",2008,"M","r00",2008-09-03,"CC2",2008,"HY","CC2",NA,9,3,"east"
"3100-41502","1",2008,"F","r00",2008-09-03,"MP1",2008,"HY","MP1",NA,9,3,"east"
"3100-41503","1",2008,"F","r00",2008-09-03,"MP1",2008,"HY","MP1",NA,9,3,"east"
"3100-41504","1",2008,"F","r00",2008-09-03,"CC2",2008,"HY","CC2",NA,9,3,"east"
"3100-41504","R",2008,"F","r01",2008-09-06,"CC2",2008,"HY","CC2",NA,9,6,"east"
"3100-41505","1",2008,"F","r00",2008-09-05,"MP1",2008,"HY","MP1",NA,9,5,"east"
"3100-41506","1",2008,"F","r00",2008-09-05,"MP1",2008,"HY","MP1",NA,9,5,"east"
"3100-41507","1",2008,"F","r00",2008-09-05,"MP1",2008,"AHY","MP1",NA,9,5,"east"
"3100-41507","R",2009,"F","r01",2009-08-25,"MP1",2008,"AHY","MP1",NA,8,25,"east"
"3100-41508","1",2008,"F","r00",2008-09-05,"HPK1",2008,"HY","HPK1",NA,9,5,"east"
"3100-41509","1",2008,"F","r00",2008-09-06,"CC3",2008,"HY","CC3",NA,9,6,"east"
