"Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Removed.band.num","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wng.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color.Location","Fat","CP.Breed","Head.Gorget.Molt","Body.Molt","Primaries.Molt","Secondaries.Molt","Tail.Molt","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"7:08","1","1","U09820",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","19",NA,"N","1",NA,"F","F","F","F","F","3",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"7:17","1","1","U09757",NA,"E","F","BTLH","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,"B","R","B","5X5","RRG","6","50","18.9",NA,"N","2","9","F","F","F","F","F","4.2",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"7:50","1","1","U09758",NA,"E","F","BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,"4X3","P","5","48","20.6",NA,"N","2","2","L","F","F","F","F","3.5",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"8:35","R","R","U05575","1",NA,NA,"BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","18.3",NA,"N","1",NA,"F","F","F","F","F","2.5",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"8:42","R","R","U05610","1",NA,NA,"BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,"5X3","P","5","47","21",NA,"N","1","2","L","F","F","F","F","3.8",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"8:46","1","1","U09819","1","D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","18.9",NA,"N","2",NA,"F","F","F","F","F","3.1",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"8:51","1","1","U09818",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","18",NA,"PH","2",NA,"F","F","F","F","F","3.2",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"8:54","1","1","U09732",NA,"E","E","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","18.2",NA,"N","2",NA,"F","F","F","F","F","3.2",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"9:04","R","R","U05667","1",NA,NA,"BTLH","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,NA,"R","O","5X4","GRR","6","50","18.3",NA,"YH","1","2","F","F","F","F","F","3",NA,NA,NA,NA,NA,NA,NA,NA
"HMN","Y","TT","CFCK",2022-04-26,2022,4,26,"9:07","R","R","U08240","1",NA,NA,"BCHU","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,"U","E",NA,"5X4","P","5","47","22.2",NA,"N","1","2","F","F","F","F","F","3.5",NA,NA,"1","11:13",NA,NA,NA,NA
