"","Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget","Body","Primaries","Secondaries","Tail.1","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"1","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:09","R","R","J84272",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:51","R","R","K33715",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","HMN","Y","SMW","HC",NA,NA,NA,NA,"6:35","R","R","K35541",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","9:39",NA,NA,NA,NA
"4","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:51","R","R","K36852","1",NA,NA,"BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","0",NA,"L","F","F","FALSE","F","3.2",NA,NA,NA,NA,NA,NA,NA,NA
"5","HMN","Y","SMW","HC",NA,NA,NA,NA,"6:38","R","R","K36854",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:16","R","R","K40093",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HMN","Y","SMW","HC",NA,NA,NA,NA,"6:40","R","R","K41037",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:57","R","R","M26082","1",NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","P","8","L","F","F","FALSE","L","3.44",NA,NA,NA,NA,NA,NA,NA,NA
"9","HMN","Y","SMW","HC",NA,NA,NA,NA,"9:18","R","R","M28934","1",NA,NA,"ANHU","M","1",NA,"R","99","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","0",NA,"F","F","F","FALSE","F","4.31",NA,NA,NA,NA,NA,NA,NA,NA
"10","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:14","R","R","M28962",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:40","R","R","M28966",NA,NA,NA,"BCHU","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:33","R","R","M30055","1",NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","1","8","L","F","F","FALSE","L","3.79",NA,NA,NA,NA,NA,NA,NA,NA
"13","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:08","R","R","M66299",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:37","R","R","M66464",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8:17",NA,NA,NA,NA
"15","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:27","R","R","M66468","1",NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","0",NA,"F","F","F","FALSE","F","3.17",NA,NA,NA,NA,NA,NA,NA,NA
