"","Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget","Body","Primaries","Secondaries","Tail.1","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"1","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:21","1","1","U09078",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","18.5",NA,"N","0",NA,"F","F","F","FALSE","F","3.1",NA,NA,NA,NA,NA,NA,NA,NA
"2","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:26","R","R","U07613","1",NA,NA,"BCHU","F","1",NA,NA,NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"49","20.6",NA,"PH","T","8","F","F","F","FALSE","F","4.29",NA,NA,NA,NA,NA,NA,NA,NA
"3","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:29","1","1","U07792",NA,"F","G","BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"47.5","20.9",NA,"N","0","8","F","F","F","FALSE","F","4.37",NA,NA,"1","8:10",NA,NA,NA,NA
"4","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:31","R","R","U07607","1",NA,NA,"BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"47.5","20.5",NA,"N","0","7","F","F","F","FALSE","F","3.9",NA,NA,NA,NA,NA,NA,NA,NA
"5","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:34","R","R","U07610","1",NA,NA,"BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"45","20.9",NA,"PH","T","5","1","1","F","FALSE","F","3.3",NA,NA,NA,NA,NA,NA,NA,NA
"6","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:37","R","R","M69326","1",NA,NA,"BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"47.5","22",NA,"N","0","5","F","F","F","FALSE","F","3.63",NA,NA,NA,NA,NA,NA,NA,NA
"7","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:40","1","1","U07736",NA,"E","F","BTLH","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,NA,"R","O","4X4","GGG","5.5","50","18.3",NA,"N","T","5","F","F","F","FALSE","F","3.57",NA,NA,NA,NA,NA,NA,NA,NA
"8","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:46","1","1","U09079",NA,"D","D","BCHU","M","1",NA,"V","40",NA,"0","N",NA,NA,NA,NA,NA,NA,NA,NA,"44.5","19.8",NA,"N","0",NA,"3","2","F","FALSE","F","3.16",NA,NA,NA,NA,NA,NA,NA,NA
"9","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:50","1","1","U09080",NA,"C","D","RUHU","M","1",NA,"O","99",NA,NA,"% GREEN",NA,"10",NA,NA,NA,NA,NA,NA,"40.5","16.4",NA,"YU","1",NA,"1","F","F","FALSE","F","3.76",NA,NA,NA,NA,NA,NA,NA,NA
"10","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:54","1","1","M28691",NA,"J","L","RIHU","M","1",NA,"GP","99","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","27.1",NA,"N","0",NA,"F","F","F","FALSE","F",NA,NA,NA,NA,NA,NA,NA,NA,"STAB WOUND ON CHEST ALONG BRIST BOND, ESCAPED BEFORE WEIGHT"
"11","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"6:58","R","R","U05960","1",NA,NA,"BCHU","F","1",NA,NA,NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"49","21.7",NA,"PH","0","5","F","F","F","FALSE","F","3.16",NA,NA,NA,NA,NA,NA,NA,NA
"12","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:00","R","R","U07614","1",NA,NA,"BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46","20.4",NA,"PH","0","8","F","F","F","FALSE","F","3.75",NA,NA,NA,NA,NA,NA,NA,NA
"13","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:02","R","R","U06181","1",NA,NA,"BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46.5","21.2",NA,"N","0","7","1","F","F","FALSE","F","3.05",NA,NA,"1","8:46",NA,NA,NA,NA
"14","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:05","1","1","U07737",NA,"E","F","BBLH","M","1",NA,"B","80",NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"PH, YU","0",NA,"L","F","F","FALSE","F","3.09",NA,NA,"4","7:24","8:25","9:27","10:22","TOP OF BILL HALF BLACK"
"15","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:08","1","1","U07793",NA,"F","G","BBLH","F","1",NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,NA,"50","20.7",NA,"WU, PH","0","2","F","F","F","FALSE","L","2.96",NA,NA,NA,NA,NA,NA,NA,"INJURY ON TOP AND UNDERNIETH OF BILL, UNKNOWN CAUSE, ITS HIELD"
"16","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:12","1","1","U09081",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.5","18.7",NA,"N","T",NA,"1","1","F","FALSE","F","3.5",NA,NA,NA,NA,NA,NA,NA,NA
"17","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:16","1","1","U07794",NA,"F","G","BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"47.5","20.4",NA,"PH","0","2","F","F","F","FALSE","F","3.3",NA,NA,NA,NA,NA,NA,NA,NA
"18","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"7:18","1","1","U09082",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","19.2",NA,"PH","0",NA,"F","F","F","FALSE","F","2.86",NA,NA,NA,NA,NA,NA,NA,NA
