"","site_name","calendar_date","ndvi"
"1","ws51","2001-01-01",0.7237
"2","ws51","2001-01-17",0.5662
"3","ws51","2001-02-02",0.617
"4","ws51","2001-02-18",0.6541
"5","ws51","2001-03-06",0.6881
"6","ws51","2001-03-22",0.689
"7","ws51","2001-04-07",0.6745
"8","ws51","2001-04-23",0.7031
"9","ws51","2001-05-09",0.402
"10","ws51","2001-05-25",0.7511
"11","ws51","2001-06-10",0.794
"12","ws51","2001-06-26",0.7624
"13","ws51","2001-07-12",0.7705
"14","ws51","2001-07-28",0.7562
"15","ws51","2001-08-13",0.7191
"16","ws51","2001-08-29",0.789
"17","ws51","2001-09-14",0.7604
"18","ws51","2001-09-30",0.8034
"19","ws51","2001-10-16",0.7389
"20","ws51","2001-11-01",0.7784
"21","ws51","2001-11-17",0.7786
"22","ws51","2001-12-03",0.7822
"23","ws51","2001-12-19",0.7032
"24","ws51","2002-01-01",0.7306
"25","ws51","2002-01-17",0.639
"26","ws51","2002-02-02",0.7111
"27","ws51","2002-02-18",0.6997
"28","ws51","2002-03-06",0.7288
"29","ws51","2002-03-22",0.6975
"30","ws51","2002-04-07",0.5616
"31","ws51","2002-04-23",0.6562
"32","ws51","2002-05-09",0.6475
"33","ws51","2002-05-25",0.5513
"34","ws51","2002-06-10",0.7796
"35","ws51","2002-06-26",0.8057
"36","ws51","2002-07-12",0.7901
"37","ws51","2002-07-28",0.753
"38","ws51","2002-08-13",0.7636
"39","ws51","2002-08-29",0.8008
"40","ws51","2002-09-14",0.4743
"41","ws51","2002-09-30",0.8277
"42","ws51","2002-10-16",0.7956
"43","ws51","2002-11-01",0.8632
"44","ws51","2002-11-17",0.8294
"45","ws51","2002-12-03",0.8
"46","ws51","2002-12-19",0.7731
"47","ws51","2003-01-01",0.7637
"48","ws51","2003-01-17",0.7712
"49","ws51","2003-02-02",0.7051
"50","ws51","2003-02-18",0.7513
"51","ws51","2003-03-06",0.6525
"52","ws51","2003-03-22",0.6519
"53","ws51","2003-04-07",0.6945
"54","ws51","2003-04-23",0.6833
"55","ws51","2003-05-09",0.7568
"56","ws51","2003-05-25",0.2327
"57","ws51","2003-06-10",0.4835
"58","ws51","2003-06-26",0.624
"59","ws51","2003-07-12",0.8429
"60","ws51","2003-07-28",0.7426
"61","ws51","2003-08-13",0.8078
"62","ws51","2003-08-29",0.8901
"63","ws51","2003-09-14",0.4965
"64","ws51","2003-09-30",0.3617
"65","ws51","2003-10-16",0.8148
"66","ws51","2003-11-01",0.766
"67","ws51","2003-11-17",0.8239
"68","ws51","2003-12-03",0.8028
"69","ws51","2003-12-19",0.7171
"70","ws51","2004-01-01",0.8175
"71","ws51","2004-01-17",0.7105
"72","ws51","2004-02-02",0.7054
"73","ws51","2004-02-18",0.6526
"74","ws51","2004-03-05",0.7606
"75","ws51","2004-03-21",0.6541
"76","ws51","2004-04-06",0.641
"77","ws51","2004-04-22",0.7505
"78","ws51","2004-05-08",0.7463
"79","ws51","2004-05-24",0.7959
"80","ws51","2004-06-09",0.795
"81","ws51","2004-06-25",0.828
"82","ws51","2004-07-11",0.8051
"83","ws51","2004-07-27",0.4913
"84","ws51","2004-08-12",0.7654
"85","ws51","2004-08-28",0.7914
"86","ws51","2004-09-13",0.8719
"87","ws51","2004-09-29",0.8402
"88","ws51","2004-10-15",0.3586
"89","ws51","2004-10-31",0.8063
"90","ws51","2004-11-16",0.7997
"91","ws51","2004-12-02",0.7176
"92","ws51","2004-12-18",0.72
"93","ws51","2005-01-01",0.7436
"94","ws51","2005-01-17",0.6839
"95","ws51","2005-02-02",0.706
"96","ws51","2005-02-18",0.7051
"97","ws51","2005-03-06",0.584
"98","ws51","2005-03-22",0.6842
"99","ws51","2005-04-07",0.6477
"100","ws51","2005-04-23",0.7401
"101","ws51","2005-05-09",0.71
"102","ws51","2005-05-25",0.7644
"103","ws51","2005-06-10",0.785
"104","ws51","2005-06-26",0.794
"105","ws51","2005-07-12",0.8667
"106","ws51","2005-07-28",0.7929
"107","ws51","2005-08-13",0.9267
"108","ws51","2005-08-29",0.7842
"109","ws51","2005-09-14",0.4491
"110","ws51","2005-09-30",0.7848
"111","ws51","2005-10-16",0.8358
"112","ws51","2005-11-01",0.823
"113","ws51","2005-11-17",0.7773
"114","ws51","2005-12-03",0.6935
"115","ws51","2005-12-19",0.8157
"116","ws51","2006-01-01",0.7726
"117","ws51","2006-01-17",0.7422
"118","ws51","2006-02-02",0.7001
"119","ws51","2006-02-18",0.7436
"120","ws51","2006-03-06",0.7484
"121","ws51","2006-03-22",0.6306
"122","ws51","2006-04-07",0.739
"123","ws51","2006-04-23",0.7189
"124","ws51","2006-05-09",0.6922
"125","ws51","2006-05-25",0.7289
"126","ws51","2006-06-10",0.5558
"127","ws51","2006-06-26",0.8067
"128","ws51","2006-07-12",0.8537
"129","ws51","2006-07-28",0.811
"130","ws51","2006-08-13",0.8638
"131","ws51","2006-08-29",0.7323
"132","ws51","2006-09-14",0.721
"133","ws51","2006-09-30",0.8497
"134","ws51","2006-10-16",0.7781
"135","ws51","2006-11-01",0.7985
"136","ws51","2006-11-17",0.8058
"137","ws51","2006-12-03",0.7917
"138","ws51","2006-12-19",0.7316
"139","ws51","2007-01-01",0.7573
"140","ws51","2007-01-17",0.6837
"141","ws51","2007-02-02",0.7418
"142","ws51","2007-02-18",0.7539
"143","ws51","2007-03-06",0.723
"144","ws51","2007-03-22",0.7436
"145","ws51","2007-04-07",0.7133
"146","ws51","2007-04-23",0.7725
"147","ws51","2007-05-09",0.8072
"148","ws51","2007-05-25",0.4624
"149","ws51","2007-06-10",0.8812
"150","ws51","2007-06-26",0.7588
"151","ws51","2007-07-12",0.7398
"152","ws51","2007-07-28",0.7831
"153","ws51","2007-08-13",0.7116
"154","ws51","2007-08-29",0.7738
"155","ws51","2007-09-14",0.8594
"156","ws51","2007-09-30",0.825
"157","ws51","2007-10-16",0.8259
"158","ws51","2007-11-01",0.8343
"159","ws51","2007-11-17",0.7897
"160","ws51","2007-12-03",0.8207
"161","ws51","2007-12-19",0.8078
"162","ws51","2008-01-01",0.8078
"163","ws51","2008-01-17",0.6722
"164","ws51","2008-02-02",0.6475
"165","ws51","2008-02-18",0.7872
"166","ws51","2008-03-05",0.7692
"167","ws51","2008-03-21",0.7279
"168","ws51","2008-04-06",0.6702
"169","ws51","2008-04-22",0.6059
"170","ws51","2008-05-08",0.6969
"171","ws51","2008-05-24",0.7513
"172","ws51","2008-06-09",0.7479
"173","ws51","2008-06-25",0.0959
"174","ws51","2008-07-11",0.759
"175","ws51","2008-07-27",0.7493
"176","ws51","2008-08-12",0.8033
"177","ws51","2008-08-28",0.7547
"178","ws51","2008-09-13",0.8016
"179","ws51","2008-09-29",0.7766
"180","ws51","2008-10-15",0.8265
"181","ws51","2008-10-31",0.7874
"182","ws51","2008-11-16",0.7941
"183","ws51","2008-12-02",0.7245
"184","ws51","2008-12-18",0.7483
"185","ws51","2009-01-01",0.7405
"186","ws51","2009-01-17",0.6807
"187","ws51","2009-02-02",0.7323
"188","ws51","2009-02-18",0.6803
"189","ws51","2009-03-06",0.6403
"190","ws51","2009-03-22",0.7062
"191","ws51","2009-04-07",0.7448
"192","ws51","2009-04-23",0.6499
"193","ws51","2009-05-09",0.7296
"194","ws51","2009-05-25",0.726
"195","ws51","2009-06-10",0.7873
"196","ws51","2009-06-26",0.8251
"197","ws51","2009-07-12",0.8104
"198","ws51","2009-07-28",0.7847
"199","ws51","2009-08-13",0.796
"200","ws51","2009-08-29",0.8112
"201","ws51","2009-09-14",0.8815
"202","ws51","2009-09-30",0.8413
"203","ws51","2009-10-16",0.8368
"204","ws51","2009-11-01",0.829
"205","ws51","2009-11-17",0.8386
"206","ws51","2009-12-03",0.7886
"207","ws51","2009-12-19",0.7508
"208","ws51","2010-01-01",0.7605
"209","ws51","2010-01-17",0.6843
"210","ws51","2010-02-02",0.7369
"211","ws51","2010-02-18",0.7061
"212","ws51","2010-03-06",0.7255
