"site_name","cellsize","tile","band","calendar_date","value","ndvi"
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2001-12-03",4024,0.4024
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2001-12-19",2600,0.26
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-01-01",2687,0.2687
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-01-17",2541,0.2541
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-02-02",2736,0.2736
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-02-18",2450,0.245
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-03-06",4178,0.4178
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-03-22",2487,0.2487
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-04-07",3270,0.327
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-04-23",4861,0.4861
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-05-09",3493,0.3493
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-05-25",2483,0.2483
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-06-10",4588,0.4588
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-06-26",2980,0.298
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-07-12",6064,0.6064
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-07-28",4369,0.4369
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-08-13",7069,0.7069
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-08-29",5764,0.5764
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-09-14",6080,0.608
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-09-30",4923,0.4923
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-10-16",4599,0.4599
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-11-01",4131,0.4131
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-11-17",4389,0.4389
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-12-03",3249,0.3249
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2002-12-19",2652,0.2652
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-01-01",3401,0.3401
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-01-17",3161,0.3161
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-02-02",3684,0.3684
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-02-18",2925,0.2925
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-03-06",4489,0.4489
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-03-22",4590,0.459
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-04-07",4437,0.4437
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-04-23",5121,0.5121
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-05-09",3187,0.3187
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-05-25",3912,0.3912
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-06-10",3800,0.38
"ws57","231.656358264","h08v06","250m_16_days_NDVI","2003-06-26",5792,0.5792
