"","site","date","year","month","day","dayl","prcp","srad","swe","tmax","tmin","vp"
"1","s1",2001-01-01,2001,1,1,39033.72,0,430.9,0,22.28,0.21,216.5
"2","s1",2001-01-02,2001,1,2,39050.23,0,427.31,0,24.01,2.32,254.6
"3","s1",2001-01-03,2001,1,3,39068.09,0,429.47,0,21.54,-0.17,210.14
"4","s1",2001-01-04,2001,1,4,39087.3,0,439.57,0,22.25,-0.51,204.69
"5","s1",2001-01-05,2001,1,5,39107.85,0,448.93,0,22.7,-1.03,196.46
"6","s1",2001-01-06,2001,1,6,39129.72,0,458.91,0,23.84,-0.98,197.32
"7","s1",2001-01-07,2001,1,7,39152.9,0,455.8,0,23.66,-0.62,202.87
"8","s1",2001-01-08,2001,1,8,39177.38,0,437.07,0,22.52,0.47,220.82
"9","s1",2001-01-09,2001,1,9,39203.14,0,443.88,0,21.78,-0.87,198.97
"10","s1",2001-01-10,2001,1,10,39230.17,0,443.6,0,20.51,-1.95,182.74
"11","s1",2001-01-11,2001,1,11,39258.45,0,461.82,0,22.87,-1.64,187.28
"12","s1",2001-01-12,2001,1,12,39287.97,0,451.18,0,22.81,-0.26,208.72
"13","s1",2001-01-13,2001,1,13,39318.7,0,446.19,0,23.55,1.08,231.47
"14","s1",2001-01-14,2001,1,14,39350.64,0,449.78,0,24.45,1.7,242.79
"15","s1",2001-01-15,2001,1,15,39383.76,0,451.96,0,24.45,1.55,240.1
"16","s1",2001-01-16,2001,1,16,39418.05,0,432.1,0,23.45,2.62,260.46
"17","s1",2001-01-17,2001,1,17,39453.49,0,448.19,0,24.63,2.44,257.01
"18","s1",2001-01-18,2001,1,18,39490.05,0,420.86,0,20.42,0.93,228.89
"19","s1",2001-01-19,2001,1,19,39527.73,0,422.17,0,21.79,2.21,252.4
"20","s1",2001-01-20,2001,1,20,39566.49,0,422.83,0,22.45,2.92,266.5
"21","s1",2001-01-21,2001,1,21,39606.33,0,408.99,0,20.05,1.71,243.08
"22","s1",2001-01-22,2001,1,22,39647.21,0,463.75,0,23.63,0.73,225.37
"23","s1",2001-01-23,2001,1,23,39689.13,0,457.78,0,23.48,1.28,235.16
"24","s1",2001-01-24,2001,1,24,39732.05,0,471.97,0,23.38,0,213.07
"25","s1",2001-01-25,2001,1,25,39775.96,0,469.64,0,23.24,0.23,216.74
"26","s1",2001-01-26,2001,1,26,39820.84,0,495.9,0,23.8,-1.99,182.21
"27","s1",2001-01-27,2001,1,27,39866.66,0,474.24,0,23.77,0.69,224.72
"28","s1",2001-01-28,2001,1,28,39913.41,0,449.09,0,23.85,3.15,271.16
"29","s1",2001-01-29,2001,1,29,39961.07,0,459.8,0,24.11,2.65,261.17
"30","s1",2001-01-30,2001,1,30,40009.61,0,451.32,0,23.33,2.81,264.36
"31","s1",2001-01-31,2001,1,31,40059,0,480.09,0,23.35,0.44,220.41
"32","s1",2001-02-01,2001,2,1,40109.24,0,444.72,0,22.87,3.14,270.91
"33","s1",2001-02-02,2001,2,2,40160.3,0,455.49,0,23.06,2.66,261.22
"34","s1",2001-02-03,2001,2,3,40212.16,0,471.66,0,23.21,1.64,241.8
"35","s1",2001-02-04,2001,2,4,40264.79,0,482.13,0,23.31,1,230.21
"36","s1",2001-02-05,2001,2,5,40318.18,0,453.26,0,23.13,3.44,277.1
"37","s1",2001-02-06,2001,2,6,40372.31,0,435.16,0,23.2,5,311.6
"38","s1",2001-02-07,2001,2,7,40427.15,0,447.1,0,23.59,4.76,306.06
"39","s1",2001-02-08,2001,2,8,40482.68,0,468.34,0,24.6,4.39,297.64
"40","s1",2001-02-09,2001,2,9,40538.89,0,498.45,0,24.8,2.17,251.69
"41","s1",2001-02-10,2001,2,10,40595.75,0,534.57,0,24.74,-1.72,186.22
"42","s1",2001-02-11,2001,2,11,40653.25,0,496.68,0,24.53,2.44,256.91
"43","s1",2001-02-12,2001,2,12,40711.36,0,492.63,0,25.36,3.77,284.09
"44","s1",2001-02-13,2001,2,13,40770.06,0,493.26,0,25.65,4.18,293.09
"45","s1",2001-02-14,2001,2,14,40829.33,0,531.78,0,25.52,0.63,223.6
"46","s1",2001-02-15,2001,2,15,40889.16,0,520.83,0,24.98,1.45,238.24
"47","s1",2001-02-16,2001,2,16,40949.53,0,519.64,0,24,0.84,227.28
"48","s1",2001-02-17,2001,2,17,41010.41,0,522.97,0,25.31,1.81,244.87
"49","s1",2001-02-18,2001,2,18,41071.8,0,510.66,0,26.08,3.79,284.65
"50","s1",2001-02-19,2001,2,19,41133.66,0,504.59,0,25.11,3.58,280.13
"51","s1",2001-02-20,2001,2,20,41195.98,0,512.92,0,25.43,3.3,274.27
"52","s1",2001-02-21,2001,2,21,41258.75,0,509.21,0,25.27,3.59,280.28
"53","s1",2001-02-22,2001,2,22,41321.94,0,504.67,0,25.34,4.24,294.3
"54","s1",2001-02-23,2001,2,23,41385.54,0,479.16,0,23.78,4.73,305.34
"55","s1",2001-02-24,2001,2,24,41449.54,0,489.18,0,23.59,4.04,289.94
"56","s1",2001-02-25,2001,2,25,41513.91,0,502.55,0,23.98,3.78,284.39
"57","s1",2001-02-26,2001,2,26,41578.64,0,534.64,0,24.09,1.59,240.89
"58","s1",2001-02-27,2001,2,27,41643.71,0,536.12,0,24.65,2.07,249.72
"59","s1",2001-02-28,2001,2,28,41709.1,0,529.05,0,25.06,3.27,273.62
"60","s1",2001-03-01,2001,3,1,41774.81,0,531.84,0,23.61,1.81,244.85
"61","s1",2001-03-02,2001,3,2,41840.81,0,500.88,0,21.98,2.6,260.12
"62","s1",2001-03-03,2001,3,3,41907.08,0,512.47,0,22.3,2.31,254.48
"63","s1",2001-03-04,2001,3,4,41973.62,0,497.59,0,23.32,4.33,296.32
"64","s1",2001-03-05,2001,3,5,42040.41,0,511.82,0,24.28,4.53,300.97
"65","s1",2001-03-06,2001,3,6,42107.43,0,516.77,0,24,4.06,290.51
"66","s1",2001-03-07,2001,3,7,42174.67,0,571.56,0,25.82,1.61,241.14
"67","s1",2001-03-08,2001,3,8,42242.12,0,546.06,0,25.12,3.22,272.59
"68","s1",2001-03-09,2001,3,9,42309.75,0,542.31,0,25.64,4.02,289.51
"69","s1",2001-03-10,2001,3,10,42377.56,0,534.39,0,24.86,4.03,289.77
"70","s1",2001-03-11,2001,3,11,42445.53,0,532.39,0,24.46,3.9,286.89
"71","s1",2001-03-12,2001,3,12,42513.65,0,565.92,0,26.4,3.49,278.31
"72","s1",2001-03-13,2001,3,13,42581.9,0,568.52,0,27.52,4.36,297.06
"73","s1",2001-03-14,2001,3,14,42650.27,0,560.85,0,25.41,3.2,272.32
"74","s1",2001-03-15,2001,3,15,42718.74,0,567.33,0,24.64,2.04,249.17
"75","s1",2001-03-16,2001,3,16,42787.31,0,524.67,0,25.21,5.77,329.89
