"site","date","year","month","day","dayl","prcp","srad","swe","tmax","tmin","vp"
"ss18",2002-01-01,2002,1,1,33022.42,0.77,252.23,6.6,-4.62,-16.49,168.38
"ss18",2002-01-02,2002,1,2,33064.35,0,315.16,6.6,1.03,-21.1,109.98
"ss18",2002-01-03,2002,1,3,33109.71,0,307.44,6.6,6.34,-13.13,198.24
"ss18",2002-01-04,2002,1,4,33158.46,0,168.97,6.6,-0.44,-7.45,349.23
"ss18",2002-01-05,2002,1,5,33210.58,0,230.14,6.6,-1.17,-11.37,256.42
"ss18",2002-01-06,2002,1,6,33266.01,0,224.72,6.6,2.05,-7.84,338.65
"ss18",2002-01-07,2002,1,7,33324.73,0,249.75,5.87,7.41,-4.25,417.2
"ss18",2002-01-08,2002,1,8,33386.7,0,250.67,3.47,11.59,-0.29,533.56
"ss18",2002-01-09,2002,1,9,33451.86,6.93,133.6,1.21,6.88,-0.62,583.8
"ss18",2002-01-10,2002,1,10,33520.18,0,274.88,1.21,3.59,-9.65,292.23
"ss18",2002-01-11,2002,1,11,33591.61,0,278.27,1.21,4.32,-9.15,300.05
"ss18",2002-01-12,2002,1,12,33666.09,0,278.25,1.21,5.79,-7.58,333.03
"ss18",2002-01-13,2002,1,13,33743.59,0,158.84,1.21,-1.86,-8.07,332.69
"ss18",2002-01-14,2002,1,14,33824.05,0,279.84,1.21,-0.18,-13.12,222.55
"ss18",2002-01-15,2002,1,15,33907.42,0,288.36,1.21,-0.37,-13.89,208.97
"ss18",2002-01-16,2002,1,16,33993.64,0,260.27,1.21,-2.4,-13.55,214.93
"ss18",2002-01-17,2002,1,17,34082.67,0,233.65,1.21,-4.94,-14.35,201.23
"ss18",2002-01-18,2002,1,18,34174.45,0,228.78,1.21,-5.98,-15.03,190.27
"ss18",2002-01-19,2002,1,19,34268.92,0,314.84,1.21,-0.73,-16.09,174.21
"ss18",2002-01-20,2002,1,20,34366.03,0,216.85,1.21,-4.49,-12.81,228.26
"ss18",2002-01-21,2002,1,21,34465.71,0,292.77,1.21,2.61,-10.27,266.19
"ss18",2002-01-22,2002,1,22,34567.92,2.98,190.68,4.19,2.09,-8.16,330.29
"ss18",2002-01-23,2002,1,23,34672.6,0,254.46,4.19,-6,-15.87,177.47
"ss18",2002-01-24,2002,1,24,34779.69,0,340.64,4.19,0.83,-16.19,159.98
"ss18",2002-01-25,2002,1,25,34889.13,0,330.06,4.19,6.16,-9.35,257.64
"ss18",2002-01-26,2002,1,26,35000.86,0,283.51,2.61,9.39,-2.24,451.12
"ss18",2002-01-27,2002,1,27,35114.82,0,265.23,0.68,9.01,-1.4,475.01
"ss18",2002-01-28,2002,1,28,35230.97,0,219.82,0.2,3.11,-4.86,411
"ss18",2002-01-29,2002,1,29,35349.23,4.69,167.84,4.89,-3.97,-11.91,245.53
"ss18",2002-01-30,2002,1,30,35469.56,1.14,275.12,6.03,-7.11,-17.18,152.14
"ss18",2002-01-31,2002,1,31,35591.89,0,337.49,6.03,-7.26,-21.29,98.39
"ss18",2002-02-01,2002,2,1,35716.18,0,365.63,6.03,0.33,-16.28,111.41
"ss18",2002-02-02,2002,2,2,35842.35,0,366.45,6.03,3.14,-13.09,132.18
"ss18",2002-02-03,2002,2,3,35970.36,0,376.37,6.03,3.58,-14.05,118.24
"ss18",2002-02-04,2002,2,4,36100.16,0,349.81,6.03,1.88,-12.49,147.25
"ss18",2002-02-05,2002,2,5,36231.68,0,391.05,6.03,2.21,-17.54,89.81
"ss18",2002-02-06,2002,2,6,36364.87,0,402.1,6.03,7.28,-14.84,93.47
"ss18",2002-02-07,2002,2,7,36499.68,0,363.37,6.03,7.77,-7.91,161.43
"ss18",2002-02-08,2002,2,8,36636.06,0,261.86,6.03,2.71,-6.63,252.53
"ss18",2002-02-09,2002,2,9,36773.96,0,218.1,6.03,-4.85,-12.15,213.12
"ss18",2002-02-10,2002,2,10,36913.31,0,418.89,6.03,6.8,-16.02,69.97
"ss18",2002-02-11,2002,2,11,37054.08,0,396.14,6.03,8.19,-9.86,113.48
"ss18",2002-02-12,2002,2,12,37196.22,0,306.78,6.03,-2.45,-13.63,147.37
"ss18",2002-02-13,2002,2,13,37339.66,0,423.15,6.03,5.98,-15.96,70.12
"ss18",2002-02-14,2002,2,14,37484.38,2.24,259.34,8.26,0.81,-12.64,166.54
"ss18",2002-02-15,2002,2,15,37630.31,0,430.84,8.26,6.69,-15.47,75.98
"ss18",2002-02-16,2002,2,16,37777.42,0,430.76,8.26,10.44,-11.63,89.6
"ss18",2002-02-17,2002,2,17,37925.65,0,394.71,8.26,9.22,-8.09,135.02
"ss18",2002-02-18,2002,2,18,38074.97,0,288.55,7.93,5.28,-5.21,253.63
"ss18",2002-02-19,2002,2,19,38225.32,0,291.1,7.93,2.62,-7.87,218.5
"ss18",2002-02-20,2002,2,20,38376.67,0,259.57,7.93,1.65,-7.35,251.21
"ss18",2002-02-21,2002,2,21,38528.98,0,354.47,7.93,3.23,-10.08,152.54
"ss18",2002-02-22,2002,2,22,38682.2,0,406.8,7.93,10.14,-6.68,124.81
"ss18",2002-02-23,2002,2,23,38836.29,0,386.27,6.54,12.39,-2.69,172.37
"ss18",2002-02-24,2002,2,24,38991.22,6.11,171.06,5.94,3,-4.57,326.86
"ss18",2002-02-25,2002,2,25,39146.94,1.44,307.31,7.38,-8.56,-18.85,111.61
"ss18",2002-02-26,2002,2,26,39303.42,0,422.98,7.38,-4.99,-21.64,66.96
"ss18",2002-02-27,2002,2,27,39460.62,0,341.57,7.38,-4.6,-16.41,117.97
"ss18",2002-02-28,2002,2,28,39618.51,10.47,246.25,17.85,-1.81,-13.02,178.74
"ss18",2002-03-01,2002,3,1,39777.04,2.2,159.1,20.05,-13.34,-19.95,125.48
"ss18",2002-03-02,2002,3,2,39936.19,0,440.54,20.05,-11.27,-28.03,55.64
"ss18",2002-03-03,2002,3,3,40095.92,0,448.43,20.05,-6.92,-24.08,70.15
"ss18",2002-03-04,2002,3,4,40256.19,0,466.93,20.05,2.74,-15.97,102.49
"ss18",2002-03-05,2002,3,5,40416.98,0,403.1,20.05,6.5,-7.47,202.23
"ss18",2002-03-06,2002,3,6,40578.25,0,364.08,19.36,7.58,-4.37,270.05
"ss18",2002-03-07,2002,3,7,40739.97,2.28,216.91,18.1,5.89,-3,426.25
"ss18",2002-03-08,2002,3,8,40902.11,4.28,244.9,22.38,0.77,-8.97,282.13
"ss18",2002-03-09,2002,3,9,41064.63,0,488.89,22.38,1.87,-15.98,111.7
"ss18",2002-03-10,2002,3,10,41227.52,0,467.27,22.38,9.15,-7.19,190.29
"ss18",2002-03-11,2002,3,11,41390.74,0,334.73,21.61,5.85,-4.15,329.39
"ss18",2002-03-12,2002,3,12,41554.26,0,434.87,20.25,11.16,-2.77,267.52
"ss18",2002-03-13,2002,3,13,41718.04,9.6,273.7,18.89,8,-2.77,398.4
"ss18",2002-03-14,2002,3,14,41882.08,1.07,354.68,19.97,-1.07,-11.06,232.51
"ss18",2002-03-15,2002,3,15,42046.33,1.32,497.84,21.29,-2.68,-19.01,108.12
"ss18",2002-03-16,2002,3,16,42210.76,0,510.59,21.29,-0.03,-17.25,117.41
"ss18",2002-03-17,2002,3,17,42375.36,0,469.57,21.29,0.25,-13.9,159.63
"ss18",2002-03-18,2002,3,18,42540.09,2.02,356.79,23.31,0.74,-13.54,189.38
"ss18",2002-03-19,2002,3,19,42704.93,0,509.39,23.31,3.85,-11.93,166.53
"ss18",2002-03-20,2002,3,20,42869.85,0,511.74,23.31,9.34,-6.76,218.64
"ss18",2002-03-21,2002,3,21,43034.82,0,482.88,23.31,4.96,-9.29,205.7
"ss18",2002-03-22,2002,3,22,43199.82,0,572.34,23.31,13.36,-9,152.2
"ss18",2002-03-23,2002,3,23,43364.82,0,522.87,22.48,12.99,-4.02,222.9
"ss18",2002-03-24,2002,3,24,43529.79,3.53,315.12,26.01,3.42,-8.2,281.9
"ss18",2002-03-25,2002,3,25,43694.71,0.75,479.16,26.76,1.48,-12.19,173.34
"ss18",2002-03-26,2002,3,26,43859.55,0,526.74,26.76,8.3,-8.19,190.52
"ss18",2002-03-27,2002,3,27,44024.28,0,426.28,25.55,8.61,-3.13,325.05
"ss18",2002-03-28,2002,3,28,44188.88,0,411.66,23,11.19,0.09,401.82
"ss18",2002-03-29,2002,3,29,44353.31,0,512.68,22.1,11.48,-3.87,248.54
"ss18",2002-03-30,2002,3,30,44517.56,0,430.98,20.92,8.47,-3.19,318.92
"ss18",2002-03-31,2002,3,31,44681.6,0,537.87,19.88,13.45,-3.51,231.94
"ss18",2002-04-01,2002,4,1,44845.39,0,525.96,17.58,15.66,-0.54,280.49
"ss18",2002-04-02,2002,4,2,45008.91,0,373.45,17.58,1.27,-8.27,267.09
"ss18",2002-04-03,2002,4,3,45172.12,0,546.18,17.58,6.92,-9.54,164.95
"ss18",2002-04-04,2002,4,4,45335.01,0,594.86,17.58,12.64,-7.89,148.25
"ss18",2002-04-05,2002,4,5,45497.54,0,555.26,16.35,14.31,-3.07,219.16
"ss18",2002-04-06,2002,4,6,45659.68,0,546.92,14.13,16.38,-0.69,252.33
"ss18",2002-04-07,2002,4,7,45821.4,0.56,474.87,11.98,12.58,-0.89,310.47
"ss18",2002-04-08,2002,4,8,45982.67,0,426.68,10.25,9.53,-1.89,336.73
"ss18",2002-04-09,2002,4,9,46143.46,0,573.67,8.61,16.43,-2.1,214.46
"ss18",2002-04-10,2002,4,10,46303.73,1.42,497.6,5.84,14.86,0.61,275.27
"ss18",2002-04-11,2002,4,11,46463.46,0,426.51,3.56,10.82,-0.57,330.86
"ss18",2002-04-12,2002,4,12,46622.61,0,523.12,1.61,14.02,-1.36,234.7
"ss18",2002-04-13,2002,4,13,46781.15,0,463.04,0,16.75,1.57,315.44
"ss18",2002-04-14,2002,4,14,46939.03,0,431.66,0,18.37,4.8,413.61
"ss18",2002-04-15,2002,4,15,47096.23,0,434.04,0,19.58,6.03,436.85
"ss18",2002-04-16,2002,4,16,47252.71,2.66,189.28,0,8.22,1.2,631.59
"ss18",2002-04-17,2002,4,17,47408.44,0,547.12,0,16.7,-3.62,185.03
"ss18",2002-04-18,2002,4,18,47563.37,1.37,503.79,0,12.92,-3.75,218.77
"ss18",2002-04-19,2002,4,19,47717.46,3.42,246.79,3.42,1.37,-6.7,351.71
"ss18",2002-04-20,2002,4,20,47870.68,7.77,185.96,11.19,-0.4,-6.17,385.4
"ss18",2002-04-21,2002,4,21,48022.99,0,465,11.19,4.92,-6.51,263.71
"ss18",2002-04-22,2002,4,22,48174.35,0,584.88,10.5,12.16,-4.37,218.79
"ss18",2002-04-23,2002,4,23,48324.71,0,587.13,7.97,17,0.04,256.4
"ss18",2002-04-24,2002,4,24,48474.02,0,531.28,5.85,13.11,-0.96,288.01
