"site_name","calendar_date","ndvi","year","month"
"ws1",2001-01-01,0.8262,2001,1
"ws1",2001-01-17,0.8251,2001,1
"ws1",2001-02-02,0.764,2001,2
"ws1",2001-02-18,0.7894,2001,2
"ws1",2001-03-06,0.7967,2001,3
"ws1",2001-03-22,0.8041,2001,3
"ws1",2001-04-07,0.7679,2001,4
"ws1",2001-04-23,0.7768,2001,4
"ws1",2001-05-09,0.7476,2001,5
"ws1",2001-05-25,0.7691,2001,5
"ws1",2001-06-10,0.0498,2001,6
"ws1",2001-06-26,0.494,2001,6
"ws1",2001-07-12,0.8378,2001,7
"ws1",2001-07-28,0.5369,2001,7
"ws1",2001-08-13,0.7905,2001,8
"ws1",2001-08-29,0.8096,2001,8
"ws1",2001-09-14,0.8123,2001,9
"ws1",2001-09-30,0.8353,2001,9
"ws1",2001-10-16,0.8376,2001,10
"ws1",2001-11-01,0.8338,2001,11
"ws1",2001-11-17,0.8185,2001,11
"ws1",2001-12-03,0.8271,2001,12
"ws1",2001-12-19,0.8203,2001,12
"ws1",2002-01-01,0.856,2002,1
"ws1",2002-01-17,0.8041,2002,1
"ws1",2002-02-02,0.8134,2002,2
"ws1",2002-02-18,0.8238,2002,2
"ws1",2002-03-06,0.791,2002,3
"ws1",2002-03-22,0.7866,2002,3
"ws1",2002-04-07,0.8281,2002,4
"ws1",2002-04-23,0.7787,2002,4
"ws1",2002-05-09,0.7952,2002,5
"ws1",2002-05-25,0.8108,2002,5
"ws1",2002-06-10,0.8204,2002,6
"ws1",2002-06-26,0.328,2002,6
"ws1",2002-07-12,0.7969,2002,7
"ws1",2002-07-28,0.8256,2002,7
"ws1",2002-08-13,0.7939,2002,8
"ws1",2002-08-29,0.6824,2002,8
"ws1",2002-09-14,0.8277,2002,9
"ws1",2002-09-30,0.914,2002,9
"ws1",2002-10-16,0.6312,2002,10
"ws1",2002-11-01,0.8169,2002,11
"ws1",2002-11-17,0.8389,2002,11
"ws1",2002-12-03,0.8315,2002,12
"ws1",2002-12-19,0.8491,2002,12
"ws1",2003-01-01,0.8155,2003,1
"ws1",2003-01-17,0.7867,2003,1
"ws1",2003-02-02,0.8181,2003,2
"ws1",2003-02-18,0.8196,2003,2
"ws1",2003-03-06,0.7864,2003,3
"ws1",2003-03-22,0.7333,2003,3
"ws1",2003-04-07,0.755,2003,4
"ws1",2003-04-23,0.7914,2003,4
"ws1",2003-05-09,0.7607,2003,5
"ws1",2003-05-25,0.787,2003,5
"ws1",2003-06-10,0.716,2003,6
"ws1",2003-06-26,0.763,2003,6
"ws1",2003-07-12,0.7817,2003,7
"ws1",2003-07-28,0.8918,2003,7
"ws1",2003-08-13,0.7933,2003,8
"ws1",2003-08-29,0.5723,2003,8
"ws1",2003-09-14,0.3327,2003,9
"ws1",2003-09-30,0.0482,2003,9
"ws1",2003-10-16,0.732,2003,10
"ws1",2003-11-01,0.8026,2003,11
"ws1",2003-11-17,0.8218,2003,11
"ws1",2003-12-03,0.8223,2003,12
"ws1",2003-12-19,0.7593,2003,12
"ws1",2004-01-01,0.7593,2004,1
"ws1",2004-01-17,0.7517,2004,1
"ws1",2004-02-02,0.7826,2004,2
"ws1",2004-02-18,0.7766,2004,2
"ws1",2004-03-05,0.7445,2004,3
"ws1",2004-03-21,0.7665,2004,3
"ws1",2004-04-06,0.745,2004,4
"ws1",2004-04-22,0.736,2004,4
"ws1",2004-05-08,0.788,2004,5
"ws1",2004-05-24,0.7818,2004,5
"ws1",2004-06-09,0.822,2004,6
"ws1",2004-06-25,0.9792,2004,6
"ws1",2004-07-11,0.8114,2004,7
"ws1",2004-07-27,0.8285,2004,7
"ws1",2004-08-12,0.8366,2004,8
"ws1",2004-08-28,0.1505,2004,8
"ws1",2004-09-13,0.2986,2004,9
"ws1",2004-09-29,0.1422,2004,9
"ws1",2004-10-15,0.8659,2004,10
"ws1",2004-10-31,0.8346,2004,10
"ws1",2004-11-16,0.8244,2004,11
"ws1",2004-12-02,0.842,2004,12
"ws1",2004-12-18,0.8287,2004,12
"ws1",2005-01-01,0.819,2005,1
"ws1",2005-01-17,0.808,2005,1
"ws1",2005-02-02,0.7939,2005,2
"ws1",2005-02-18,0.8098,2005,2
"ws1",2005-03-06,0.8181,2005,3
"ws1",2005-03-22,0.7848,2005,3
"ws1",2005-04-07,0.7742,2005,4
"ws1",2005-04-23,0.7881,2005,4
"ws1",2005-05-09,0.745,2005,5
"ws1",2005-05-25,0.6593,2005,5
"ws1",2005-06-10,0.7756,2005,6
"ws1",2005-06-26,0.6113,2005,6
"ws1",2005-07-12,0.6948,2005,7
"ws1",2005-07-28,0.8097,2005,7
"ws1",2005-08-13,0.7997,2005,8
"ws1",2005-08-29,0.8585,2005,8
"ws1",2005-09-14,0.8242,2005,9
"ws1",2005-09-30,0.8263,2005,9
"ws1",2005-10-16,0.8363,2005,10
"ws1",2005-11-01,0.8364,2005,11
"ws1",2005-11-17,0.8442,2005,11
"ws1",2005-12-03,0.8373,2005,12
"ws1",2005-12-19,0.822,2005,12
"ws1",2006-01-01,0.7959,2006,1
"ws1",2006-01-17,0.8007,2006,1
"ws1",2006-02-02,0.8206,2006,2
"ws1",2006-02-18,0.8103,2006,2
"ws1",2006-03-06,0.7937,2006,3
"ws1",2006-03-22,0.7602,2006,3
"ws1",2006-04-07,0.7303,2006,4
"ws1",2006-04-23,0.7712,2006,4
"ws1",2006-05-09,0.8558,2006,5
"ws1",2006-05-25,0.8061,2006,5
"ws1",2006-06-10,0.8017,2006,6
"ws1",2006-06-26,0.7731,2006,6
"ws1",2006-07-12,0.8227,2006,7
"ws1",2006-07-28,0.7052,2006,7
"ws1",2006-08-13,0.8817,2006,8
"ws1",2006-08-29,0.791,2006,8
"ws1",2006-09-14,0.8704,2006,9
"ws1",2006-09-30,0.8031,2006,9
"ws1",2006-10-16,0.8482,2006,10
"ws1",2006-11-01,0.8475,2006,11
"ws1",2006-11-17,0.8369,2006,11
"ws1",2006-12-03,0.7452,2006,12
"ws1",2006-12-19,0.826,2006,12
"ws1",2007-01-01,0.7912,2007,1
"ws1",2007-01-17,0.7864,2007,1
"ws1",2007-02-02,0.7897,2007,2
