"","gbifID","eventDate","month","code","geometry","daymet_id"
"1",600677198,"2/7/2011",2,"ws57",c(-474273.000986534, -1981721.92109256),129
"2",602356563,"12/14/2011",12,"ws55",c(-601271.618005417, -2020978.5991301),58580
"3",1386307298,"2/10/2006",2,"ws228",c(-599878.658475293, -2021383.51761736),58581
"4",2728009911,"1/22/2011",1,"ws122",c(-600482.724604284, -2028162.11328836),69095
"5",4643422351,"1/23/1984",1,"ws78",c(-413936.973895278, -2029953.14559774),72285
"6",600671376,"1/20/2011",1,"ws58",c(-599857.02405687, -2032404.19803867),75103
"7",4168683736,"2/27/1951",2,"ws93",c(-91659.8619584097, -2036185.58778086),81620
"8",4835069500,"1/17/1985",1,"ws72",c(-437700.685580705, -2050747.98056116),103804
"9",844727048,"12/26/2012",12,"ws35",c(-238923.177696258, -2197164.93710775),323294
"10",2718125740,"2/17/1976",2,"ws124",c(-527245.056370704, -2258766.75988983),416130
"11",4365072795,"2/21/2006",2,"ws80",c(-520812.952192431, -2258900.89884682),416136
"12",2754539209,"1/13/2000",1,"ws121",c(-526223.027330731, -2262436.95846801),420637
"13",844512748,"12/14/2012",12,"ws42",c(-514936.029997273, -2340343.08658719),537804
"14",1790824032,"1/15/1976",1,"ws208",c(-361736.530540512, -2361749.67997858),571002
"15",2630467527,"1/4/1949",1,"ws141",c(-370518.953270398, -2380662.1234821),599531
"16",844690242,"12/17/2012",12,"ws37",c(-540643.50088344, -2384550.80827108),605369
"17",2764499729,"1/29/1988",1,"ws120",c(-340737.439036738, -2403124.04459437),632605
"18",3294416745,"1/14/2010",1,"ws104",c(-353585.114174713, -2403648.52432482),634094
"19",1747456884,"2/6/1999",2,"ws214",c(-500309.270764012, -2412949.76632834),647465
"20",844375986,"1/6/2012",1,"ws44",c(-335017.02781798, -2432555.40876467),677670
"21",1894191889,"2/14/1979",2,"ws162",c(-105242.8760366, -2449928.15570522),703434
"22",1894191777,"2/1/2002",2,"ws186",c(-98837.9019352831, -2455478.21627821),710950
"23",942047468,"12/2/1991",12,"ws26",c(-474936.91421415, -2466993.65678703),728598
